NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LEP	23	15.1578369140625	0.03668785	Yes	
row_1	ITIH5	27	14.700237274169922	0.07337938	Yes	
row_2	LIPE	34	13.940749168395996	0.10799364	Yes	
row_3	ITGA7	46	13.156079292297363	0.14035235	Yes	
row_4	CD36	58	12.278423309326172	0.17051014	Yes	
row_5	ENPP2	66	11.567675590515137	0.19911581	Yes	
row_6	PPARG	67	11.532940864562988	0.2280373	Yes	
row_7	SORBS1	71	11.358901023864746	0.25634965	Yes	
row_8	CIDEA	102	10.22348690032959	0.2802606	Yes	
row_9	GPAM	108	10.114840507507324	0.30533805	Yes	
row_10	LIFR	123	9.635825157165527	0.32869625	Yes	
row_11	FZD4	150	9.056814193725586	0.34991172	Yes	
row_12	FABP4	186	8.563735961914062	0.3693726	Yes	
row_13	ANGPT1	191	8.502411842346191	0.39046413	Yes	
row_14	GPX3	268	7.428080081939697	0.40471712	Yes	
row_15	CAT	451	6.192018985748291	0.409769	Yes	
row_16	ADIPOQ	475	6.07047700881958	0.42366824	Yes	
row_17	ELMOD3	572	5.656060695648193	0.4323263	Yes	
row_18	CD302	606	5.534370422363281	0.44430548	Yes	
row_19	RETSAT	649	5.336818695068359	0.4552712	Yes	
row_20	MCCC1	720	5.085816383361816	0.46399584	Yes	
row_21	UCP2	779	4.908558368682861	0.47296667	Yes	
row_22	ALDH2	785	4.898177146911621	0.48496217	Yes	
row_23	ACADM	815	4.809887409210205	0.4953548	Yes	
row_24	ITSN1	844	4.739171028137207	0.50562763	Yes	
row_25	LPL	888	4.625949382781982	0.51475316	Yes	
row_26	C3	1076	4.203120708465576	0.51452965	Yes	
row_27	MGLL	1159	4.063217639923096	0.5199991	Yes	
row_28	HADH	1293	3.8238701820373535	0.5219328	Yes	
row_29	ACAA2	1541	3.421285390853882	0.51629496	Yes	
row_30	FAH	1544	3.4145123958587646	0.52474254	Yes	
row_31	ABCA1	1582	3.3640809059143066	0.531049	Yes	
row_32	GPX4	1678	3.239941358566284	0.53370565	Yes	
row_33	BCL6	1814	3.0788686275482178	0.53365594	Yes	
row_34	SSPN	1953	2.9391536712646484	0.53308314	Yes	
row_35	MRAP	2028	2.8708887100219727	0.5360231	Yes	
row_36	PHLDB1	2047	2.8541007041931152	0.5421443	Yes	
row_37	SCP2	2068	2.8308684825897217	0.5480921	Yes	
row_38	SPARCL1	2139	2.782118797302246	0.5510397	Yes	
