NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POSTN	164	8.87614631652832	0.120430246	Yes	
row_1	LPL	888	4.625949382781982	0.14681828	Yes	
row_2	VCAN	907	4.565306186676025	0.21254554	Yes	
row_3	FGFR1	1021	4.313233852386475	0.26916644	Yes	
row_4	COL3A1	1147	4.07582426071167	0.32163125	Yes	
row_5	SPP1	1155	4.069242477416992	0.38073266	Yes	
row_6	COL5A2	1280	3.8439676761627197	0.4298643	Yes	
row_7	MSX1	1533	3.4297733306884766	0.46563607	Yes	
row_8	TIMP1	1547	3.4115381240844727	0.51477814	Yes	
row_9	FSTL1	2115	2.7936654090881348	0.52327543	Yes	
row_10	VAV2	2281	2.6831724643707275	0.5530944	Yes	
row_11	THBD	2585	2.4681997299194336	0.571896	Yes	
row_12	CCND2	2775	2.3492279052734375	0.5954627	Yes	
row_13	S100A4	3141	2.1283957958221436	0.6057581	Yes	
row_14	OLR1	4183	1.6850292682647705	0.5709992	Yes	
row_15	PTK2	4422	1.607844352722168	0.58092946	Yes	
row_16	PF4	4580	1.5652272701263428	0.5948582	Yes	
row_17	STC1	4657	1.538599967956543	0.61301935	Yes	
row_18	NRP1	5048	1.4270386695861816	0.61163294	No	
row_19	KCNJ8	6121	1.153180480003357	0.56732863	No	
row_20	VEGFA	8118	0.7954334616661072	0.46507156	No	
row_21	JAG2	8220	0.7809715867042542	0.47072813	No	
row_22	LUM	8535	0.7340729832649231	0.46354556	No	
row_23	SERPINA5	10411	0.5131880044937134	0.36406556	No	
row_24	VTN	10419	0.5125359296798706	0.37116048	No	
row_25	SLCO2A1	11467	0.411941260099411	0.31744412	No	
row_26	CXCL6	11829	0.3815228343009949	0.3024248	No	
row_27	ITGAV	11844	0.38014522194862366	0.3071845	No	
row_28	JAG1	12009	0.3651766777038574	0.30316663	No	
row_29	APP	12426	0.32825297117233276	0.2842302	No	
row_30	TNFRSF21	12961	0.28313830494880676	0.25790125	No	
row_31	LRPAP1	15280	0.12016527354717255	0.12739769	No	
row_32	PGLYRP1	16055	0.07604142278432846	0.08434661	No	
row_33	PDGFA	16507	0.05216573551297188	0.059376184	No	
row_34	PRG2	16661	0.04437512531876564	0.051295154	No	
