NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABCA5	6	18.37693214416504	0.090840705	Yes	
row_1	HSD17B6	14	16.678022384643555	0.17319433	Yes	
row_2	LIPE	34	13.940749168395996	0.24127856	Yes	
row_3	ABCD2	111	10.089707374572754	0.28698957	Yes	
row_4	ABCA9	142	9.195919036865234	0.3309004	Yes	
row_5	ABCA8	152	9.044209480285645	0.3752613	Yes	
row_6	SLC29A1	224	7.932723045349121	0.41055596	Yes	
row_7	CAT	451	6.192018985748291	0.4283355	Yes	
row_8	RETSAT	649	5.336818695068359	0.44353262	Yes	
row_9	ACSL1	656	5.3160223960876465	0.4695665	Yes	
row_10	ABCA6	697	5.154854774475098	0.49285325	Yes	
row_11	ALDH1A1	847	4.736001968383789	0.5078185	Yes	
row_12	NR3C2	1024	4.305072784423828	0.51909906	Yes	
row_13	PECR	1027	4.30074405670166	0.54032433	Yes	
row_14	AGXT	1054	4.265599727630615	0.5600006	Yes	
row_15	CYP46A1	1057	4.260556221008301	0.58102643	Yes	
row_16	RXRG	1107	4.160760402679443	0.5988651	Yes	
row_17	ABCA1	1582	3.3640809059143066	0.588408	No	
row_18	SCP2	2068	2.8308684825897217	0.5746751	No	
row_19	DIO1	2166	2.7611887454986572	0.58281994	No	
row_20	MLYCD	2466	2.5393614768981934	0.57829416	No	
row_21	IDH1	2509	2.509136438369751	0.5883386	No	
row_22	HSD17B11	2570	2.476792573928833	0.5971915	No	
row_23	PEX19	2954	2.2365522384643555	0.586352	No	
row_24	CYP7A1	3665	1.8885548114776611	0.5550561	No	
row_25	FDXR	3733	1.8634099960327148	0.56046456	No	
row_26	SLC27A5	4450	1.6003605127334595	0.527395	No	
row_27	ABCG8	4564	1.5691035985946655	0.5287084	No	
row_28	KLF1	4604	1.558573603630066	0.53420806	No	
row_29	HSD17B4	4738	1.510277509689331	0.5340841	No	
row_30	SLC23A1	4754	1.5068912506103516	0.5407019	No	
row_31	PEX13	4776	1.5008217096328735	0.54694605	No	
row_32	SLC27A2	5213	1.3787325620651245	0.5288144	No	
row_33	SLC35B2	5217	1.3776910305023193	0.5354785	No	
row_34	HACL1	5238	1.3703322410583496	0.5411324	No	
row_35	AMACR	5596	1.2737596035003662	0.5270048	No	
row_36	ISOC1	5842	1.212923288345337	0.5189903	No	
row_37	PFKM	6067	1.1677629947662354	0.51195455	No	
row_38	RXRA	6091	1.1606558561325073	0.5163962	No	
row_39	SLC22A18	6188	1.1395455598831177	0.5165519	No	
row_40	NR1I2	6364	1.1004456281661987	0.5119887	No	
row_41	BCAR3	6572	1.0626956224441528	0.50540537	No	
row_42	EPHX2	6637	1.049001932144165	0.50694466	No	
row_43	ALDH9A1	6654	1.0459403991699219	0.5112181	No	
row_44	AQP9	6684	1.0414255857467651	0.5147245	No	
row_45	IDH2	6785	1.021705150604248	0.51406634	No	
row_46	BBOX1	6845	1.0072805881500244	0.515685	No	
row_47	RBP1	7260	0.9278758764266968	0.49657637	No	
row_48	PNPLA8	7343	0.9136673212051392	0.49641317	No	
row_49	EFHC1	7997	0.8143255114555359	0.46305186	No	
row_50	OPTN	8021	0.8094597458839417	0.46575093	No	
row_51	NEDD4	8406	0.7533823847770691	0.44749475	No	
row_52	SLC23A2	8418	0.7514222264289856	0.45059317	No	
row_53	SLCO1A2	8726	0.7072139382362366	0.43651825	No	
row_54	NPC1	9074	0.6607667207717896	0.41992176	No	
row_55	PIPOX	9085	0.6597908139228821	0.4226228	No	
row_56	DHCR24	9395	0.6239480376243591	0.40802014	No	
row_57	PEX11G	9569	0.6009936928749084	0.4010933	No	
row_58	NUDT12	10106	0.5430727601051331	0.37308747	No	
row_59	PHYH	10200	0.5349501371383667	0.37041506	No	
row_60	APOA1	10646	0.4902231693267822	0.3473592	No	
row_61	LONP2	10695	0.48473241925239563	0.3470151	No	
row_62	BMP6	10713	0.4825337827205658	0.34843567	No	
row_63	GNPAT	10884	0.4635073244571686	0.34099844	No	
row_64	SULT2B1	10959	0.45744556188583374	0.33902973	No	
row_65	PEX11A	11031	0.44979575276374817	0.33719492	No	
row_66	LCK	11301	0.4278640151023865	0.32391042	No	
row_67	FADS1	11397	0.4192119836807251	0.32054916	No	
row_68	CROT	11636	0.39711904525756836	0.3088877	No	
row_69	PRDX5	11640	0.39684900641441345	0.31068498	No	
row_70	PEX6	11942	0.3717595934867859	0.29528922	No	
row_71	HSD3B7	11981	0.3682011663913727	0.29493967	No	
row_72	PXMP2	12141	0.3544464707374573	0.28759134	No	
row_73	PEX1	12207	0.34822335839271545	0.2855962	No	
row_74	GCLM	12787	0.29849162697792053	0.25391385	No	
row_75	ABCA2	12847	0.29306721687316895	0.25198868	No	
row_76	GSTK1	12914	0.2863798439502716	0.24962938	No	
row_77	SULT1B1	13156	0.2677098512649536	0.23715396	No	
row_78	PEX26	13598	0.23533490300178528	0.21306248	No	
row_79	ABCA4	13706	0.22734983265399933	0.20806193	No	
row_80	PEX7	13758	0.2219369262456894	0.20624202	No	
row_81	SOD1	13859	0.21573948860168457	0.2015848	No	
row_82	GNMT	13878	0.21408170461654663	0.20161606	No	
row_83	SERPINA6	14153	0.1931295543909073	0.18688044	No	
row_84	CYP7B1	14323	0.18054544925689697	0.17809646	No	
row_85	SOAT2	15055	0.13469193875789642	0.13689527	No	
row_86	ABCD3	15149	0.12829722464084625	0.1322051	No	
row_87	ABCD1	15272	0.12058252841234207	0.12581562	No	
row_88	ABCA3	15307	0.11810790747404099	0.12445424	No	
row_89	DIO2	15423	0.11057539284229279	0.11841604	No	
row_90	TFCP2L1	15593	0.10160382837057114	0.10924037	No	
row_91	PEX12	15720	0.09488643705844879	0.10249428	No	
row_92	PEX16	15756	0.09339838474988937	0.10095301	No	
row_93	ATXN1	15797	0.09053953737020493	0.09911118	No	
row_94	AR	16036	0.07687769830226898	0.0858607	No	
row_95	CH25H	16316	0.06307840347290039	0.07019339	No	
row_96	ABCG4	16683	0.042935676872730255	0.049443033	No	
row_97	ALDH8A1	16833	0.03574088215827942	0.041086093	No	
row_98	PAOX	17033	0.025342648848891258	0.029813709	No	
row_99	FADS2	17178	0.018577365204691887	0.021657994	No	
row_100	CYP27A1	17201	0.017082003876566887	0.020482657	No	
row_101	TTR	17467	0.00451756501570344	0.005326655	No	
