NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPARG	67	11.532940864562988	0.103597976	Yes	
row_1	TRIB3	250	7.673391342163086	0.16467106	Yes	
row_2	GLDC	463	6.117893218994141	0.20954001	Yes	
row_3	GNAI1	550	5.789933204650879	0.25855651	Yes	
row_4	MAL2	661	5.305655479431152	0.30169013	Yes	
row_5	LPL	888	4.625949382781982	0.33186156	Yes	
row_6	LGMN	1341	3.743626356124878	0.3408955	Yes	
row_7	PDK3	1503	3.483330488204956	0.36413914	Yes	
row_8	ACSS2	1538	3.4246931076049805	0.3940962	Yes	
row_9	PLAUR	1806	3.0869038105010986	0.40758792	Yes	
row_10	ANTXR2	1932	2.96308970451355	0.42804343	Yes	
row_11	TMEM97	2192	2.7438080310821533	0.43879655	Yes	
row_12	GPX8	2409	2.5842645168304443	0.45052156	Yes	
row_13	S100A11	2571	2.476557970046997	0.4643872	Yes	
row_14	ECH1	2766	2.3550264835357666	0.47523448	Yes	
row_15	ATF5	3072	2.1622426509857178	0.47794095	Yes	
row_16	CBS	3211	2.093456268310547	0.4895528	Yes	
row_17	ANXA5	3233	2.0849099159240723	0.50777304	Yes	
row_18	LGALS3	3237	2.0822455883026123	0.5269974	Yes	
row_19	SQLE	3594	1.914551019668579	0.52448136	Yes	
row_20	PMVK	3776	1.8449070453643799	0.53132004	Yes	
row_21	SCD	3833	1.818295955657959	0.5450561	Yes	
row_22	AVPR1A	3949	1.7669084072113037	0.554941	Yes	
row_23	TM7SF2	4124	1.707625150680542	0.560901	Yes	
row_24	ACTG1	4279	1.654510259628296	0.56750953	Yes	
row_25	TNFRSF12A	4343	1.6361156702041626	0.57914853	Yes	
row_26	CD9	4532	1.5787492990493774	0.5831078	Yes	
row_27	HSD17B7	5973	1.1836317777633667	0.51181924	No	
row_28	SREBF2	6327	1.1062737703323364	0.50194573	No	
row_29	ALDOC	6526	1.0701900720596313	0.5005962	No	
row_30	ETHE1	6990	0.9760992527008057	0.48322225	No	
row_31	PNRC1	7462	0.8906084299087524	0.46459463	No	
row_32	EBP	8399	0.7541835308074951	0.4181157	No	
row_33	LSS	8724	0.7073014974594116	0.40618348	No	
row_34	TP53INP1	8835	0.6934062838554382	0.4063546	No	
row_35	FDFT1	9031	0.6664603352546692	0.4014159	No	
row_36	NSDHL	9361	0.6276516914367676	0.38845596	No	
row_37	FDPS	9667	0.5906633138656616	0.37652338	No	
row_38	ADH4	9671	0.5902482867240906	0.38184997	No	
row_39	ACAT2	9816	0.5749485492706299	0.37897414	No	
row_40	HMGCS1	9831	0.5738149285316467	0.38351887	No	
row_41	SEMA3B	10230	0.5314852595329285	0.36571896	No	
row_42	ANXA13	10285	0.5259056687355042	0.3675309	No	
row_43	MVD	10655	0.489420086145401	0.35099685	No	
row_44	CXCL16	11691	0.39141857624053955	0.2954797	No	
row_45	FBXO6	11860	0.3788393437862396	0.2894053	No	
row_46	ERRFI1	11868	0.3780534863471985	0.29252666	No	
row_47	JAG1	12009	0.3651766777038574	0.28792548	No	
row_48	FASN	12100	0.3575667440891266	0.28611156	No	
row_49	ATXN2	12344	0.3352058231830597	0.27534348	No	
row_50	CPEB2	12788	0.2983030676841736	0.25279915	No	
row_51	ABCA2	12847	0.29306721687316895	0.25221363	No	
row_52	CTNNB1	12924	0.2858223617076874	0.25053167	No	
row_53	CYP51A1	13497	0.24167220294475555	0.2200859	No	
row_54	PLSCR1	14047	0.20140983164310455	0.19057982	No	
row_55	MVK	14138	0.19448991119861603	0.18724684	No	
row_56	STX5	14157	0.19267475605010986	0.18801266	No	
row_57	NFIL3	14497	0.1687888503074646	0.17020683	No	
row_58	PCYT2	14513	0.1678757220506668	0.17091314	No	
row_59	DHCR7	15071	0.1335143893957138	0.14031732	No	
row_60	STARD4	16460	0.054852139204740524	0.061486773	No	
row_61	ALCAM	16708	0.041398387402296066	0.047753267	No	
row_62	CHKA	16828	0.03589071333408356	0.041285254	No	
row_63	FADS2	17178	0.018577365204691887	0.021508602	No	
row_64	ATF3	17308	0.011917966417968273	0.01424566	No	
row_65	FABP5	17469	0.004509216174483299	0.0051416703	No	
row_66	LDLR	17552	3.3472300856374204E-4	4.5746696E-4	No	
