NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MMP11	13	16.749120712280273	0.07503573	Yes	
row_1	CFD	21	15.629081726074219	0.14534792	Yes	
row_2	GSN	159	8.95644474029541	0.17801486	Yes	
row_3	MMP1	271	7.391890048980713	0.205094	Yes	
row_4	COMP	321	6.942209243774414	0.23369399	Yes	
row_5	FN1	388	6.5132317543029785	0.2593782	Yes	
row_6	F10	799	4.857285022735596	0.25784308	Yes	
row_7	RAPGEF3	892	4.604118824005127	0.27339852	Yes	
row_8	F8	938	4.478753566741943	0.29108202	Yes	
row_9	CFH	940	4.474719524383545	0.3112705	Yes	
row_10	MMP9	988	4.377508640289307	0.32838124	Yes	
row_11	C3	1076	4.203120708465576	0.3424091	Yes	
row_12	VWF	1188	4.001462459564209	0.35414827	Yes	
row_13	MMP14	1319	3.7868833541870117	0.363827	Yes	
row_14	LGMN	1341	3.743626356124878	0.37956074	Yes	
row_15	DCT	1377	3.686156749725342	0.39423162	Yes	
row_16	PROC	1428	3.5990636348724365	0.40764824	Yes	
row_17	MASP2	1484	3.515291929244995	0.4203991	Yes	
row_18	TIMP1	1547	3.4115381240844727	0.4322791	Yes	
row_19	SERPING1	1550	3.406782627105713	0.44757837	Yes	
row_20	PROS1	1612	3.323984146118164	0.45911962	Yes	
row_21	F3	1811	3.08202862739563	0.4617097	Yes	
row_22	SH2B2	2154	2.76867938041687	0.4546242	Yes	
row_23	RABIF	2443	2.558856725692749	0.44968608	Yes	
row_24	RGN	2494	2.519548177719116	0.45821846	Yes	
row_25	F12	2513	2.5078115463256836	0.4685328	Yes	
row_26	MMP10	2544	2.493715763092041	0.4780952	Yes	
row_27	THBD	2585	2.4681997299194336	0.4869687	Yes	
row_28	LRP1	2616	2.449380397796631	0.49633053	Yes	
row_29	CAPN5	2665	2.4139583110809326	0.50449985	Yes	
row_30	CTSO	2963	2.228214979171753	0.4975496	Yes	
row_31	ACOX2	3109	2.1463303565979004	0.49894547	Yes	
row_32	F2RL2	3155	2.1210408210754395	0.50596154	Yes	
row_33	ISCU	3156	2.1206414699554443	0.51555634	Yes	
row_34	GNB2	3206	2.0971357822418213	0.52223486	Yes	
row_35	ARF4	3236	2.0827364921569824	0.52999514	Yes	
row_36	RAC1	3502	1.955560564994812	0.52364635	Yes	
row_37	PLAU	3741	1.8608601093292236	0.5184175	Yes	
row_38	GNG12	3808	1.829260230064392	0.5229091	Yes	
row_39	C1S	3867	1.8049787282943726	0.52774966	Yes	
row_40	GDA	3904	1.7853926420211792	0.5337632	Yes	
row_41	C1QA	3994	1.7529886960983276	0.53659075	Yes	
row_42	C1R	4079	1.7234277725219727	0.53957134	Yes	
row_43	OLR1	4183	1.6850292682647705	0.54128855	Yes	
row_44	ANG	4189	1.6826375722885132	0.5486149	Yes	
row_45	ANXA1	4195	1.6802871227264404	0.5559306	Yes	
row_46	SERPINE1	4202	1.6753228902816772	0.56316656	Yes	
row_47	P2RY1	4245	1.6645947694778442	0.56828946	Yes	
row_48	CD9	4532	1.5787492990493774	0.55903155	No	
row_49	PF4	4580	1.5652272701263428	0.5634181	No	
row_50	FGG	4775	1.5014548301696777	0.5590863	No	
row_51	KLKB1	4814	1.491892695426941	0.5636572	No	
row_52	MMP3	4976	1.445441484451294	0.56096435	No	
row_53	FBN1	5191	1.3850120306015015	0.5549588	No	
row_54	DPP4	5399	1.3257951736450195	0.5490867	No	
row_55	MMP8	5625	1.2662264108657837	0.5419129	No	
row_56	ITGB3	5908	1.19943106174469	0.5311681	No	
row_57	PROZ	6213	1.1335896253585815	0.51886386	No	
row_58	TMPRSS6	6436	1.0868955850601196	0.5110507	No	
row_59	CAPN2	6468	1.0807359218597412	0.5141627	No	
row_60	TIMP3	6606	1.0554620027542114	0.51108176	No	
row_61	KLF7	6760	1.0266953706741333	0.50695306	No	
row_62	PLEK	6814	1.0135018825531006	0.5084993	No	
row_63	S100A1	7333	0.9146291613578796	0.4829323	No	
row_64	PLAT	7574	0.8767009377479553	0.4731359	No	
row_65	CTSH	7807	0.8441803455352783	0.4636511	No	
row_66	LAMP2	7874	0.83258455991745	0.46363327	No	
row_67	TF	7877	0.8323811888694763	0.46728468	No	
row_68	KLK8	8026	0.809056282043457	0.46245804	No	
row_69	C2	8247	0.7773840427398682	0.4533592	No	
row_70	HPN	8564	0.7289766073226929	0.43853608	No	
row_71	S100A13	8992	0.6711350679397583	0.41708586	No	
row_72	CRIP2	9245	0.6421154141426086	0.40553993	No	
row_73	CFB	9281	0.637845516204834	0.40641874	No	
row_74	MAFF	9627	0.5950760841369629	0.38932678	No	
row_75	MMP7	9691	0.588121235370636	0.38837492	No	
row_76	FYN	9697	0.5869702696800232	0.39074394	No	
row_77	C8G	9745	0.5820158123970032	0.39068198	No	
row_78	DUSP6	9873	0.5701001882553101	0.38597846	No	
row_79	CFI	9909	0.5676928758621216	0.38653988	No	
row_80	BMP1	9952	0.5633853077888489	0.38668036	No	
row_81	WDR1	9988	0.5581144094467163	0.38719845	No	
row_82	F2	10110	0.5429043769836426	0.38271594	No	
row_83	PREP	10461	0.5085421204566956	0.3649457	No	
row_84	APOA1	10646	0.4902231693267822	0.35661206	No	
row_85	SERPINB2	10710	0.48277023434638977	0.35518354	No	
row_86	APOC2	10775	0.47571027278900146	0.35366574	No	
row_87	MMP15	11067	0.44673100113868713	0.33899927	No	
row_88	HNF4A	11577	0.40213704109191895	0.31162962	No	
row_89	THBS1	11672	0.39371567964553833	0.30802044	No	
row_90	C8B	11774	0.3850415349006653	0.30397063	No	
row_91	DUSP14	12220	0.3470609784126282	0.2800219	No	
row_92	MSRB2	12369	0.3334254026412964	0.27304327	No	
row_93	SIRT2	12403	0.330598384141922	0.27264667	No	
row_94	FGA	12807	0.29696550965309143	0.25087982	No	
row_95	APOC1	12882	0.28921493887901306	0.24794476	No	
row_96	FURIN	12941	0.28463172912597656	0.2459065	No	
row_97	LEFTY2	12971	0.28235146403312683	0.24552096	No	
row_98	ADAM9	13034	0.27711841464042664	0.24321933	No	
row_99	MEP1A	13104	0.2709468603134155	0.24048835	No	
row_100	C9	13454	0.24554528295993805	0.22158556	No	
row_101	SERPINA1	13464	0.2445172369480133	0.22217576	No	
row_102	GP1BA	13475	0.24377548694610596	0.22270526	No	
row_103	SERPINC1	13548	0.23849940299987793	0.21965544	No	
row_104	CSRP1	13561	0.23743896186351776	0.22004157	No	
row_105	CTSB	13623	0.232870414853096	0.21759708	No	
row_106	ITIH1	13954	0.20822006464004517	0.19961499	No	
row_107	LTA4H	14053	0.2010313868522644	0.19490464	No	
row_108	PDGFB	14839	0.1470503807067871	0.15055333	No	
row_109	CTSE	14895	0.1438552886247635	0.14805017	No	
row_110	TFPI2	15010	0.1370454728603363	0.14213279	No	
row_111	PLG	15040	0.13538290560245514	0.14108229	No	
row_112	GP9	15415	0.11124885082244873	0.12013822	No	
row_113	PEF1	15416	0.11109378188848495	0.12064087	No	
row_114	SPARC	15735	0.09397738426923752	0.10283003	No	
row_115	CASP9	15871	0.08641324937343597	0.09547929	No	
row_116	MMP2	16013	0.07784111797809601	0.08774569	No	
row_117	USP11	16574	0.049318622797727585	0.055855058	No	
row_118	ITGA2	16893	0.03246565908193588	0.037765913	No	
row_119	MBL2	17015	0.026165001094341278	0.030945426	No	
row_120	MST1	17121	0.02114865742623806	0.02501978	No	
row_121	HTRA1	17429	0.006611691787838936	0.0074444637	No	
row_122	CTSK	17510	0.002316039986908436	0.0028672605	No	
