NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYBL2	129	9.519148826599121	0.010487866	Yes	
row_1	PLK1	235	7.812987327575684	0.01914651	Yes	
row_2	MELK	252	7.6340556144714355	0.032590184	Yes	
row_3	CCNB2	306	7.0353546142578125	0.04277808	Yes	
row_4	GINS1	309	7.008729934692383	0.055850785	Yes	
row_5	TRIP13	310	6.995330810546875	0.06901338	Yes	
row_6	MCM2	324	6.924345970153809	0.08129428	Yes	
row_7	CDK1	326	6.916968822479248	0.09425188	Yes	
row_8	CDCA3	335	6.822991371154785	0.10662982	Yes	
row_9	AURKB	353	6.72772216796875	0.11831056	Yes	
row_10	PTTG1	383	6.561648845672607	0.12898825	Yes	
row_11	CENPE	400	6.454919815063477	0.14021324	Yes	
row_12	CDCA8	420	6.344034194946289	0.15105693	Yes	
row_13	KIF22	436	6.260953903198242	0.16197449	Yes	
row_14	TOP2A	442	6.230100154876709	0.17340948	Yes	
row_15	MCM4	449	6.200882434844971	0.18473193	Yes	
row_16	AURKA	456	6.177409648895264	0.19601022	Yes	
row_17	UBE2T	462	6.137169361114502	0.20727032	Yes	
row_18	CDC20	468	6.1045684814453125	0.2184691	Yes	
row_19	MAD2L1	471	6.096261501312256	0.22982489	Yes	
row_20	E2F8	476	6.049415588378906	0.24097744	Yes	
row_21	BUB1B	488	6.002542018890381	0.25163895	Yes	
row_22	HMGB3	522	5.882420063018799	0.26080838	Yes	
row_23	KIF4A	530	5.86146354675293	0.27143463	Yes	
row_24	UBE2S	536	5.848967552185059	0.28215247	Yes	
row_25	DLGAP5	563	5.686023712158203	0.2913552	Yes	
row_26	KIF18B	579	5.637157917022705	0.301099	Yes	
row_27	DEPDC1	599	5.5599894523620605	0.31046742	Yes	
row_28	ASF1B	600	5.559030055999756	0.32092744	Yes	
row_29	CDKN3	611	5.510824203491211	0.33072126	Yes	
row_30	RAD51AP1	612	5.504549503326416	0.34107876	Yes	
row_31	KPNA2	627	5.448061466217041	0.3505243	Yes	
row_32	RRM2	646	5.345305919647217	0.35954633	Yes	
row_33	DCTPP1	651	5.333873748779297	0.3693525	Yes	
row_34	MKI67	677	5.229792594909668	0.37775433	Yes	
row_35	ESPL1	688	5.196202754974365	0.38695616	Yes	
row_36	EZH2	696	5.156062126159668	0.3962551	Yes	
row_37	RACGAP1	704	5.137411594390869	0.40551895	Yes	
row_38	KIF2C	714	5.114944934844971	0.41462544	Yes	
row_39	SPAG5	728	5.035042762756348	0.42335138	Yes	
row_40	CENPM	763	4.944024085998535	0.43069756	Yes	
row_41	HELLS	766	4.930131435394287	0.43985915	Yes	
row_42	HMMR	773	4.913639545440674	0.4487595	Yes	
row_43	SPC25	784	4.898379802703857	0.45740092	Yes	
row_44	POP7	832	4.771981716156006	0.4636753	Yes	
row_45	ATAD2	845	4.739004611968994	0.47190174	Yes	
row_46	CCNE1	873	4.6611175537109375	0.47911844	Yes	
row_47	NME1	896	4.59462308883667	0.48649776	Yes	
row_48	CIT	910	4.557853698730469	0.49432582	Yes	
row_49	SMC4	912	4.554497718811035	0.50283813	Yes	
row_50	CDKN2A	916	4.535314559936523	0.51119924	Yes	
row_51	LMNB1	936	4.4855875968933105	0.51854604	Yes	
row_52	RNASEH2A	977	4.398316383361816	0.52452016	Yes	
row_53	HMGA1	1016	4.320094585418701	0.53046215	Yes	
row_54	TACC3	1046	4.2761054039001465	0.5368393	Yes	
row_55	CSE1L	1071	4.229346752166748	0.5434162	Yes	
row_56	PLK4	1079	4.19997501373291	0.55091614	Yes	
row_57	CKS2	1088	4.181574821472168	0.5583239	Yes	
row_58	CDC25A	1108	4.158651828765869	0.56505555	Yes	
row_59	NOP56	1202	3.9857730865478516	0.5672034	Yes	
row_60	RANBP1	1284	3.834857702255249	0.5697578	Yes	
row_61	GINS4	1349	3.73785400390625	0.573108	Yes	
row_62	PCNA	1363	3.7148847579956055	0.57934994	Yes	
row_63	DIAPH3	1366	3.7104530334472656	0.5862165	Yes	
row_64	BRCA2	1367	3.709749460220337	0.59319687	Yes	
row_65	SNRPB	1444	3.5722975730895996	0.595545	Yes	
row_66	CHEK2	1469	3.5379247665405273	0.6008209	Yes	
row_67	SSRP1	1485	3.5114002227783203	0.6065648	Yes	
row_68	CDC25B	1605	3.3344125747680664	0.6059908	Yes	
row_69	CDK4	1697	3.204819917678833	0.6067843	Yes	
row_70	STMN1	1738	3.1649017333984375	0.6104376	Yes	
row_71	RFC2	1739	3.1635148525238037	0.6163901	Yes	
row_72	RAN	1777	3.1186323165893555	0.6201289	Yes	
row_73	MXD3	1796	3.0928902626037598	0.62491274	Yes	
row_74	PRDX4	1892	3.005704879760742	0.6251014	Yes	
row_75	PRKDC	1916	2.9856112003326416	0.6293956	Yes	
row_76	RBBP7	1926	2.9674441814422607	0.6344613	Yes	
row_77	DNMT1	1967	2.9305531978607178	0.6376736	Yes	
row_78	MTHFD2	2009	2.887127637863159	0.64074665	Yes	
row_79	DONSON	2048	2.8530402183532715	0.6439282	Yes	
row_80	CHEK1	2050	2.8521406650543213	0.64923733	Yes	
row_81	TK1	2071	2.8299708366394043	0.6534113	Yes	
row_82	TIMELESS	2095	2.8088860511779785	0.657373	Yes	
row_83	NUP205	2130	2.785903215408325	0.6606584	Yes	
row_84	POLD2	2196	2.7411632537841797	0.6620757	Yes	
row_85	NCAPD2	2245	2.7091147899627686	0.66441095	Yes	
row_86	WDR90	2326	2.6484532356262207	0.6647906	Yes	
row_87	POLD1	2356	2.6179463863372803	0.66804767	Yes	
row_88	POLA2	2360	2.6154563426971436	0.6727963	Yes	
row_89	LIG1	2446	2.5556557178497314	0.6727136	Yes	
row_90	TBRG4	2448	2.553673028945923	0.6774611	Yes	
row_91	TFRC	2465	2.5399973392486572	0.68131965	Yes	
row_92	CDKN2C	2547	2.493335247039795	0.6813499	Yes	
row_93	NOLC1	2565	2.480013132095337	0.68503803	Yes	
row_94	TMPO	2627	2.4402787685394287	0.6861193	Yes	
row_95	DSCC1	2636	2.4367611408233643	0.690244	Yes	
row_96	BIRC5	2698	2.3954825401306152	0.691241	Yes	
row_97	RPA3	2764	2.3561296463012695	0.6919338	Yes	
row_98	ILF3	2825	2.316131591796875	0.692839	Yes	
row_99	TCF19	2895	2.27406907081604	0.69314724	Yes	
row_100	MCM7	2918	2.2611687183380127	0.6961359	Yes	
row_101	POLE	2992	2.2087221145629883	0.6960909	Yes	
row_102	SUV39H1	3011	2.19486665725708	0.69918495	Yes	
row_103	RAD1	3061	2.170494794845581	0.7004492	Yes	
