NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FGF2	10	17.370290756225586	0.040697966	Yes	
row_1	COL11A1	16	16.508256912231445	0.07963547	Yes	
row_2	APLP1	81	10.873677253723145	0.101788364	Yes	
row_3	INHBA	101	10.250802040100098	0.12505162	Yes	
row_4	TGFBR3	127	9.54676342010498	0.14629662	Yes	
row_5	RGS4	144	9.094910621643066	0.16698603	Yes	
row_6	BGN	153	9.03920841217041	0.18800363	Yes	
row_7	POSTN	164	8.87614631652832	0.20851862	Yes	
row_8	LRRC15	190	8.533679962158203	0.22735643	Yes	
row_9	MMP1	271	7.391890048980713	0.24031521	Yes	
row_10	CDH2	290	7.176741600036621	0.25633174	Yes	
row_11	COMP	321	6.942209243774414	0.27110022	Yes	
row_12	COL1A1	330	6.890819549560547	0.28701302	Yes	
row_13	PCOLCE2	364	6.661468029022217	0.30094177	Yes	
row_14	CXCL12	378	6.586726188659668	0.31584415	Yes	
row_15	FN1	388	6.5132317543029785	0.3308022	Yes	
row_16	FBLN5	406	6.428119659423828	0.34509748	Yes	
row_17	FMOD	418	6.347998142242432	0.3595478	Yes	
row_18	CTHRC1	422	6.338972091674805	0.37443715	Yes	
row_19	SLIT3	445	6.205626964569092	0.38791594	Yes	
row_20	MATN2	545	5.817104339599609	0.39603916	Yes	
row_21	DST	559	5.716969966888428	0.40887496	Yes	
row_22	MFAP5	679	5.2236714363098145	0.41443682	Yes	
row_23	COL5A1	718	5.090791702270508	0.42434564	Yes	
row_24	CDH11	732	5.032232284545898	0.43555441	Yes	
row_25	ECM2	747	4.977597713470459	0.44657582	Yes	
row_26	VCAN	907	4.565306186676025	0.4482708	Yes	
row_27	OXTR	918	4.530388832092285	0.45845982	Yes	
row_28	ADAM12	1011	4.336980819702148	0.46346906	Yes	
row_29	ABI3BP	1029	4.29925012588501	0.47270593	Yes	
row_30	ENO2	1038	4.283920764923096	0.48242447	Yes	
row_31	MATN3	1059	4.25367546081543	0.49138036	Yes	
row_32	COL3A1	1147	4.07582426071167	0.49605688	Yes	
row_33	SPP1	1155	4.069242477416992	0.5053229	Yes	
row_34	FERMT2	1169	4.047734260559082	0.5141924	Yes	
row_35	FBLN2	1204	3.981442928314209	0.52169555	Yes	
row_36	PFN2	1272	3.8583340644836426	0.52700657	Yes	
row_37	COL5A2	1280	3.8439676761627197	0.5357373	Yes	
row_38	MMP14	1319	3.7868833541870117	0.5425479	Yes	
row_39	DCN	1332	3.762146472930908	0.55079633	Yes	
row_40	LAMA2	1402	3.6409971714019775	0.55547583	Yes	
row_41	MSX1	1533	3.4297733306884766	0.55614203	Yes	
row_42	TIMP1	1547	3.4115381240844727	0.56349987	Yes	
row_43	MXRA5	1717	3.189260244369507	0.5613496	Yes	
row_44	COPA	1802	3.089998483657837	0.56385636	Yes	
row_45	PLAUR	1806	3.0869038105010986	0.57101846	Yes	
row_46	FAP	1815	3.0782530307769775	0.5778722	Yes	
row_47	COL1A2	1829	3.058523416519165	0.58439124	Yes	
row_48	SGCB	1960	2.9359588623046875	0.58388406	Yes	
row_49	FSTL1	2115	2.7936654090881348	0.5816573	Yes	
row_50	LAMC1	2177	2.7543909549713135	0.5846906	Yes	
row_51	MYLK	2197	2.7406957149505615	0.59010905	Yes	
row_52	SCG2	2344	2.627551794052124	0.587948	Yes	
row_53	CADM1	2427	2.571349620819092	0.5893376	Yes	
row_54	SAT1	2511	2.5084187984466553	0.5905201	Yes	
row_55	VEGFC	2546	2.4933643341064453	0.59448737	Yes	
row_56	GPX7	2552	2.4912314414978027	0.600119	Yes	
row_57	LRP1	2616	2.449380397796631	0.60231245	Yes	
row_58	SERPINH1	2644	2.428649663925171	0.60652894	Yes	
row_59	SERPINE2	2804	2.3290295600891113	0.6029103	Yes	
row_60	PPIB	2810	2.325244426727295	0.6081475	Yes	
row_61	IL6	2901	2.2706007957458496	0.6083619	Yes	
row_62	VIM	2909	2.2670180797576904	0.6133456	Yes	
row_63	MCM7	2918	2.2611687183380127	0.61825794	Yes	
row_64	MYL9	2982	2.2159087657928467	0.6198966	Yes	
row_65	MEST	3137	2.1302578449249268	0.61609346	Yes	
