NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYBL2	129	9.519148826599121	0.01172764	Yes	
row_1	TPX2	162	8.899157524108887	0.027789153	Yes	
row_2	UBE2C	194	8.422457695007324	0.04294921	Yes	
row_3	PLK1	235	7.812987327575684	0.05636534	Yes	
row_4	BUB1	298	7.125167369842529	0.067131944	Yes	
row_5	CCNB2	306	7.0353546142578125	0.08088242	Yes	
row_6	TTK	315	6.982919216156006	0.094469875	Yes	
row_7	MCM2	324	6.924345970153809	0.1079395	Yes	
row_8	CDK1	326	6.916968822479248	0.12179703	Yes	
row_9	KIF23	351	6.738892555236816	0.13397297	Yes	
row_10	AURKB	353	6.72772216796875	0.1474498	Yes	
row_11	TROAP	380	6.583583831787109	0.15919822	Yes	
row_12	PTTG1	383	6.561648845672607	0.17228343	Yes	
row_13	NEK2	387	6.521704196929932	0.18523073	Yes	
row_14	CENPE	400	6.454919815063477	0.19752584	Yes	
row_15	RAD54L	405	6.428783893585205	0.21022867	Yes	
row_16	NUSAP1	410	6.402742862701416	0.22287911	Yes	
row_17	KIF22	436	6.260953903198242	0.23403603	Yes	
row_18	TOP2A	442	6.230100154876709	0.24628162	Yes	
row_19	PRC1	454	6.185966491699219	0.2580932	Yes	
row_20	AURKA	456	6.177409648895264	0.27046296	Yes	
row_21	CDC20	468	6.1045684814453125	0.2821108	Yes	
row_22	MAD2L1	471	6.096261501312256	0.29425976	Yes	
row_23	CDC7	492	5.99418306350708	0.3051677	Yes	
row_24	CDC6	496	5.9874467849731445	0.3170402	Yes	
row_25	NDC80	497	5.98569917678833	0.32908183	Yes	
row_26	POLQ	510	5.936802387237549	0.34033462	Yes	
row_27	HMGB3	522	5.882420063018799	0.35153556	Yes	
row_28	KIF4A	530	5.86146354675293	0.3629245	Yes	
row_29	UBE2S	536	5.848967552185059	0.37440336	Yes	
row_30	CENPF	549	5.790038585662842	0.3853609	Yes	
row_31	E2F2	570	5.6672773361206055	0.3956112	Yes	
row_32	KIF11	573	5.652327060699463	0.4068671	Yes	
row_33	EXO1	609	5.512933254241943	0.4159438	Yes	
row_34	CDKN3	611	5.510824203491211	0.42697257	Yes	
row_35	KPNA2	627	5.448061466217041	0.43706954	Yes	
row_36	CENPA	650	5.335531711578369	0.44653738	Yes	
row_37	MKI67	677	5.229792594909668	0.45556232	Yes	
row_38	ESPL1	688	5.196202754974365	0.4654403	Yes	
row_39	EZH2	696	5.156062126159668	0.47541016	Yes	
row_40	RACGAP1	704	5.137411594390869	0.48534247	Yes	
row_41	KIF2C	714	5.114944934844971	0.49511454	Yes	
row_42	FOXN3	741	4.995919704437256	0.503669	Yes	
row_43	CDC45	767	4.928289413452148	0.512145	Yes	
row_44	HMMR	773	4.913639545440674	0.5217422	Yes	
row_45	KIF15	814	4.81331205368042	0.5291238	Yes	
row_46	CCNA2	833	4.770968914031982	0.53768605	Yes	
row_47	E2F1	883	4.640974521636963	0.5442031	Yes	
row_48	SMC4	912	4.554497718811035	0.5517545	Yes	
row_49	LMNB1	936	4.4855875968933105	0.5594549	Yes	
row_50	TRAIP	949	4.453714847564697	0.5677241	Yes	
row_51	SLC7A5	997	4.365528106689453	0.5738021	Yes	
row_52	HMGA1	1016	4.320094585418701	0.5814573	Yes	
row_53	TACC3	1046	4.2761054039001465	0.5883911	Yes	
row_54	PBK	1068	4.233345985412598	0.5956992	Yes	
row_55	PLK4	1079	4.19997501373291	0.603573	Yes	
row_56	CKS2	1088	4.181574821472168	0.61152494	Yes	
row_57	CDC25A	1108	4.158651828765869	0.61879784	Yes	
row_58	DKC1	1287	3.8294765949249268	0.61626005	Yes	
row_59	STIL	1330	3.764355421066284	0.62141633	Yes	
row_60	BRCA2	1367	3.709749460220337	0.626808	Yes	
row_61	KIF20B	1437	3.5855462551116943	0.6300511	Yes	
row_62	LIG3	1511	3.4695401191711426	0.6328306	Yes	
row_63	CDC25B	1605	3.3344125747680664	0.6341876	Yes	
row_64	PTTG3P	1631	3.300114154815674	0.6393881	Yes	
row_65	UCK2	1667	3.2536208629608154	0.6439197	Yes	
row_66	DBF4	1685	3.2265517711639404	0.6494325	Yes	
row_67	CDK4	1697	3.204819917678833	0.65524685	Yes	
row_68	SAP30	1728	3.1768569946289062	0.6599117	Yes	
row_69	STMN1	1738	3.1649017333984375	0.66576076	Yes	
row_70	BUB3	1891	3.0083937644958496	0.66306716	Yes	
row_71	CHEK1	2050	2.8521406650543213	0.659714	Yes	
row_72	POLA2	2360	2.6154563426971436	0.64719653	Yes	
row_73	SMARCC1	2529	2.501450777053833	0.6425625	Yes	
row_74	CDKN2C	2547	2.493335247039795	0.6466003	Yes	
row_75	NOLC1	2565	2.480013132095337	0.6506113	Yes	
row_76	TOP1	2582	2.4693098068237305	0.65465826	Yes	
row_77	PAFAH1B1	2598	2.461008071899414	0.65874606	Yes	
row_78	TMPO	2627	2.4402787685394287	0.6620442	Yes	
row_79	BIRC5	2698	2.3954825401306152	0.66283566	Yes	
row_80	RBL1	2737	2.375027656555176	0.66542715	Yes	
row_81	CHAF1A	2780	2.3430240154266357	0.66772413	Yes	
row_82	ILF3	2825	2.316131591796875	0.6698519	Yes	
row_83	ARID4A	2848	2.2987122535705566	0.6732105	Yes	
row_84	ODF2	2857	2.2942113876342773	0.67736554	Yes	
row_85	POLE	2992	2.2087221145629883	0.67409885	Yes	
row_86	SUV39H1	3011	2.19486665725708	0.6774787	Yes	
row_87	ATF5	3072	2.1622426509857178	0.67837626	Yes	
row_88	MCM6	3128	2.1366753578186035	0.6795101	Yes	
row_89	HOXC10	3142	2.1281356811523438	0.68304336	Yes	
row_90	INCENP	3332	2.0335195064544678	0.6762597	No	
row_91	GSPT1	3406	2.000305652618408	0.67608356	No	
row_92	SMC2	3489	1.9627310037612915	0.67531395	No	
row_93	SQLE	3594	1.914551019668579	0.67318165	No	
row_94	E2F3	3758	1.8504329919815063	0.66752565	No	
row_95	HNRNPU	3788	1.8401097059249878	0.6695588	No	
row_96	MCM5	3841	1.8167946338653564	0.6702218	No	
row_97	CCNF	3869	1.8046433925628662	0.6722987	No	
row_98	RAD21	3873	1.8025996685028076	0.67575246	No	
row_99	CKS1B	3914	1.7819387912750244	0.67703575	No	
row_100	TFDP1	4066	1.7265712022781372	0.671821	No	
row_101	SNRPD1	4133	1.705344319343567	0.67145425	No	
row_102	PRIM2	4227	1.6683242321014404	0.66945946	No	
row_103	HSPA8	4304	1.64658522605896	0.6683991	No	
row_104	SFPQ	4354	1.6329632997512817	0.66886485	No	
row_105	SLC7A1	4418	1.6080607175827026	0.66847503	No	
row_106	DMD	4475	1.5950640439987183	0.66846174	No	
row_107	HUS1	4544	1.576124668121338	0.66771996	No	
row_108	SMAD3	4566	1.568451166152954	0.66966695	No	
row_109	SMC1A	4576	1.5659255981445312	0.6722993	No	
row_110	PURA	4688	1.5276663303375244	0.66898596	No	
row_111	MCM3	5070	1.4207086563110352	0.64992225	No	
row_112	DTYMK	5115	1.4078621864318848	0.6502229	No	
row_113	CBX1	5372	1.3348159790039062	0.6381786	No	
row_114	ABL1	5396	1.326162338256836	0.6395231	No	
row_115	NUP50	5430	1.316207766532898	0.64027226	No	
row_116	CUL5	6134	1.150923490524292	0.6021388	No	
row_117	TLE3	6321	1.1069667339324951	0.59366375	No	
row_118	XPO1	6725	1.0341014862060547	0.5725565	No	
row_119	CUL1	6961	0.9814997911453247	0.56100976	No	
row_120	HIF1A	7163	0.9454758763313293	0.5513468	No	
row_121	EWSR1	7436	0.8946496248245239	0.5374964	No	
row_122	NASP	7583	0.8757074475288391	0.5308576	No	
row_123	ATRX	7632	0.8697139620780945	0.5298455	No	
row_124	NCL	7708	0.8574085831642151	0.527255	No	
row_125	MTF2	7852	0.8372384309768677	0.5207115	No	
row_126	TGFB1	7937	0.8243871927261353	0.51753676	No	
row_127	SYNCRIP	8473	0.7416417598724365	0.48824623	No	
row_128	MEIS2	8763	0.7020820379257202	0.47303033	No	
row_129	YTHDC1	9186	0.649387776851654	0.45005596	No	
row_130	HMGN2	9413	0.621177613735199	0.43830213	No	
row_131	G3BP1	9480	0.612101137638092	0.43573606	No	
row_132	MEIS1	9538	0.6058939099311829	0.43367532	No	
row_133	HNRNPD	9634	0.5946306586265564	0.4294055	No	
row_134	SLC38A1	9646	0.5931970477104187	0.42996594	No	
row_135	CTCF	9650	0.5928563475608826	0.430986	No	
row_136	AMD1	10079	0.5458295345306396	0.40745804	No	
row_137	BARD1	10293	0.5254467129707336	0.39625964	No	
row_138	CHMP1A	10618	0.4926798641681671	0.37860867	No	
row_139	KPNB1	10666	0.48868921399116516	0.37688753	No	
row_140	WRN	10785	0.47483521699905396	0.37105334	No	
row_141	NOTCH2	11001	0.45310914516448975	0.35959435	No	
row_142	TNPO2	11005	0.4522494673728943	0.36033154	No	
row_143	CCND1	11575	0.40222811698913574	0.32840192	No	
row_144	TRA2B	11621	0.39829301834106445	0.326614	No	
row_145	RBM14	11697	0.3910553455352783	0.3230854	No	
row_146	CDC27	12213	0.3477236032485962	0.29415315	No	
row_147	SLC12A2	12718	0.30329224467277527	0.26576445	No	
row_148	CCNT1	12838	0.29391512274742126	0.2595088	No	
row_149	STAG1	12931	0.2850422263145447	0.25478876	No	
row_150	MAPK14	12989	0.28134217858314514	0.2520751	No	
row_151	PRPF4B	13012	0.27943989634513855	0.25137144	No	
row_152	EGF	13170	0.26683309674263	0.24287488	No	
row_153	KIF5B	13190	0.26505404710769653	0.24231489	No	
row_154	RASAL2	13317	0.2549455761909485	0.23557806	No	
row_155	RPA2	13435	0.24747681617736816	0.22934404	No	
row_156	DR1	13480	0.24354247748851776	0.22730233	No	
row_157	BCL3	13518	0.24025972187519073	0.22565679	No	
row_158	CUL4A	13711	0.22689712047576904	0.21506606	No	
row_159	PRMT5	14020	0.2032710760831833	0.19775347	No	
row_160	PML	14060	0.20059077441692352	0.19591305	No	
row_161	MYC	14131	0.19497057795524597	0.19227766	No	
row_162	E2F4	14152	0.19315128028392792	0.19151548	No	
row_163	KATNA1	14202	0.18896779417991638	0.18907629	No	
row_164	MNAT1	14271	0.1842842698097229	0.18553448	No	
row_165	PDS5B	14554	0.16418501734733582	0.16963923	No	
row_166	LBR	14866	0.14593316614627838	0.15203868	No	
row_167	MT2A	14984	0.13886557519435883	0.14558616	No	
row_168	MARCKS	15137	0.12941822409629822	0.13710083	No	
row_169	ODC1	15328	0.11688271909952164	0.12640387	No	
row_170	CUL3	15451	0.1092153862118721	0.119604014	No	
row_171	NUP98	15569	0.10294413566589355	0.113079235	No	
row_172	HIRA	15710	0.0959462895989418	0.10521702	No	
row_173	CDKN1B	15867	0.08660184592008591	0.0964154	No	
row_174	UPF1	15939	0.08279947936534882	0.09249681	No	
row_175	RPS6KA5	16364	0.060226112604141235	0.06822211	No	
row_176	NUMA1	16539	0.051123879849910736	0.058313455	No	
row_177	SS18	16856	0.03423207253217697	0.0402005	No	
row_178	RAD23B	16888	0.03268011286854744	0.038482588	No	
row_179	EFNA5	17017	0.026044489815831184	0.031170195	No	
row_180	FANCC	17405	0.007704065181314945	0.008918719	No	
