NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCK1	52	12.68612289428711	0.03994532	Yes	
row_1	PYGM	131	9.509833335876465	0.06764398	Yes	
row_2	BGN	153	9.03920841217041	0.09702977	Yes	
row_3	SRPX	200	8.373875617980957	0.12272506	Yes	
row_4	CAV1	234	7.822704792022705	0.14730294	Yes	
row_5	GPC3	367	6.650412082672119	0.16221619	Yes	
row_6	CXCR4	394	6.480368614196777	0.18265358	Yes	
row_7	GAPDH	526	5.87095308303833	0.19498621	Yes	
row_8	AKAP12	537	5.847517013549805	0.21420234	Yes	
row_9	CDKN1C	583	5.623443603515625	0.23064604	Yes	
row_10	TPI1	702	5.144797325134277	0.24126899	Yes	
row_11	COL5A1	718	5.090791702270508	0.2576362	Yes	
row_12	NR3C1	971	4.406145095825195	0.25804818	Yes	
row_13	ENO2	1038	4.283920764923096	0.26874968	Yes	
row_14	IGFBP1	1098	4.173422336578369	0.27948	Yes	
row_15	FOS	1168	4.048027038574219	0.28921047	Yes	
row_16	DCN	1332	3.762146472930908	0.2925642	Yes	
row_17	TMEM45A	1359	3.7251803874969482	0.30367634	Yes	
row_18	TPD52	1376	3.6901400089263916	0.31524533	Yes	
row_19	PHKG1	1426	3.6002376079559326	0.3246111	Yes	
row_20	STBD1	1441	3.5791842937469482	0.33591962	Yes	
row_21	LXN	1457	3.5585310459136963	0.3471007	Yes	
row_22	PDK3	1503	3.483330488204956	0.35630095	Yes	
row_23	SLC2A1	1548	3.4101078510284424	0.3653109	Yes	
row_24	EGFR	1614	3.3219635486602783	0.3728141	Yes	
row_25	LDHC	1693	3.208366870880127	0.37918475	Yes	
row_26	SAP30	1728	3.1768569946289062	0.38798067	Yes	
row_27	PLAUR	1806	3.0869038105010986	0.39399776	Yes	
row_28	F3	1811	3.08202862739563	0.40419906	Yes	
row_29	PPFIA4	1943	2.949226140975952	0.40664276	Yes	
row_30	NCAN	1993	2.900320053100586	0.41363958	Yes	
row_31	BNIP3L	2039	2.862497568130493	0.42073855	Yes	
row_32	B3GALT6	2064	2.8367533683776855	0.42895877	Yes	
row_33	DPYSL4	2067	2.8318722248077393	0.4384285	Yes	
row_34	ETS1	2089	2.812838077545166	0.44674042	Yes	
row_35	PFKP	2151	2.773142099380493	0.45261624	Yes	
row_36	GBE1	2232	2.717599630355835	0.45721075	Yes	
row_37	KDELR3	2328	2.644554615020752	0.46069485	Yes	
row_38	ALDOA	2368	2.6096243858337402	0.46728322	Yes	
row_39	PFKFB3	2459	2.544440269470215	0.4707162	Yes	
row_40	MIF	2486	2.524841070175171	0.47776565	Yes	
row_41	EFNA3	2669	2.410212755203247	0.47545028	Yes	
row_42	PGK1	2681	2.40554141998291	0.48295912	Yes	
row_43	WSB1	2852	2.2956855297088623	0.48094663	Yes	
row_44	IL6	2901	2.2706007957458496	0.48586965	Yes	
row_45	S100A4	3141	2.1283957958221436	0.4793204	Yes	
row_46	P4HA1	3151	2.1224637031555176	0.48598623	Yes	
row_47	DDIT4	3379	2.010667085647583	0.47972906	Yes	
row_48	PGAM2	3470	1.9705394506454468	0.48121962	Yes	
row_49	KLHL24	3516	1.9494718313217163	0.48522833	Yes	
row_50	DUSP1	3520	1.947725534439087	0.491648	Yes	
row_51	RRAGD	3678	1.883844017982483	0.48898968	Yes	
row_52	XPNPEP1	3681	1.8835538625717163	0.4952497	Yes	
row_53	IER3	3685	1.8818098306655884	0.50144625	Yes	
row_54	KDM3A	3725	1.8673756122589111	0.5055224	Yes	
row_55	ALDOB	3771	1.8459842205047607	0.50918084	Yes	
row_56	SIAH2	3789	1.8394203186035156	0.5144283	Yes	
row_57	LDHA	3792	1.8389989137649536	0.5205375	Yes	
row_58	EFNA1	3832	1.819190263748169	0.52445054	Yes	
row_59	IRS2	3911	1.7832826375961304	0.5259978	Yes	
row_60	RORA	3992	1.753883957862854	0.5273305	Yes	
row_61	SERPINE1	4202	1.6753228902816772	0.52097416	Yes	
row_62	FAM162A	4321	1.6413322687149048	0.5197392	Yes	
row_63	ENO1	4349	1.6342310905456543	0.5237168	Yes	
row_64	NEDD4L	4403	1.613293170928955	0.52612734	Yes	
row_65	TGM2	4547	1.5752575397491455	0.52323014	Yes	
row_66	TGFB3	4556	1.571871280670166	0.52809	Yes	
row_67	ZFP36	4637	1.5456552505493164	0.5287179	Yes	
row_68	STC1	4657	1.538599967956543	0.53283215	Yes	
row_69	TKTL1	4683	1.5289322137832642	0.53656834	Yes	
row_70	ANGPTL4	5376	1.3334156274795532	0.501261	No	
row_71	GALK1	5539	1.2874584197998047	0.49629644	No	
row_72	PGM1	5634	1.2636120319366455	0.49516413	No	
row_73	P4HA2	5653	1.260247826576233	0.49839377	No	
row_74	CHST3	5716	1.244726300239563	0.49903896	No	
