NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MMP11	13	16.749120712280273	0.049362052	Yes	
row_1	RBP4	51	12.892556190490723	0.08580522	Yes	
row_2	G0S2	55	12.591805458068848	0.12330476	Yes	
row_3	INHBA	101	10.250802040100098	0.15138407	Yes	
row_4	CIDEA	102	10.22348690032959	0.18197069	Yes	
row_5	ALDH1A2	293	7.167282581329346	0.19248226	Yes	
row_6	TMEM100	329	6.910336017608643	0.21114291	Yes	
row_7	RELN	384	6.554484844207764	0.22764577	Yes	
row_8	GYPC	392	6.486446857452393	0.24664918	Yes	
row_9	CXCR4	394	6.480368614196777	0.2659796	Yes	
row_10	HSD11B1	478	6.035181522369385	0.2792603	Yes	
row_11	AKAP12	537	5.847517013549805	0.29341793	Yes	
row_12	CXCL10	574	5.649871349334717	0.30824998	Yes	
row_13	CCL20	584	5.617486953735352	0.32453856	Yes	
row_14	PCSK1N	638	5.383008003234863	0.33759412	Yes	
row_15	TMEM158	668	5.279162406921387	0.35171983	Yes	
row_16	GNG11	693	5.176164150238037	0.36582506	Yes	
row_17	EPB41L3	796	4.863990306854248	0.37450865	Yes	
row_18	TSPAN7	838	4.763253211975098	0.38640046	Yes	
row_19	MMD	866	4.686559200286865	0.39886826	Yes	
row_20	AMMECR1	900	4.581009864807129	0.4106751	Yes	
row_21	CFH	940	4.474719524383545	0.42181873	Yes	
row_22	MMP9	988	4.377508640289307	0.43221125	Yes	
row_23	IL33	991	4.371828079223633	0.44517583	Yes	
row_24	KLF4	1065	4.237297534942627	0.45365298	Yes	
row_25	SPP1	1155	4.069242477416992	0.4607068	Yes	
row_26	CDADC1	1417	3.610891342163086	0.45649344	Yes	
row_27	ENG	1633	3.2994043827056885	0.45399478	Yes	
row_28	CBX8	1682	3.235663652420044	0.4609136	Yes	
row_29	PLAUR	1806	3.0869038105010986	0.4630723	Yes	
row_30	ADAM8	1809	3.0849692821502686	0.47218683	Yes	
row_31	EMP1	1871	3.0257551670074463	0.4777297	Yes	
row_32	ACE	1931	2.964325428009033	0.48320386	Yes	
row_33	TFPI	2088	2.8130972385406494	0.48264477	Yes	
row_34	ETS1	2089	2.812838077545166	0.4910602	Yes	
row_35	CAB39L	2113	2.795193910598755	0.49809957	Yes	
row_36	SPARCL1	2139	2.782118797302246	0.50498474	Yes	
row_37	EVI5	2143	2.77998685836792	0.5131293	Yes	
row_38	F13A1	2213	2.7311387062072754	0.51733047	Yes	
row_39	MTMR10	2222	2.725447177886963	0.5250242	Yes	
row_40	FLT4	2224	2.724081039428711	0.5331166	Yes	
row_41	ALDH1A3	2249	2.7076773643493652	0.5398366	Yes	
row_42	SCN1B	2294	2.675459146499634	0.5453095	Yes	
row_43	DNMBP	2332	2.6374449729919434	0.55107147	Yes	
row_44	ABCB1	2461	2.542006492614746	0.55131227	Yes	
row_45	TNFRSF1B	2528	2.5016865730285645	0.55499953	Yes	
row_46	MMP10	2544	2.493715763092041	0.5615972	Yes	
row_47	PRDM1	2729	2.3784444332122803	0.5581268	Yes	
row_48	CCND2	2775	2.3492279052734375	0.56256616	Yes	
row_49	CMKLR1	2801	2.3304734230041504	0.56810015	Yes	
row_50	CBL	2947	2.2416508197784424	0.56646425	No	
row_51	RABGAP1L	3244	2.077946424484253	0.55565095	No	
row_52	JUP	3311	2.0423169136047363	0.5579639	No	
row_53	PLVAP	3423	1.99220609664917	0.5575379	No	
row_54	PDCD1LG2	3518	1.9479390382766724	0.55795753	No	
row_55	PLAU	3741	1.8608601093292236	0.5507523	No	
row_56	PLEK2	3857	1.8087759017944336	0.5495474	No	
row_57	EPHB2	3862	1.8070366382598877	0.5547235	No	
row_58	CSF2RA	4052	1.7304567098617554	0.5490268	No	
row_59	MAP7	4075	1.7244359254837036	0.55292016	No	
row_60	MYCN	4161	1.6935219764709473	0.5530965	No	
row_61	YRDC	4342	1.636168122291565	0.5476354	No	
row_62	AVL9	4493	1.5897455215454102	0.5437615	No	
row_63	PIGR	4656	1.5389187335968018	0.5390451	No	
row_64	TSPAN13	4741	1.5092060565948486	0.53872746	No	
row_65	NAP1L2	4747	1.5079597234725952	0.54295135	No	
row_66	BTBD3	4805	1.4932321310043335	0.5441393	No	
row_67	PRKG2	4866	1.4755052328109741	0.5451017	No	
row_68	SATB1	4941	1.4546996355056763	0.54519635	No	
row_69	NRP1	5048	1.4270386695861816	0.54336715	No	
row_70	GFPT2	5090	1.4136786460876465	0.54523766	No	
row_71	ZNF639	5303	1.3506642580032349	0.53708136	No	
row_72	KCNN4	5363	1.335895299911499	0.5376836	No	
row_73	ANGPTL4	5376	1.3334156274795532	0.5409825	No	
row_74	LIF	5408	1.3219366073608398	0.5431539	No	
row_75	IGF2	5452	1.3110241889953613	0.5446023	No	
row_76	TSPAN1	5561	1.2823127508163452	0.542225	No	
row_77	C3AR1	5615	1.2694458961486816	0.54297364	No	
row_78	ANKH	5933	1.194168210029602	0.52830803	No	
row_79	PPBP	5949	1.1896547079086304	0.5310042	No	
row_80	LCP1	5969	1.184299349784851	0.53345424	No	
row_81	VWA5A	6017	1.1772480010986328	0.53427225	No	
row_82	SPRY2	6047	1.17072594165802	0.53610635	No	
row_83	ETV4	6251	1.1229023933410645	0.52778643	No	
row_84	SERPINA3	6295	1.1115061044692993	0.5286378	No	
row_85	RGS16	6317	1.1072711944580078	0.53074235	No	
row_86	TLR8	6426	1.0889513492584229	0.5277866	No	
row_87	RBM4	6506	1.0739917755126953	0.52645457	No	
row_88	NIN	6548	1.066973328590393	0.52728784	No	
row_89	IL10RA	6638	1.0487903356552124	0.5253051	No	
row_90	CBR4	6979	0.9783775806427002	0.5086706	No	
row_91	SCG3	7035	0.967990517616272	0.5084022	No	
row_92	IL1RL2	7212	0.9356324076652527	0.5010755	No	
row_93	PTPRR	7216	0.935247004032135	0.503701	No	
row_94	GPRC5B	7496	0.8869463205337524	0.4903025	No	
row_95	PLAT	7574	0.8767009377479553	0.4884953	No	
row_96	FUCA1	7959	0.8216172456741333	0.46886033	No	
row_97	PTBP2	8210	0.7827988862991333	0.45681876	No	
row_98	LAT2	8223	0.7806158661842346	0.45846382	No	
row_99	HDAC9	8306	0.7684220671653748	0.45604497	No	
row_100	USP12	8531	0.7343970537185669	0.4453545	No	
row_101	GPNMB	8635	0.7198551893234253	0.44158214	No	
row_102	IRF8	8743	0.7056376338005066	0.43753713	No	
row_103	SCG5	8901	0.6846981644630432	0.43055275	No	
row_104	IL2RG	9231	0.6441805958747864	0.4135513	No	
row_105	CFB	9281	0.637845516204834	0.41264045	No	
row_106	BPGM	9588	0.5993472933769226	0.39682814	No	
row_107	PEG3	9763	0.5794742703437805	0.38855088	No	
row_108	ITGBL1	9863	0.5708484053611755	0.38456285	No	
row_109	DUSP6	9873	0.5701001882553101	0.38575068	No	
row_110	NGF	9881	0.5695809721946716	0.387052	No	
row_111	RETN	9975	0.5603019595146179	0.38337764	No	
row_112	MAP3K1	10010	0.5554775595664978	0.38308337	No	
row_113	FCER1G	10069	0.5477491021156311	0.38138515	No	
row_114	BMP2	10112	0.5427049994468689	0.38059238	No	
row_115	SEMA3B	10230	0.5314852595329285	0.375451	No	
row_116	GALNT3	10489	0.5049518346786499	0.36211792	No	
row_117	DCBLD2	10543	0.5003585815429688	0.36056557	No	
row_118	CPE	10753	0.47898030281066895	0.34997398	No	
row_119	CTSS	10795	0.4738680124282837	0.3490328	No	
row_120	FBXO4	10849	0.46876999735832214	0.34738594	No	
row_121	LY96	10882	0.4637615978717804	0.34693232	No	
row_122	DOCK2	11059	0.44779708981513977	0.33814606	No	
row_123	TMEM176A	11328	0.4255214333534241	0.324	No	
row_124	TMEM176B	11378	0.4210120439529419	0.32244042	No	
row_125	SLPI	11504	0.4087313711643219	0.3164715	No	
row_126	CROT	11636	0.39711904525756836	0.3101226	No	
row_127	PPP1R15A	11733	0.3880932927131653	0.30576044	No	
row_128	ID2	11861	0.378652423620224	0.29958647	No	
row_129	MAP4K1	11893	0.3760124146938324	0.29892787	No	
row_130	TOR1AIP2	11965	0.36979931592941284	0.2959493	No	
row_131	PTCD2	12211	0.34803834557533264	0.2828947	No	
row_132	BTC	12333	0.33613765239715576	0.27693874	No	
row_133	SOX9	12769	0.299293577671051	0.25280684	No	
row_134	ANO1	12834	0.29439210891723633	0.25000542	No	
row_135	TRIB1	12868	0.29062730073928833	0.24897629	No	
row_136	CD37	12943	0.28455278277397156	0.2455701	No	
row_137	AKT2	13043	0.2762351930141449	0.24070066	No	
row_138	PCP4	13090	0.27145877480506897	0.23886624	No	
row_139	FGF9	13110	0.2704838514328003	0.23858233	No	
row_140	ADAMDEC1	13193	0.26493337750434875	0.23465717	No	
row_141	ATG10	13207	0.2641909122467041	0.23469962	No	
row_142	BIRC3	13235	0.261579692363739	0.2339288	No	
row_143	TRIB2	13257	0.25976893305778503	0.23349775	No	
row_144	CSF2	13339	0.25312501192092896	0.2295948	No	
row_145	KIF5C	13555	0.2377871423959732	0.21793638	No	
row_146	ZNF277	13670	0.22991208732128143	0.21206534	No	
row_147	WDR33	13679	0.2291531264781952	0.21229064	No	
row_148	HBEGF	13720	0.2262917160987854	0.21066631	No	
row_149	MPZL2	13722	0.2261752039194107	0.21128544	No	
row_150	WNT7A	13773	0.221003457903862	0.20906994	No	
row_151	HOXD11	13803	0.21923889219760895	0.20805737	No	
row_152	SPON1	14147	0.19385302066802979	0.18890314	No	
