NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GSN	159	8.95644474029541	0.015271357	Yes	
row_1	TPX2	162	8.899157524108887	0.03942506	Yes	
row_2	ANLN	197	8.39443588256836	0.06036008	Yes	
row_3	PLK1	235	7.812987327575684	0.07953673	Yes	
row_4	BUB1	298	7.125167369842529	0.09539836	Yes	
row_5	CCNB2	306	7.0353546142578125	0.11418144	Yes	
row_6	TTK	315	6.982919216156006	0.13276395	Yes	
row_7	CDK1	326	6.916968822479248	0.15105148	Yes	
row_8	KIF23	351	6.738892555236816	0.16804738	Yes	
row_9	NEK2	387	6.521704196929932	0.18381771	Yes	
row_10	CENPE	400	6.454919815063477	0.20073004	Yes	
row_11	NUSAP1	410	6.402742862701416	0.2176728	Yes	
row_12	KIF22	436	6.260953903198242	0.23330775	Yes	
row_13	TOP2A	442	6.230100154876709	0.25000995	Yes	
row_14	PRC1	454	6.185966491699219	0.2662464	Yes	
row_15	AURKA	456	6.177409648895264	0.28303522	Yes	
row_16	NDC80	497	5.98569917678833	0.29705596	Yes	
row_17	KIF4A	530	5.86146354675293	0.31119847	Yes	
row_18	CENPF	549	5.790038585662842	0.32595217	Yes	
row_19	DST	559	5.716969966888428	0.34102476	Yes	
row_20	DLGAP5	563	5.686023712158203	0.35635838	Yes	
row_21	KIF11	573	5.652327060699463	0.37125465	Yes	
row_22	SPTBN1	686	5.200710773468018	0.3789896	Yes	
row_23	ESPL1	688	5.196202754974365	0.39310256	Yes	
row_24	RACGAP1	704	5.137411594390869	0.40624923	Yes	
row_25	KIF2C	714	5.114944934844971	0.41968	Yes	
row_26	KIF15	814	4.81331205368042	0.4271069	Yes	
row_27	ITSN1	844	4.739171028137207	0.4383615	Yes	
row_28	SMC4	912	4.554497718811035	0.44692484	Yes	
row_29	LMNB1	936	4.4855875968933105	0.45783332	Yes	
row_30	SHROOM2	962	4.4343743324279785	0.46848702	Yes	
row_31	ARHGAP10	980	4.393573760986328	0.47949	Yes	
row_32	ARHGAP5	1060	4.2529683113098145	0.4865402	Yes	
row_33	ECT2	1150	4.073683261871338	0.49252573	Yes	
row_34	CDC42EP2	1182	4.008882522583008	0.50167364	Yes	
row_35	EPB41L2	1240	3.905850887298584	0.50904375	Yes	
row_36	BRCA2	1367	3.709749460220337	0.5119067	Yes	
row_37	KIF20B	1437	3.5855462551116943	0.5177125	Yes	
row_38	KIFAP3	1746	3.157338857650757	0.5085911	Yes	
row_39	PKD2	1748	3.15560245513916	0.51713914	Yes	
row_40	KNTC1	1775	3.11983585357666	0.52415043	Yes	
row_41	SYNPO	1895	3.0045721530914307	0.52549326	Yes	
row_42	PIF1	1994	2.89591908454895	0.5277488	Yes	
row_43	TSC1	2008	2.887359619140625	0.5348745	Yes	
row_44	FGD4	2015	2.882376194000244	0.5423896	Yes	
row_45	TUBA4A	2333	2.6364827156066895	0.53132963	Yes	
row_46	ROCK1	2533	2.499988317489624	0.52669084	Yes	
row_47	CKAP5	2577	2.4736104011535645	0.53096104	Yes	
row_48	PAFAH1B1	2598	2.461008071899414	0.5365211	Yes	
row_49	BIRC5	2698	2.3954825401306152	0.5373543	Yes	
row_50	MAPRE1	2722	2.381800889968872	0.54252553	Yes	
row_51	DOCK4	2735	2.375410318374634	0.54831266	Yes	
row_52	FGD6	2979	2.2167885303497314	0.54036844	Yes	
row_53	RABGAP1	3068	2.1649255752563477	0.5412062	Yes	
row_54	SASS6	3118	2.140594244003296	0.54422283	Yes	
row_55	BIN1	3170	2.114532709121704	0.5470533	Yes	
row_56	CEP250	3173	2.113734722137451	0.5527025	Yes	
row_57	KPTN	3247	2.076040029525757	0.55416137	Yes	
row_58	INCENP	3332	2.0335195064544678	0.5548711	Yes	
row_59	CEP72	3344	2.0285720825195312	0.55976987	Yes	
row_60	ARHGAP29	3361	2.021040678024292	0.5643603	Yes	
row_61	EZR	3445	1.9812434911727905	0.56498504	Yes	
row_62	FSCN1	3459	1.9751249551773071	0.56962293	Yes	
row_63	ARAP3	3493	1.9595589637756348	0.573067	Yes	
row_64	FARP1	3506	1.953867793083191	0.57770455	Yes	
row_65	HOOK3	3523	1.9461485147476196	0.58209074	Yes	
row_66	ARFGEF1	3649	1.895918369293213	0.5800648	No	
row_67	KIF3C	3726	1.8660527467727661	0.58077836	No	
row_68	ARHGEF7	3829	1.8208625316619873	0.57987183	No	
row_69	SAC3D1	4065	1.7266645431518555	0.57105154	No	
row_70	STAU1	4105	1.7147226333618164	0.57348245	No	
row_71	RHOF	4220	1.6704761981964111	0.57147497	No	
row_72	WASL	4265	1.6592563390731812	0.57346684	No	
row_73	MARK4	4278	1.6545377969741821	0.57728803	No	
row_74	CCDC88A	4377	1.6261320114135742	0.57608074	No	
row_75	SMC1A	4576	1.5659255981445312	0.5689522	No	
row_76	VCL	4624	1.5504635572433472	0.5704747	No	
row_77	CENPJ	4763	1.5041533708572388	0.5666319	No	
row_78	CLIP2	4988	1.443786382675171	0.55767345	No	
row_79	ABL1	5396	1.326162338256836	0.53785884	No	
row_80	ARHGEF12	5476	1.3034205436706543	0.5368653	No	
row_81	PCGF5	5485	1.3017207384109497	0.53995466	No	
row_82	ARHGEF11	5830	1.214773416519165	0.5234632	No	
row_83	SORBS2	6020	1.177059292793274	0.5157923	No	
row_84	SUN2	6114	1.1559921503067017	0.51359075	No	
row_85	ARHGEF3	6139	1.1505674123764038	0.51534677	No	
row_86	ARL8A	6164	1.1448626518249512	0.5170872	No	
row_87	RHOT2	6165	1.144336223602295	0.52020794	No	
row_88	SSH2	6356	1.102156400680542	0.5122752	No	
row_89	TUBGCP6	6492	1.0763663053512573	0.50743854	No	
row_90	NIN	6548	1.066973328590393	0.50718194	No	
row_91	CDK5RAP2	6583	1.0595296621322632	0.508114	No	
