NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLK1	235	7.812987327575684	0.013261962	Yes	
row_1	TRIB3	250	7.673391342163086	0.038764738	Yes	
row_2	BUB1	298	7.125167369842529	0.060488626	Yes	
row_3	MCM2	324	6.924345970153809	0.08279017	Yes	
row_4	CXCR4	394	6.480368614196777	0.10103716	Yes	
row_5	MCM4	449	6.200882434844971	0.11918922	Yes	
row_6	AURKA	456	6.177409648895264	0.1400234	Yes	
row_7	GAPDH	526	5.87095308303833	0.15618096	Yes	
row_8	RRM2	646	5.345305919647217	0.16765864	Yes	
row_9	ASNS	682	5.212269306182861	0.18351473	Yes	
row_10	TPI1	702	5.144797325134277	0.20006035	Yes	
row_11	CFP	753	4.961654186248779	0.21419388	Yes	
row_12	HPRT1	769	4.922438144683838	0.23020735	Yes	
row_13	SLC7A11	818	4.8064866065979	0.24392399	Yes	
row_14	SHMT2	905	4.566112041473389	0.25462946	Yes	
row_15	SLC7A5	997	4.365528106689453	0.26435944	Yes	
row_16	CDC25A	1108	4.158651828765869	0.2722866	Yes	
row_17	LGMN	1341	3.743626356124878	0.27176926	Yes	
row_18	FGL2	1467	3.541353464126587	0.27671668	Yes	
row_19	CCT6A	1515	3.463228702545166	0.28588548	Yes	
row_20	SLC2A1	1548	3.4101078510284424	0.29573545	Yes	
row_21	GMPS	1779	3.1182799339294434	0.29318917	Yes	
row_22	ADD3	1922	2.9721922874450684	0.2952068	Yes	
row_23	MTHFD2	2009	2.887127637863159	0.3001558	Yes	
row_24	STIP1	2025	2.8742823600769043	0.3091471	Yes	
row_25	NUP205	2130	2.785903215408325	0.31271306	Yes	
row_26	ME1	2145	2.7767298221588135	0.32142743	Yes	
row_27	TMEM97	2192	2.7438080310821533	0.3281872	Yes	
row_28	PPIA	2228	2.7204434871673584	0.33549994	Yes	
row_29	GBE1	2232	2.717599630355835	0.3446447	Yes	
row_30	PSPH	2267	2.6940534114837646	0.35192454	Yes	
row_31	TUBA4A	2333	2.6364827156066895	0.35722283	Yes	
row_32	ALDOA	2368	2.6096243858337402	0.36421317	Yes	
row_33	TOMM40	2424	2.5736875534057617	0.3698717	Yes	
row_34	GCLC	2432	2.5679633617401123	0.3782732	Yes	
row_35	SDF2L1	2453	2.5487399101257324	0.38586056	Yes	
row_36	TFRC	2465	2.5399973392486572	0.39393595	Yes	
row_37	PSMC4	2480	2.5298478603363037	0.40180388	Yes	
row_38	IDH1	2509	2.509136438369751	0.40879506	Yes	
row_39	PSMC2	2526	2.501960277557373	0.41645226	Yes	
