NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLK1	235	7.812987327575684	0.052259367	Yes	
row_1	TFB2M	443	6.216422080993652	0.09269589	Yes	
row_2	MCM4	449	6.200882434844971	0.14454134	Yes	
row_3	DCTPP1	651	5.333873748779297	0.17790098	Yes	
row_4	PLK4	1079	4.19997501373291	0.18881732	Yes	
row_5	CBX3	1128	4.109775543212891	0.22062631	Yes	
row_6	NOP56	1202	3.9857730865478516	0.24996462	Yes	
row_7	NPM1	1637	3.295419216156006	0.25287643	Yes	
row_8	CDK4	1697	3.204819917678833	0.27644902	Yes	
row_9	PES1	1736	3.166185140609741	0.30089647	Yes	
row_10	PUS1	1764	3.134282350540161	0.32570407	Yes	
row_11	LAS1L	2002	2.8929407596588135	0.33648616	Yes	
row_12	TMEM97	2192	2.7438080310821533	0.34875655	Yes	
row_13	EXOSC5	2264	2.6962077617645264	0.3673677	Yes	
row_14	NOP2	2318	2.6551034450531006	0.38666156	Yes	
row_15	FARSA	2369	2.608752727508545	0.40573713	Yes	
row_16	TBRG4	2448	2.553673028945923	0.4227501	Yes	
row_17	MRTO4	2523	2.504365921020508	0.43957704	Yes	
row_18	NOLC1	2565	2.480013132095337	0.4580844	Yes	
row_19	TCOF1	2778	2.3459954261779785	0.46569648	Yes	
row_20	BYSL	2919	2.258173704147339	0.47668332	Yes	
row_21	GNL3	3020	2.191042900085449	0.48939085	Yes	
row_22	NOP16	3077	2.1596367359161377	0.5043479	Yes	
row_23	RRP12	3106	2.147491693496704	0.52080244	Yes	
row_24	PPAN	3228	2.0873546600341797	0.5314386	Yes	
row_25	IPO4	3499	1.9567360877990723	0.5324648	Yes	
row_26	UTP20	3673	1.8853371143341064	0.538432	Yes	
row_27	HSPE1	3767	1.847642421722412	0.54865247	Yes	
row_28	MCM5	3841	1.8167946338653564	0.5597561	Yes	
row_29	WDR74	4072	1.7251116037368774	0.56112003	Yes	
row_30	RRP9	4212	1.6717349290847778	0.5672338	Yes	
row_31	NOC4L	4233	1.6671524047851562	0.5801071	Yes	
row_32	GRWD1	4258	1.6617220640182495	0.5927062	Yes	
row_33	PHB	4269	1.658023476600647	0.60607404	Yes	
row_34	HSPD1	4374	1.6273117065429688	0.61381376	Yes	
row_35	AIMP2	4853	1.4799625873565674	0.5989494	No	
row_36	MPHOSPH10	5235	1.3715358972549438	0.5887147	No	
row_37	PRMT3	5312	1.347330093383789	0.59570014	No	
row_38	PPRC1	5747	1.2366100549697876	0.5813035	No	
row_39	IMP4	6011	1.1778980493545532	0.5761818	No	
row_40	UNG	6241	1.1263371706008911	0.572569	No	
row_41	WDR43	6474	1.0791614055633545	0.5683882	No	
row_42	PA2G4	6589	1.058733344078064	0.57077664	No	
row_43	SLC29A2	7236	0.9328690767288208	0.54171556	No	
row_44	SRM	8618	0.7215017080307007	0.4688895	No	
row_45	MYBBP1A	8671	0.7146391868591309	0.47192693	No	
row_46	DDX18	8956	0.6757152676582336	0.46138376	No	
row_47	SLC19A1	10024	0.5535562634468079	0.4050835	No	
row_48	RCL1	10212	0.5335372090339661	0.39888632	No	
row_49	SUPV3L1	10397	0.5145379900932312	0.3927008	No	
row_50	NIP7	10547	0.4998954236507416	0.38839155	No	
row_51	DUSP2	11557	0.4037921130657196	0.33414558	No	
row_52	MAP3K6	11838	0.38102811574935913	0.32135347	No	
row_53	RABEPK	13112	0.2704423666000366	0.25090504	No	
row_54	MYC	14131	0.19497057795524597	0.19438934	No	
row_55	HK2	14456	0.17135491967201233	0.17732093	No	
