NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOD3	9	17.675106048583984	0.043501757	Yes	
row_1	FGF2	10	17.370290756225586	0.08676236	Yes	
row_2	FHL1	19	15.954877853393555	0.12603745	Yes	
row_3	CFD	21	15.629081726074219	0.16490403	Yes	
row_4	MYH1	35	13.676945686340332	0.19821818	Yes	
row_5	ITGA7	46	13.156079292297363	0.23040777	Yes	
row_6	MYOM1	54	12.657508850097656	0.26152834	Yes	
row_7	CD36	58	12.278423309326172	0.29193503	Yes	
row_8	SORBS1	71	11.358901023864746	0.31953365	Yes	
row_9	TNNT1	106	10.179173469543457	0.342928	Yes	
row_10	CKMT2	114	9.955001831054688	0.36731797	Yes	
row_11	PYGM	131	9.509833335876465	0.3900813	Yes	
row_12	GSN	159	8.95644474029541	0.4108333	Yes	
row_13	GPX3	268	7.428080081939697	0.42311707	Yes	
row_14	FXYD1	299	7.10906982421875	0.43909553	Yes	
row_15	COL1A1	330	6.890819549560547	0.45453048	Yes	
row_16	MYH11	370	6.638206481933594	0.46881828	Yes	
row_17	PC	379	6.584167003631592	0.48475567	Yes	
row_18	CASQ2	528	5.86415433883667	0.4908423	Yes	
row_19	ACSL1	656	5.3160223960876465	0.4967725	Yes	
row_20	TNNT3	771	4.918696880340576	0.5024613	Yes	
row_21	TPM3	902	4.5691423416137695	0.50635874	Yes	
row_22	ADAM12	1011	4.336980819702148	0.5109441	Yes	
row_23	MYH2	1053	4.267307281494141	0.5192121	Yes	
row_24	COL3A1	1147	4.07582426071167	0.5240104	Yes	
row_25	GJA5	1352	3.7347605228424072	0.5215708	Yes	
row_26	LAMA2	1402	3.6409971714019775	0.52781856	Yes	
row_27	COX7A1	1465	3.5435121059417725	0.5330753	Yes	
row_28	MEF2C	1476	3.52783203125	0.5412858	Yes	
row_29	KCNH2	1482	3.5204694271087646	0.5497657	Yes	
row_30	MRAS	1644	3.2888307571411133	0.5486904	Yes	
row_31	ATP6AP1	1660	3.268440008163452	0.5559671	Yes	
row_32	CACNA1H	1753	3.1507997512817383	0.5585192	Yes	
row_33	PTGIS	1801	3.090832471847534	0.56351185	Yes	
row_34	CASQ1	1825	3.0649452209472656	0.5698213	Yes	
row_35	CKB	1870	3.025996208190918	0.57482517	Yes	
row_36	PPFIA4	1943	2.949226140975952	0.5780263	Yes	
row_37	SSPN	1953	2.9391536712646484	0.58482826	Yes	
row_38	ABLIM1	1969	2.929906129837036	0.59126186	Yes	
row_39	MYLK	2197	2.7406957149505615	0.5850228	Yes	
row_40	LDB3	2266	2.6941654682159424	0.5878189	Yes	
row_41	HSPB2	2609	2.4523093700408936	0.57424295	Yes	
row_42	MYO1C	2696	2.396454334259033	0.57526165	Yes	
row_43	IGF1	2707	2.3914597034454346	0.58064204	Yes	
row_44	NCAM1	2727	2.379061460494995	0.58547354	Yes	
row_45	LPIN1	2773	2.3512072563171387	0.5887393	Yes	
row_46	TEAD4	2834	2.3095576763153076	0.591038	Yes	
row_47	SGCA	2849	2.2982888221740723	0.5959561	Yes	
row_48	DAPK2	2917	2.2614567279815674	0.5977321	Yes	
row_49	MYL7	2989	2.2096288204193115	0.59914887	Yes	
row_50	BIN1	3170	2.114532709121704	0.5940554	No	
row_51	MEF2A	3295	2.053487539291382	0.5920329	No	
row_52	PGAM2	3470	1.9705394506454468	0.5869261	No	
row_53	DES	3584	1.9174751043319702	0.585198	No	
row_54	MYL3	3610	1.9082382917404175	0.5885116	No	
row_55	SLN	3698	1.8751165866851807	0.58817434	No	
row_56	ACTN2	3764	1.848593831062317	0.5890373	No	
row_57	SCD	3833	1.818295955657959	0.58965206	No	
row_58	PTP4A3	4190	1.682372808456421	0.5733528	No	
row_59	CTF1	4192	1.6812617778778076	0.5774824	No	
row_60	MYF6	4323	1.641191005706787	0.5740878	No	
row_61	HRC	4424	1.6076765060424805	0.5723363	No	
row_62	DMD	4475	1.5950640439987183	0.5734311	No	
row_63	SGCG	4548	1.575255274772644	0.57321036	No	
row_64	MYBPH	4651	1.5400079488754272	0.5711752	No	
row_65	EPHB3	5013	1.4385954141616821	0.55398107	No	
row_66	CKM	5058	1.4246809482574463	0.55499685	No	
row_67	KCNH1	5375	1.333426594734192	0.5401307	No	
row_68	AEBP1	5495	1.2988804578781128	0.5365166	No	
row_69	CDH13	5524	1.2917464971542358	0.53812224	No	
row_70	PLXNB2	6042	1.1731375455856323	0.5112885	No	
row_71	CRYAB	6059	1.168878436088562	0.5132787	No	
row_72	ATP2A1	6065	1.1680984497070312	0.5159001	No	
row_73	PFKM	6067	1.1677629947662354	0.51875085	No	
row_74	EIF4A2	6094	1.1602917909622192	0.52014416	No	
