NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNNI3	202	8.306513786315918	0.032331545	Yes	
row_1	CNIH2	251	7.6559529304504395	0.070049495	Yes	
row_2	BUB1	298	7.125167369842529	0.10507638	Yes	
row_3	CCNB2	306	7.0353546142578125	0.14186348	Yes	
row_4	NCAPH	314	6.984129905700684	0.1783798	Yes	
row_5	TTK	315	6.982919216156006	0.21529087	Yes	
row_6	CDK1	326	6.916968822479248	0.25128028	Yes	
row_7	NEK2	387	6.521704196929932	0.28231502	Yes	
row_8	SHE	434	6.2743754386901855	0.3128447	Yes	
row_9	AURKA	456	6.177409648895264	0.3442945	Yes	
row_10	CDKN3	611	5.510824203491211	0.364599	Yes	
row_11	PCSK1N	638	5.383008003234863	0.39156312	Yes	
row_12	RPL39L	652	5.3272318840026855	0.41897738	Yes	
row_13	EZH2	696	5.156062126159668	0.44376767	Yes	
row_14	KIF2C	714	5.114944934844971	0.4698306	Yes	
row_15	RFC4	1129	4.109543800354004	0.46782833	Yes	
row_16	MLF1	1599	3.3427233695983887	0.45862088	Yes	
row_17	DBF4	1685	3.2265517711639404	0.47080508	Yes	
row_18	LDHC	1693	3.208366870880127	0.48736307	Yes	
row_19	ELOVL3	1822	3.066434621810913	0.4962367	Yes	
row_20	IL13RA2	1897	3.0024330615997314	0.5078666	Yes	
row_21	ACE	1931	2.964325428009033	0.52164465	Yes	
row_22	PHKG2	1980	2.9162957668304443	0.5343092	Yes	
row_23	ART3	2315	2.6585819721221924	0.52922183	Yes	
row_24	TOPBP1	2518	2.5055553913116455	0.53089005	Yes	
row_25	LPIN1	2773	2.3512072563171387	0.5287624	Yes	
row_26	MAST2	2933	2.247988700866699	0.53153336	Yes	
row_27	TLE4	2981	2.215925455093384	0.5405531	Yes	
row_28	GPR182	3273	2.0647776126861572	0.5347911	Yes	
row_29	GRM8	3469	1.9710438251495361	0.5340351	Yes	
row_30	PSMG1	3704	1.8729650974273682	0.5305257	Yes	
row_31	NPY5R	3834	1.8182563781738281	0.5327443	Yes	
row_32	STRBP	3877	1.801657795906067	0.5398608	Yes	
row_33	CLVS1	4030	1.740996241569519	0.54035294	Yes	
row_34	MAP7	4075	1.7244359254837036	0.54694664	Yes	
row_35	NEFH	4209	1.6735374927520752	0.54817104	Yes	
row_36	SIRT1	4365	1.6299610137939453	0.5479044	Yes	
row_37	COIL	4419	1.6080265045166016	0.55336696	Yes	
row_38	TKTL1	4683	1.5289322137832642	0.5463771	Yes	
row_39	IL12RB2	4868	1.4750862121582031	0.5436299	Yes	
row_40	CAMK4	4924	1.45846426486969	0.5481874	Yes	
row_41	HBZ	4937	1.4556175470352173	0.55519396	Yes	
row_42	OAZ3	4974	1.4455101490020752	0.5607717	Yes	
row_43	PHF7	5151	1.3982840776443481	0.558077	Yes	
row_44	CLPB	5183	1.3872909545898438	0.56363356	Yes	
row_45	STAM2	5459	1.3092284202575684	0.5547947	No	
row_46	ARL4A	5663	1.2572107315063477	0.54980695	No	
row_47	AGFG1	5994	1.1805419921875	0.537136	No	
row_48	SPATA6	6221	1.1324348449707031	0.5301707	No	
row_49	SCG3	7035	0.967990517616272	0.48869714	No	
row_50	TEKT2	7038	0.9675330519676208	0.49369684	No	
row_51	NF2	7231	0.9332802891731262	0.4876272	No	
row_52	DMRT1	7369	0.9082515835762024	0.48457712	No	
row_53	JAM3	7474	0.8897261023521423	0.48332027	No	
row_54	SLC2A5	7985	0.8161922693252563	0.4584082	No	
row_55	GSG1	8194	0.7849414944648743	0.45063758	No	
row_56	DPEP3	8281	0.7715601325035095	0.4497876	No	
row_57	RAD17	8378	0.7583274245262146	0.4482946	No	
row_58	PGK2	8513	0.7374894022941589	0.44451383	No	
row_59	SCG5	8901	0.6846981644630432	0.42595544	No	
row_60	IDE	9018	0.669074535369873	0.42284453	No	
row_61	VDAC3	9761	0.5795098543167114	0.38338628	No	
row_62	ADCYAP1	10173	0.5374326109886169	0.3626741	No	
row_63	ACTL7B	10225	0.531571090221405	0.3625613	No	
row_64	TCP11	10265	0.5279501080513	0.36311704	No	
row_65	TSN	10577	0.49724847078323364	0.3479231	No	
row_66	PAPOLB	10623	0.4923403263092041	0.34794676	No	
row_67	PGS1	10919	0.4602697789669037	0.33347425	No	
row_68	TULP2	11075	0.44616255164146423	0.3269501	No	
row_69	TNP1	11262	0.4313291013240814	0.31857106	No	
row_70	CFTR	11283	0.42946842312812805	0.31969506	No	
row_71	MLLT10	11401	0.41855043172836304	0.3152026	No	
row_72	MTOR	11824	0.38193279504776	0.29303807	No	
row_73	GMCL1	11996	0.36656832695007324	0.2851763	No	
row_74	CSNK2A2	12042	0.36228662729263306	0.28451252	No	
row_75	HSPA2	12122	0.35600775480270386	0.28186712	No	
row_76	DDX25	12310	0.3381139039993286	0.272938	No	
row_77	MTNR1A	12400	0.3308068513870239	0.26958635	No	
row_78	SLC12A2	12718	0.30329224467277527	0.25302336	No	
row_79	PEBP1	12739	0.30167627334594727	0.25347185	No	
row_80	GFI1	12797	0.29777705669403076	0.25177938	No	
row_81	CLGN	12860	0.2916635274887085	0.2497681	No	
row_82	ACRV1	13004	0.27991390228271484	0.24305284	No	
row_83	MEP1B	13035	0.2771139442920685	0.24279845	No	
row_84	THEG	13442	0.24685552716255188	0.22083682	No	
row_85	BRAF	13635	0.2323438674211502	0.2110621	No	
row_86	ZPBP	13638	0.23220767080783844	0.21217492	No	
row_87	IFT88	13683	0.22887161374092102	0.21086323	No	
row_88	GAPDHS	13786	0.22020727396011353	0.20618196	No	
row_89	ACRBP	14511	0.16806462407112122	0.16558035	No	
row_90	TALDO1	14890	0.14454889297485352	0.14468254	No	
row_91	PRKAR2A	14943	0.1407850980758667	0.14244677	No	
row_92	HOXB1	15037	0.13538290560245514	0.13783288	No	
row_93	PIAS2	15157	0.12786702811717987	0.13168928	No	
row_94	DMC1	15239	0.12265036255121231	0.12769577	No	
row_95	CHFR	15246	0.12228921800851822	0.12799834	No	
row_96	NOS1	15457	0.10882418602705002	0.116539195	No	
row_97	PARP2	15669	0.0980767235159874	0.104965925	No	
row_98	ZC3H14	15903	0.08470594137907028	0.09206124	No	
row_99	NPHP1	16321	0.0627940222620964	0.06849631	No	
row_100	IP6K1	16431	0.05653449520468712	0.06254873	No	
row_101	PACRG	16437	0.05617300048470497	0.06255912	No	
row_102	PCSK4	16575	0.049313344061374664	0.054968785	No	
row_103	HSPA4L	16694	0.04210859537124634	0.04842919	No	
row_104	CCT6B	16970	0.028526147827506065	0.032820664	No	
row_105	CHRM4	16993	0.026950132101774216	0.031702373	No	
row_106	YBX2	17057	0.024354200810194016	0.028220793	No	
row_107	CRISP2	17078	0.02307511307299137	0.027196635	No	
row_108	POMC	17172	0.018885791301727295	0.02196695	No	
row_109	HTR5A	17230	0.015914803370833397	0.018784598	No	
row_110	GSTM3	17285	0.013129360042512417	0.015759442	No	
