NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL11A1	16	16.508256912231445	0.06263528	Yes	
row_1	PPARG	67	11.532940864562988	0.10416561	Yes	
row_2	TGFBR2	103	10.199156761169434	0.14142188	Yes	
row_3	TGFBR3	127	9.54676342010498	0.17685518	Yes	
row_4	RGS4	144	9.094910621643066	0.21095058	Yes	
row_5	PRKAR2B	195	8.41659927368164	0.24048366	Yes	
row_6	CAV1	234	7.822704792022705	0.26841894	Yes	
row_7	COL1A1	330	6.890819549560547	0.28949586	Yes	
row_8	PTPRM	334	6.836969375610352	0.31564462	Yes	
row_9	FBLN5	406	6.428119659423828	0.33631745	Yes	
row_10	PTGFR	486	6.010059833526611	0.35492173	Yes	
row_11	FZD2	820	4.803469657897949	0.35430583	Yes	
row_12	CDON	943	4.465429782867432	0.36449617	Yes	
row_13	PTPN21	969	4.409762382507324	0.3800383	Yes	
row_14	NR3C1	971	4.406145095825195	0.39694366	Yes	
row_15	SYNE1	1009	4.34050989151001	0.41153058	Yes	
row_16	MAP1B	1020	4.313431739807129	0.4275626	Yes	
row_17	COL3A1	1147	4.07582426071167	0.43602353	Yes	
row_18	MGLL	1159	4.063217639923096	0.45103487	Yes	
row_19	COL5A2	1280	3.8439676761627197	0.45894748	Yes	
row_20	DLC1	1577	3.374535083770752	0.4549536	Yes	
row_21	NEK7	1668	3.253420829772949	0.46231422	Yes	
row_22	ATP2B4	1700	3.2020633220672607	0.47286266	Yes	
row_23	F3	1811	3.08202862739563	0.4784158	Yes	
row_24	COL1A2	1829	3.058523416519165	0.48921496	Yes	
row_25	ADD3	1922	2.9721922874450684	0.49537814	Yes	
row_26	NFIB	1951	2.9411251544952393	0.5050942	Yes	
row_27	KCNMA1	2058	2.841435432434082	0.5099506	Yes	
row_28	TFPI	2088	2.8130972385406494	0.51911634	Yes	
row_29	LAMC1	2177	2.7543909549713135	0.52467054	Yes	
row_30	KIT	2262	2.7002108097076416	0.5302457	Yes	
row_31	VAV2	2281	2.6831724643707275	0.5395425	Yes	
row_32	CELF2	2416	2.5783252716064453	0.5417793	Yes	
row_33	APBB2	2463	2.5412137508392334	0.54892284	Yes	
row_34	BCKDHB	2476	2.532778739929199	0.55798495	Yes	
row_35	ID1	2499	2.518136501312256	0.56641686	Yes	
row_36	EFEMP1	2593	2.4638187885284424	0.57056546	Yes	
row_37	MMP16	2774	2.349398374557495	0.5692814	Yes	
row_38	RBPMS	2851	2.296053886413574	0.5737597	Yes	
row_39	NR1D2	3080	2.1588897705078125	0.5689878	Yes	
row_40	IGFBP5	3098	2.1505050659179688	0.5762913	Yes	
row_41	DUSP1	3520	1.947725534439087	0.55963176	No	
row_42	CDK13	4100	1.71644926071167	0.53301543	No	
row_43	SERPINE1	4202	1.6753228902816772	0.5336695	No	
row_44	SLC7A1	4418	1.6080607175827026	0.527523	No	
row_45	GRK5	4431	1.6059550046920776	0.533017	No	
row_46	SMAD3	4566	1.568451166152954	0.531366	No	
row_47	RND3	4629	1.5486524105072021	0.53377026	No	
row_48	LPAR1	4690	1.5269834995269775	0.5362059	No	
row_49	NRP1	5048	1.4270386695861816	0.52121425	No	
row_50	PMP22	5162	1.3944332599639893	0.5200983	No	
row_51	ATP2C1	5180	1.3881407976150513	0.52446693	No	
row_52	MAP2K5	5902	1.2009661197662354	0.4877178	No	
row_53	ITGB3	5908	1.19943106174469	0.49204844	No	
row_54	PTEN	5987	1.1808435916900635	0.49211866	No	
row_55	IGF1R	5999	1.1796422004699707	0.4960288	No	
row_56	PRDM2	6066	1.167815923690796	0.49673745	No	
row_57	RXRA	6091	1.1606558561325073	0.49982855	No	
row_58	SNAI2	6167	1.1440917253494263	0.4999294	No	
row_59	SLC22A18	6188	1.1395455598831177	0.50316876	No	
row_60	PRKCE	6407	1.09182608127594	0.49486277	No	
row_61	PEX14	6580	1.0600672960281372	0.48907405	No	
row_62	CAP2	6832	1.0097966194152832	0.47855863	No	
row_63	DBP	6847	1.0070472955703735	0.4816322	No	
row_64	CITED2	6856	1.0040464401245117	0.48503852	No	
row_65	ABCC1	6863	1.002246618270874	0.48855266	No	
row_66	IRS1	6880	0.996626615524292	0.49147135	No	
row_67	TJP1	6964	0.9809606671333313	0.49048513	No	
row_68	CACNA1A	7054	0.9647101163864136	0.48909205	No	
row_69	SYNJ2	7393	0.9034078121185303	0.47317478	No	
row_70	PHF3	7430	0.8955759406089783	0.4745568	No	
row_71	KALRN	7492	0.8873448371887207	0.4744726	No	
row_72	ATRX	7632	0.8697139620780945	0.4698447	No	
row_73	ANXA2	7772	0.8496489524841309	0.46513954	No	
row_74	MTA1	7815	0.84312504529953	0.46597534	No	
row_75	PDLIM5	7884	0.8317911028862	0.4652756	No	
row_76	SDC2	8018	0.8101048469543457	0.46076247	No	
row_77	SIPA1L1	8023	0.8092957735061646	0.46364856	No	
row_78	RUNX1	8190	0.7854741811752319	0.45714703	No	
row_79	DAB2	8209	0.7828903198242188	0.4591281	No	
row_80	HAS2	8424	0.7507490515708923	0.44973856	No	
row_81	SCN8A	8469	0.7425984740257263	0.4500726	No	
row_82	ICA1	8537	0.7340078353881836	0.44905376	No	
row_83	MT1E	8732	0.7066706418991089	0.44064215	No	
row_84	ADORA2B	9129	0.6555266976356506	0.42044243	No	
row_85	VLDLR	9169	0.6508351564407349	0.4207101	No	
row_86	YTHDC1	9186	0.649387776851654	0.422292	No	
row_87	PIK3R3	9400	0.623324990272522	0.41246924	No	
row_88	BMPR1A	9474	0.6128657460212708	0.41063976	No	
row_89	SCHIP1	9477	0.6123325824737549	0.41288236	No	
row_90	NFKB1	9616	0.5967351794242859	0.4072609	No	
row_91	FYN	9697	0.5869702696800232	0.40493006	No	
row_92	CDC42BPA	9777	0.5783150792121887	0.40262324	No	
row_93	SMAD7	10161	0.5385355353355408	0.3827191	No	
row_94	INSIG1	10263	0.5280108451843262	0.37895623	No	
row_95	PIK3CD	10330	0.522057831287384	0.37717882	No	
row_96	LTBP1	10516	0.5025873780250549	0.36849797	No	
row_97	MAGI2	10639	0.49082207679748535	0.3633869	No	
row_98	GCNT1	10988	0.45462101697921753	0.34516808	No	
row_99	NOTCH2	11001	0.45310914516448975	0.34622386	No	
row_100	PIAS3	11409	0.4177907109260559	0.32447773	No	
row_101	MIOS	11423	0.4167718291282654	0.32533625	No	
row_102	DLG1	11493	0.40993207693099976	0.322955	No	
row_103	ACVR2A	11722	0.38883236050605774	0.3113688	No	
row_104	SPOP	11843	0.38016220927238464	0.30594647	No	
row_105	AMPH	11857	0.3790263831615448	0.30665967	No	
row_106	PLCB4	11914	0.3740561008453369	0.3048863	No	
row_107	DYRK1A	12487	0.3226737678050995	0.27330592	No	
row_108	INPP4B	12554	0.317230761051178	0.27073994	No	
row_109	FHL2	12569	0.3159722685813904	0.27115303	No	
row_110	MET	12701	0.30431854724884033	0.26480752	No	
row_111	PDGFRB	12765	0.299606591463089	0.26234588	No	
row_112	AKT3	12830	0.2948838472366333	0.25980866	No	
row_113	MAPK14	12989	0.28134217858314514	0.25182536	No	
row_114	NIPBL	13176	0.26619333028793335	0.24217707	No	
row_115	ATP2B1	13413	0.24836428463459015	0.22959101	No	
row_116	GJA1	13472	0.24384182691574097	0.22720158	No	
row_117	DDAH1	13604	0.23458537459373474	0.22058761	No	
row_118	SRI	13970	0.20691125094890594	0.20043968	No	
row_119	MYC	14131	0.19497057795524597	0.1920091	No	
row_120	ZMIZ1	14384	0.17603439092636108	0.17822649	No	
row_121	ARHGEF9	15345	0.11572049558162689	0.12358505	No	
row_122	BHLHE40	15410	0.11158562451601028	0.12034217	No	
row_123	WDR37	15444	0.10950156301259995	0.118870124	No	
row_124	ANXA4	15537	0.10501202940940857	0.11399523	No	
row_125	ATXN1	15797	0.09053953737020493	0.09948179	No	
row_126	CDKN1B	15867	0.08660184592008591	0.09585582	No	
row_127	MGMT	16020	0.0775601863861084	0.08743231	No	
row_128	AGGF1	16295	0.06426388025283813	0.071956985	No	
row_129	MRPS31	16777	0.038377564400434494	0.044503886	No	
row_130	ATRN	16915	0.03108368068933487	0.036762185	No	
row_131	PRKCA	17181	0.018389690667390823	0.021626694	No	
row_132	SFMBT1	17529	0.0013196569634601474	0.0017201431	No	
row_133	LDLR	17552	3.3472300856374204E-4	4.5902294E-4	No	
