NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAPK8IP2	69	11.440360069274902	0.046506133	Yes	
row_1	MAOA	110	10.094480514526367	0.08874033	Yes	
row_2	GPX3	268	7.428080081939697	0.11249312	Yes	
row_3	CLCN2	416	6.353472709655762	0.1320796	Yes	
row_4	CDO1	484	6.010890483856201	0.15474881	Yes	
row_5	CDKN1C	583	5.623443603515625	0.17392863	Yes	
row_6	ASNS	682	5.212269306182861	0.1912946	Yes	
row_7	E2F5	774	4.913304328918457	0.20774366	Yes	
row_8	CCNE1	873	4.6611175537109375	0.22267824	Yes	
row_9	ENO2	1038	4.283920764923096	0.2321588	Yes	
row_10	RFC4	1129	4.109543800354004	0.24511954	Yes	
row_11	FOS	1168	4.048027038574219	0.26079503	Yes	
row_12	GAL	1186	4.005299091339111	0.27748793	Yes	
row_13	TYRO3	1194	3.9925239086151123	0.29469875	Yes	
row_14	POLR2H	1237	3.9189908504486084	0.3095753	Yes	
row_15	ATP6V1F	1312	3.7961678504943848	0.3220724	Yes	
row_16	MMP14	1319	3.7868833541870117	0.33843344	Yes	
row_17	FEN1	1422	3.603026866912842	0.34847063	Yes	
row_18	KCNH2	1482	3.5204694271087646	0.3606129	Yes	
row_19	MSX1	1533	3.4297733306884766	0.37287188	Yes	
row_20	GGH	1652	3.2842326164245605	0.3805839	Yes	
row_21	BAK1	1888	3.0117714405059814	0.38037527	Yes	
row_22	RRAD	1968	2.929979085922241	0.3887641	Yes	
row_23	STIP1	2025	2.8742823600769043	0.39822805	Yes	
row_24	PPT1	2057	2.842623233795166	0.40898794	Yes	
row_25	CXCL2	2131	2.7852790355682373	0.417083	Yes	
row_26	SOD2	2191	2.7446680068969727	0.42580286	Yes	
row_27	EPHX1	2269	2.6925041675567627	0.43325895	Yes	
row_28	NTRK3	2331	2.638728618621826	0.4413966	Yes	
row_29	TUBA4A	2333	2.6364827156066895	0.45296988	Yes	
row_30	ALDOA	2368	2.6096243858337402	0.46252963	Yes	
row_31	RASGRP1	2404	2.5850493907928467	0.47192353	Yes	
row_32	ABCB1	2461	2.542006492614746	0.47992164	Yes	
row_33	TFRC	2465	2.5399973392486572	0.4909544	Yes	
row_34	FKBP4	2469	2.5369534492492676	0.50197375	Yes	
row_35	COL2A1	2555	2.4891490936279297	0.50807333	Yes	
row_36	CASP3	2667	2.4113879203796387	0.51233685	Yes	
row_37	NPTX2	2724	2.3808772563934326	0.5196242	Yes	
row_38	EIF2S3	2770	2.352821111679077	0.5274193	Yes	
row_39	IL6	2901	2.2706007957458496	0.5299707	Yes	
row_40	RPN1	2902	2.269765615463257	0.53998363	Yes	
row_41	PDAP1	3259	2.0701639652252197	0.52867275	Yes	
row_42	PPAT	3270	2.0665793418884277	0.53721505	Yes	
row_43	UROD	3322	2.0383152961730957	0.5432783	Yes	
row_44	CYP1A1	3323	2.037036418914795	0.5522646	Yes	
row_45	CDK2	3363	2.020698308944702	0.55893916	Yes	
row_46	SIGMAR1	3549	1.930909514427185	0.5568336	Yes	
row_47	DGAT1	3695	1.8772703409194946	0.55678844	Yes	
row_48	HNRNPU	3788	1.8401097059249878	0.5596229	Yes	
row_49	AP2S1	3875	1.8024327754974365	0.56263566	Yes	
row_50	YKT6	4006	1.7495940923690796	0.5628886	Yes	
row_51	TACR3	4482	1.592880368232727	0.5426386	No	
row_52	TAP1	4712	1.5200613737106323	0.53619397	No	
row_53	DNAJA1	4918	1.459915041923523	0.53086215	No	
row_54	PDLIM3	5012	1.4387620687484741	0.53186864	No	
row_55	FOSB	5262	1.3639423847198486	0.52358675	No	
row_56	IL6ST	5354	1.3373538255691528	0.5242607	No	
row_57	PRPF3	5356	1.3371543884277344	0.5301021	No	
row_58	STARD3	5599	1.2732274532318115	0.521822	No	
row_59	MARK2	5667	1.256496787071228	0.52351743	No	
