NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATOH8	4	21.02749252319336	0.05577748	Yes	
row_1	CES1	15	16.642969131469727	0.09953125	Yes	
row_2	AKR1C2	18	16.191312789916992	0.14254245	Yes	
row_3	RBP4	51	12.892556190490723	0.17504063	Yes	
row_4	CD36	58	12.278423309326172	0.20739946	Yes	
row_5	AOX1	59	12.184659004211426	0.23985386	Yes	
row_6	AKR1C3	93	10.430379867553711	0.26573637	Yes	
row_7	MAOA	110	10.094480514526367	0.29170263	Yes	
row_8	ABCD2	111	10.089707374572754	0.31857702	Yes	
row_9	ADH1C	173	8.722764015197754	0.33829972	Yes	
row_10	PDK4	181	8.612896919250488	0.3608377	Yes	
row_11	PC	379	6.584167003631592	0.3670368	Yes	
row_12	TDO2	390	6.505511283874512	0.38378897	Yes	
row_13	CAT	451	6.192018985748291	0.39682847	Yes	
row_14	ABHD6	477	6.0478315353393555	0.4114983	Yes	
row_15	HSD11B1	478	6.035181522369385	0.42757326	Yes	
row_16	CDO1	484	6.010890483856201	0.44329578	Yes	
row_17	RETSAT	649	5.336818695068359	0.4480718	Yes	
row_18	HPRT1	769	4.922438144683838	0.45433402	Yes	
row_19	FMO3	770	4.920017242431641	0.46743873	Yes	
row_20	ITIH4	772	4.914273738861084	0.48047057	Yes	
row_21	ALDH2	785	4.898177146911621	0.49282643	Yes	
row_22	F10	799	4.857285022735596	0.50501585	Yes	
row_23	ADH5	860	4.71533727645874	0.5141221	Yes	
row_24	CYFIP2	886	4.631867408752441	0.5250205	Yes	
row_25	SHMT2	905	4.566112041473389	0.5361465	Yes	
row_26	PTGDS	932	4.494933605194092	0.5466226	Yes	
row_27	IGFBP1	1098	4.173422336578369	0.5482423	Yes	
row_28	GABARAPL1	1235	3.919583797454834	0.5508549	Yes	
row_29	FAH	1544	3.4145123958587646	0.54222304	Yes	
row_30	PROS1	1612	3.323984146118164	0.5472205	Yes	
row_31	NDRG2	1726	3.1773061752319336	0.5491798	Yes	
row_32	ETFDH	2012	2.885206937789917	0.54046184	Yes	
row_33	TTPA	2123	2.7886807918548584	0.5415587	Yes	
row_34	TMEM97	2192	2.7438080310821533	0.5449532	Yes	
row_35	EPHX1	2269	2.6925041675567627	0.5477508	Yes	
row_36	PYCR1	2274	2.688420295715332	0.55468124	Yes	
row_37	GCLC	2432	2.5679633617401123	0.55248517	Yes	
row_38	HES6	2456	2.54756236076355	0.557947	Yes	
row_39	PEMT	2487	2.5248289108276367	0.56294537	Yes	
row_40	IL1R1	2502	2.5159144401550293	0.56884086	Yes	
row_41	IDH1	2509	2.509136438369751	0.57517874	Yes	
row_42	IGF1	2707	2.3914597034454346	0.5702104	Yes	
row_43	ECH1	2766	2.3550264835357666	0.573145	Yes	
row_44	CYP1A2	2786	2.3386032581329346	0.57828045	Yes	
row_45	SMOX	3019	2.191054344177246	0.5707639	Yes	
row_46	CYB5A	3102	2.1488239765167236	0.5717679	Yes	
row_47	ACOX2	3109	2.1463303565979004	0.5771395	Yes	
row_48	AHCY	3140	2.1290433406829834	0.58108366	Yes	
row_49	ACSM1	3222	2.0896377563476562	0.5819876	Yes	
row_50	SLC35B1	3284	2.0577194690704346	0.5839577	Yes	
row_51	JUP	3311	2.0423169136047363	0.58790106	Yes	
row_52	CYP1A1	3323	2.037036418914795	0.59269375	Yes	
row_53	PTGES3	3329	2.035418748855591	0.5978274	Yes	
row_54	ENTPD5	3505	1.9539768695831299	0.59295994	No	
row_55	CSAD	3735	1.8628515005111694	0.5847419	No	
row_56	LCAT	3736	1.8626165390014648	0.589703	No	
row_57	PTS	3892	1.7907423973083496	0.5855519	No	
row_58	ALDH3A1	4019	1.7437291145324707	0.58294463	No	
row_59	SLC12A4	4038	1.7359628677368164	0.5865325	No	
row_60	PAPSS2	4134	1.7040497064590454	0.58560365	No	
row_61	SERPINE1	4202	1.6753228902816772	0.58620983	No	
row_62	ELOVL5	4787	1.497694730758667	0.5565875	No	
row_63	GSTM4	4888	1.4694602489471436	0.5547461	No	
row_64	CYP2C18	4934	1.4559299945831299	0.5560341	No	
row_65	CYP2S1	4975	1.4454690217971802	0.557582	No	
row_66	ACP1	5185	1.386220097541809	0.5492455	No	
row_67	HACL1	5238	1.3703322410583496	0.5499026	No	
row_68	DHRS1	5340	1.3418012857437134	0.5476636	No	
row_69	ETS2	5378	1.3327339887619019	0.54908395	No	
row_70	PINK1	5447	1.3121025562286377	0.5486651	No	
row_71	GSS	5466	1.3072654008865356	0.5511111	No	
row_72	SPINT2	5483	1.3021141290664673	0.5536585	No	
row_73	MAN1A1	5563	1.2818206548690796	0.5525259	No	
row_74	GSR	5603	1.2714166641235352	0.5536678	No	
row_75	SSR3	5890	1.2037566900253296	0.5404136	No	
row_76	CYP2E1	5960	1.1868399381637573	0.5396036	No	
row_77	ATP2A2	6025	1.1766353845596313	0.53905416	No	
row_78	PGD	6563	1.0647934675216675	0.5109838	No	
row_79	CASP6	6597	1.057568907737732	0.5119014	No	
row_80	ALDH9A1	6654	1.0459403991699219	0.5114643	No	
row_81	AQP9	6684	1.0414255857467651	0.5125691	No	
row_82	HGFAC	6743	1.0303000211715698	0.5119752	No	
row_83	KYNU	7271	0.924497127532959	0.48410675	No	
row_84	NQO1	7347	0.9127536416053772	0.48222136	No	
row_85	TNFRSF1A	7349	0.9115538597106934	0.48459178	No	
row_86	PMM1	7553	0.8790075182914734	0.4752496	No	
row_87	ACOX1	7557	0.8786845803260803	0.47741735	No	
row_88	GCKR	7604	0.8725330829620361	0.4770939	No	
row_89	NMT1	7643	0.8677660226821899	0.47721818	No	
row_90	GART	7680	0.8625202178955078	0.4774436	No	
row_91	PDLIM5	7884	0.8317911028862	0.46797568	No	
row_92	DHPS	8100	0.7977602481842041	0.45772642	No	
row_93	SLC6A12	8180	0.7875350713729858	0.4552773	No	
row_94	RAP1GAP	8365	0.7602348327636719	0.4467123	No	
row_95	ABCC3	8421	0.7512792944908142	0.4455479	No	
row_96	ANGPTL3	8449	0.7463737726211548	0.44598195	No	
row_97	MTHFD1	8532	0.7343470454216003	0.4432185	No	
row_98	CRP	8560	0.7297514081001282	0.44360825	No	
row_99	SLC46A3	8561	0.7294787168502808	0.44555125	No	
row_100	IRF8	8743	0.7056376338005066	0.43701348	No	
row_101	PTGR1	9033	0.6663228273391724	0.42215517	No	
row_102	NPC1	9074	0.6607667207717896	0.421613	No	
row_103	CBR1	9206	0.6468608975410461	0.41579637	No	
row_104	GSTO1	9269	0.6394871473312378	0.41393134	No	
row_105	CFB	9281	0.637845516204834	0.41499716	No	
row_106	VNN1	9351	0.6288432478904724	0.4127009	No	
row_107	PPARD	9661	0.5914967656135559	0.3964922	No	
row_108	APOE	9669	0.5904963612556458	0.39766213	No	
row_109	TAT	9783	0.5777506828308105	0.39269742	No	
row_110	ARPP19	9833	0.5736335515975952	0.39140517	No	
row_111	LONP1	10036	0.5512444376945496	0.38124752	No	
row_112	GCH1	10070	0.5476073622703552	0.38080683	No	
row_113	REG1A	10185	0.5363016724586487	0.37567413	No	
row_114	VTN	10419	0.5125359296798706	0.36362922	No	
row_115	POR	10524	0.502178966999054	0.3589812	No	
row_116	COMT	10527	0.5016209483146667	0.3602022	No	
row_117	CNDP2	10754	0.47893908619880676	0.34847066	No	
row_118	BLVRB	10813	0.472298800945282	0.34639052	No	
row_119	MPP2	10868	0.4659687280654907	0.34452373	No	
row_120	CYP2J2	11007	0.4520167112350464	0.33778527	No	
row_121	EPHA2	11028	0.4498756527900696	0.33783245	No	
row_122	FBLN1	11117	0.44150617718696594	0.33394367	No	
row_123	BPHL	11129	0.44004735350608826	0.33448267	No	
row_124	PTGES	11149	0.4383797347545624	0.3345568	No	
row_125	FABP1	11194	0.43370991945266724	0.33317962	No	
row_126	TMEM176B	11378	0.4210120439529419	0.32376862	No	
row_127	DDC	11478	0.41092565655708313	0.3191653	No	
row_128	HNF4A	11577	0.40213704109191895	0.31459612	No	
row_129	FETUB	11611	0.39920851588249207	0.31376016	No	
