NAME	TITLE	SCORE	
CA4		46.65395	
MMP13		25.756704	
ATP1A2		24.960903	
HBB		21.651766	
ATOH8		21.027493	
SCN3A		19.711342	
ABCA5		18.376932	
ADAMTS14		17.910118	
GJB2		17.722208	
SOD3		17.675106	
FGF2		17.37029	
COL10A1		17.154194	
BTNL9		16.834574	
MMP11		16.74912	
HSD17B6		16.678022	
CES1		16.64297	
COL11A1		16.508257	
HBA2		16.451061	
AKR1C2		16.191313	
FHL1		15.954878	
SDPR		15.919077	
CFD		15.629082	
HSD17B13		15.350883	
LEP		15.157837	
FAM107A		14.859011	
MYOC		14.813884	
LYVE1		14.702614	
ITIH5		14.700237	
SCN4A		14.666058	
AQPEP		14.5491295	
ADAMTS5		14.289385	
CPA1		14.114688	
MAP1LC3C		14.021799	
MLXIPL		13.980554	
LIPE		13.940749	
MYH1		13.676946	
AQP7		13.635892	
ST6GALNAC1		13.618659	
ABCA10		13.554315	
CIDEC		13.527304	
HEPACAM		13.519101	
CST1		13.497065	
ACSM5		13.459402	
FMO2		13.241303	
KIAA1199		13.167759	
GCOM1		13.163672	
ITGA7		13.156079	
SLC2A4		13.122629	
ZNF469		13.019677	
PTPRN		13.0083275	
LEPR		12.930911	
RBP4		12.892556	
PCK1		12.686123	
SLC4A4		12.676369	
MYOM1		12.657509	
G0S2		12.591805	
NTRK2		12.560722	
C14orf180		12.410659	
CD36		12.278423	
AOX1		12.184659	
PLIN4		12.104607	
TIMP4		11.914873	
FHL5		11.847676	
NPR1		11.752633	
CRHBP		11.678763	
MYOCD		11.597629	
ENPP2		11.567676	
PPARG		11.532941	
GPLD1		11.516032	
MAPK8IP2		11.44036	
PDE2A		11.434211	
SORBS1		11.358901	
ROBO3		11.278147	
C14orf139		11.214917	
TNXB		11.154067	
MAZ		11.092717	
KCNB1		11.083446	
KCNIP2		10.982777	
KLB		10.973983	
AOC3		10.92696	
PLIN1		10.892038	
APLP1		10.873677	
PPP1R12B		10.863704	
CD300LG		10.84899	
MFAP2		10.847607	
GRM4		10.77301	
ASPA		10.690022	
PDE8B		10.659849	
C12orf39		10.640248	
GPR146		10.63729	
EPB42		10.59191	
APOB		10.584693	
ALDH1L1		10.439523	
AKR1C3		10.43038	
ADH1A		10.416019	
GPD1		10.409246	
HSPB6		10.351685	
CLEC3B		10.348008	
ACVR1C		10.334369	
FRMD1		10.285451	
ALG1L		10.281074	
INHBA		10.250802	
CIDEA		10.223487	
TGFBR2		10.199157	
ANO3		10.188025	
PPP1R1A		10.183861	
TNNT1		10.179173	
RPLP0P2		10.177049	
GPAM		10.1148405	
DPP6		10.103866	
MAOA		10.0944805	
ABCD2		10.089707	
ZNF676		10.067322	
NAALAD2		9.991296	
CKMT2		9.955002	
PCDH9		9.928653	
TMEM145		9.895021	
USP53		9.800411	
GRIN2D		9.797138	
RDH5		9.784182	
CABLES2		9.677569	
TMEM132C		9.67562	
NMUR1		9.657664	
LIFR		9.635825	
PKHD1L1		9.59247	
PAMR1		9.569641	
SLC14A2		9.556536	
TGFBR3		9.546763	
SEMA3G		9.534749	
MYBL2		9.519149	
XIRP1		9.510239	
PYGM		9.509833	
TMC2		9.483825	
SLC19A3		9.4560995	
CHRDL1		9.451292	
ADRA1A		9.438844	
GLYAT		9.422145	
GLDN		9.404698	
AKR1C1		9.355096	
SCAMP3		9.292935	
GNAL		9.227028	
CDH20		9.204042	
ABCA9		9.195919	
E2F7		9.195792	
RGS4		9.094911	
CCDC141		9.092776	
EBF1		9.089107	
MRPL24		9.080299	
LAGE3		9.079546	
SCAMP5		9.0758095	
FZD4		9.056814	
PFKFB1		9.0557785	
ABCA8		9.0442095	
BGN		9.039208	
LGALS12		9.038561	
PTCHD3		9.017391	
HRASLS5		9.009375	
GYG2		8.980137	
RUSC1		8.971657	
