NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALDOA	1296	4.226348400115967	-0.069978714	No	
row_1	SLC5A6	1366	4.08469820022583	-0.06948544	No	
row_2	ORM1	1508	3.7598683834075928	-0.07349159	No	
row_3	MRPL15	2065	2.841468095779419	-0.10238928	No	
row_4	RAB34	2323	2.5337331295013428	-0.11441274	No	
row_5	ABCB8	3016	1.8852726221084595	-0.15218388	No	
row_6	PFKL	3282	1.6815613508224487	-0.16559933	No	
row_7	MTCH2	3626	1.4577606916427612	-0.18374914	No	
row_8	RETN	3703	1.4228595495224	-0.18656842	No	
row_9	ATL2	3737	1.4041565656661987	-0.18693306	No	
row_10	SDHC	3834	1.3534210920333862	-0.19097945	No	
row_11	MDH2	3865	1.330651879310608	-0.19125174	No	
row_12	COX6A1	3866	1.3304308652877808	-0.18979745	No	
row_13	NDUFAB1	4149	1.1829679012298584	-0.20473644	No	
row_14	COX7B	4536	0.9999590516090393	-0.22586177	No	
row_15	AK2	4628	0.9621455669403076	-0.23004808	No	
row_16	UQCR10	4915	0.8645787239074707	-0.24556534	No	
row_17	TOB1	5177	0.7703762054443359	-0.25974655	No	
row_18	ELOVL6	5274	0.7422485947608948	-0.264461	No	
row_19	SLC19A1	5420	0.6899241805076599	-0.27205315	No	
row_20	HSPB8	5435	0.6837415099143982	-0.2721116	No	
row_21	GPD2	5604	0.6271677017211914	-0.28109622	No	
row_22	CYC1	5694	0.6017009019851685	-0.2855614	No	
row_23	ACLY	5792	0.5724496841430664	-0.29051903	No	
row_24	POR	5990	0.5121230483055115	-0.30129868	No	
row_25	SLC25A10	6296	0.4312918782234192	-0.31838322	No	
row_26	PDCD4	6298	0.4307030737400055	-0.31796998	No	
row_27	JAGN1	6454	0.3922508656978607	-0.3264631	No	
row_28	IDH3G	6462	0.3896966576576233	-0.32644004	No	
row_29	PREB	6948	0.2830176055431366	-0.35404757	No	
row_30	NDUFS3	7103	0.25198259949684143	-0.36263645	No	
row_31	PTCD3	7374	0.20197394490242004	-0.37795705	No	
row_32	AIFM1	7379	0.20144766569137573	-0.37796706	No	
row_33	TKT	7423	0.1936149299144745	-0.38023055	No	
row_34	COQ3	7764	0.14531870186328888	-0.3996423	No	
row_35	ARAF	7899	0.12431078404188156	-0.40721953	No	
row_36	COQ9	8116	0.09766749292612076	-0.41954586	No	
row_37	NDUFA5	8229	0.08562786877155304	-0.42589903	No	
row_38	SOD1	8272	0.08093654364347458	-0.4282281	No	
row_39	GADD45A	8283	0.0799085721373558	-0.42871636	No	
row_40	DHCR7	8305	0.07763282209634781	-0.42984027	No	
row_41	GPHN	8362	0.07324617356061935	-0.4329836	No	
row_42	SLC25A1	8371	0.07229989022016525	-0.43336505	No	
row_43	IMMT	8532	0.05762982740998268	-0.44251177	No	
row_44	CMBL	8665	0.04643309861421585	-0.450059	No	
