NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL11	23	28.45643424987793	0.067243494	Yes	
row_1	INHBA	30	26.80282211303711	0.13148063	Yes	
row_2	CDKN2A	211	14.905464172363281	0.15703973	Yes	
row_3	MMP9	258	13.472705841064453	0.18685612	Yes	
row_4	IL11	372	11.078638076782227	0.20704913	Yes	
row_5	CD80	504	8.879474639892578	0.22090757	Yes	
row_6	NME1	509	8.798628807067871	0.24187805	Yes	
row_7	TPD52	518	8.644281387329102	0.26224646	Yes	
row_8	CXCL9	606	7.631414413452148	0.27562916	Yes	
row_9	IL12B	629	7.376802921295166	0.29213807	Yes	
row_10	RIPK2	655	7.154580593109131	0.30793893	Yes	
row_11	PRKCG	667	7.091472148895264	0.3243932	Yes	
row_12	MRPL3	820	6.076670169830322	0.33029	Yes	
row_13	TIMP1	843	5.945835113525391	0.34335095	Yes	
row_14	CXCL13	1160	4.670258045196533	0.3364233	Yes	
row_15	NOS2	1517	3.737037420272827	0.3249457	Yes	
row_16	CSK	1697	3.4310901165008545	0.32291442	Yes	
row_17	CRTAM	1771	3.274092435836792	0.32660347	Yes	
row_18	NPM1	1861	3.1223838329315186	0.32900643	Yes	
row_19	ICOSLG	1886	3.079867124557495	0.33504668	Yes	
row_20	RPS19	1993	2.9368464946746826	0.3360245	Yes	
row_21	IL18	2021	2.901496648788452	0.34146234	Yes	
row_22	LIF	2108	2.787677049636841	0.3432314	Yes	
row_23	IRF7	2180	2.702791690826416	0.34565896	Yes	
row_24	RPL39	2199	2.686021327972412	0.3510954	Yes	
row_25	EIF5A	2387	2.4489381313323975	0.34623733	No	
row_26	CCL22	2572	2.2833545207977295	0.34115288	No	
row_27	TRAF2	2606	2.2484867572784424	0.34467205	No	
row_28	ACHE	2750	2.1033775806427	0.34151286	No	
row_29	THY1	2812	2.053401231765747	0.34295103	No	
row_30	CAPG	3055	1.8621330261230469	0.33351463	No	
row_31	F2R	3155	1.7809464931488037	0.33211002	No	
row_32	UBE2N	3168	1.7669436931610107	0.33567712	No	
row_33	BRCA1	3178	1.7621413469314575	0.33940527	No	
row_34	TAP1	3230	1.7144081592559814	0.34060195	No	
row_35	CCL5	3464	1.5654840469360352	0.3309686	No	
row_36	CD8B	3577	1.4935059547424316	0.32812342	No	
row_37	AKT1	3889	1.3164831399917603	0.31340244	No	
row_38	F2	3931	1.2940417528152466	0.31416157	No	
row_39	IL12A	4464	1.0285019874572754	0.28603166	No	
row_40	TLR6	4522	1.0027109384536743	0.2851683	No	
row_41	LTB	4540	0.9979955554008484	0.2865949	No	
row_42	TAPBP	4726	0.9250643253326416	0.27818006	No	
row_43	CD47	4729	0.9236552715301514	0.28029057	No	
row_44	HIF1A	4748	0.9152160882949829	0.28146023	No	
row_45	CD8A	4755	0.9122335314750671	0.28331307	No	
row_46	IL2RG	5013	0.8268417716026306	0.2705191	No	
row_47	TGFB1	5020	0.8243263959884644	0.27216014	No	
row_48	GALNT1	5047	0.8166085481643677	0.2726319	No	
row_49	PTPN6	5155	0.7787436842918396	0.26835218	No	
row_50	ABCE1	5162	0.7767574787139893	0.2698786	No	
row_51	MTIF2	5174	0.7706132531166077	0.27110255	No	
row_52	ICAM1	5335	0.7215738296508789	0.26363575	No	
row_53	STAT1	5400	0.6976989507675171	0.2616347	No	
row_54	LY86	5422	0.6884280443191528	0.26208526	No	
row_55	CD79A	5461	0.673268735408783	0.26152125	No	
