NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMS	356	11.299093246459961	0.030863551	No	
row_1	TPD52	518	8.644281387329102	0.060848806	No	
row_2	SAT1	907	5.677005290985107	0.06438587	No	
row_3	KRT8	1058	5.043187618255615	0.0786705	No	
row_4	CENPN	1074	4.9691267013549805	0.100345924	No	
row_5	HOMER2	1122	4.798620700836182	0.11941665	No	
row_6	KRT19	1303	4.21174955368042	0.12821384	No	
row_7	CDK6	1315	4.186537742614746	0.14656934	No	
row_8	ADRM1	1807	3.2149016857147217	0.13304614	No	
row_9	RRP12	1893	3.0729477405548096	0.14211638	No	
row_10	ABHD2	1916	3.04384446144104	0.15466042	No	
row_11	MAP7	1935	3.0202291011810303	0.1673263	No	
row_12	BMPR1B	2338	2.5206472873687744	0.15574867	No	
row_13	UBE2I	2492	2.3488430976867676	0.1576433	No	
row_14	SEC24D	2668	2.1822712421417236	0.15752342	No	
row_15	GSR	3406	1.6030441522598267	0.122611105	No	
row_16	ANKH	3417	1.5887646675109863	0.12924348	No	
row_17	HSD17B14	3610	1.4676856994628906	0.124910116	No	
row_18	AKT1	3889	1.3164831399917603	0.11496892	No	
row_19	XRCC6	4023	1.2437547445297241	0.1129969	No	
row_20	B4GALT1	4772	0.9046821594238281	0.07428809	No	
row_21	PA2G4	4789	0.8987361192703247	0.07744792	No	
row_22	GNAI3	4800	0.8964982032775879	0.08094101	No	
row_23	UAP1	5103	0.7951124310493469	0.067261875	No	
row_24	DHCR24	5207	0.7609086632728577	0.06481729	No	
row_25	XRCC5	5277	0.7409927248954773	0.064228356	No	
row_26	PMEPA1	5340	0.720711350440979	0.063948095	No	
row_27	ZBTB10	5455	0.6764205098152161	0.0604908	No	
row_28	ELK4	5806	0.5686861872673035	0.04303762	No	
row_29	NDRG1	5970	0.5172823071479797	0.03605417	No	
row_30	FADS1	6012	0.505832314491272	0.036001403	No	
row_31	CCND1	6370	0.41441577672958374	0.017447999	No	
row_32	LMAN1	6407	0.40359655022621155	0.017217785	No	
row_33	SLC38A2	6573	0.36238977313041687	0.009417466	No	
row_34	SPDEF	6662	0.3393011689186096	0.005919495	No	
row_35	ITGAV	7001	0.2710040807723999	-0.012196797	No	
row_36	UBE2J1	7721	0.15076936781406403	-0.052664645	No	
row_37	SRP19	7807	0.1378706395626068	-0.056904357	No	
row_38	ACTN1	7944	0.11777772754430771	-0.06415414	No	
row_39	SLC26A2	8091	0.10104959458112717	-0.072052136	No	
row_40	ZMIZ1	8400	0.0690712034702301	-0.089367114	No	
row_41	SRF	9032	0.02332797832787037	-0.12537625	No	
row_42	RAB4A	9085	0.021170590072870255	-0.12825644	No	
row_43	PGM3	9887	-3.7825100207555806E-6	-0.1741012	No	
row_44	PIAS1	10086	-0.0016863900236785412	-0.18542597	No	
row_45	MYL12A	10171	-0.003490881994366646	-0.19021784	No	
row_46	TSC22D1	10223	-0.004704757127910852	-0.19311546	No	
row_47	VAPA	10409	-0.01077640987932682	-0.20365496	No	
row_48	NGLY1	10568	-0.017139071598649025	-0.21262027	No	
row_49	CCND3	10930	-0.04326812922954559	-0.23308569	No	
row_50	ABCC4	10956	-0.045515935868024826	-0.23431015	No	
row_51	AZGP1	11114	-0.06185673922300339	-0.24301545	No	
row_52	DNAJB9	11237	-0.07745632529258728	-0.2496468	No	
row_53	CAMKK2	11502	-0.10684458166360855	-0.26427218	No	
row_54	SPCS3	11882	-0.16715843975543976	-0.285206	No	
row_55	PTK2B	12064	-0.2004174143075943	-0.29465657	No	
row_56	STK39	12198	-0.22581815719604492	-0.3012447	No	
row_57	TMEM50A	12449	-0.28489771485328674	-0.31426138	No	
row_58	TMPRSS2	12476	-0.29346024990081787	-0.3144187	No	
row_59	INPP4B	12496	-0.2978951036930084	-0.31415525	No	
row_60	INSIG1	12910	-0.4194541573524475	-0.33589095	No	
row_61	B2M	13019	-0.45321109890937805	-0.34001705	No	
row_62	APPBP2	13338	-0.5920337438583374	-0.35553282	No	
row_63	PDLIM5	13454	-0.6448464393615723	-0.35919055	No	
row_64	HMGCS1	13700	-0.7747699022293091	-0.36969957	No	
row_65	GPD1L	14406	-1.2104061841964722	-0.40456092	No	
row_66	SGK1	14414	-1.2177858352661133	-0.39943916	No	
row_67	MAK	14496	-1.2719327211380005	-0.3983072	No	
row_68	DBI	14626	-1.3858232498168945	-0.39940602	No	
row_69	MAF	15113	-1.9142390489578247	-0.41854128	Yes	
row_70	ELL2	15210	-2.0590054988861084	-0.41469863	Yes	
row_71	RPS6KA3	15297	-2.1959145069122314	-0.40966278	Yes	
row_72	ELOVL5	15455	-2.47328519821167	-0.40743276	Yes	
row_73	NCOA4	15497	-2.564241409301758	-0.39815107	Yes	
row_74	HERC3	15712	-2.963773727416992	-0.39695916	Yes	
row_75	TNFAIP8	16026	-3.759921073913574	-0.39782307	Yes	
row_76	IQGAP2	16059	-3.906162977218628	-0.38194096	Yes	
row_77	MERTK	16110	-4.094492435455322	-0.36623502	Yes	
row_78	ALDH1A3	16259	-4.659640789031982	-0.35357523	Yes	
row_79	SCD	16313	-4.850578784942627	-0.33461228	Yes	
row_80	ARID5B	16600	-6.342909812927246	-0.32221758	Yes	
row_81	CDC14B	16640	-6.654120922088623	-0.2942747	Yes	
row_82	PTPN21	16710	-7.092957019805908	-0.26605877	Yes	
row_83	FKBP5	16858	-8.317702293395996	-0.23675321	Yes	
