NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POSTN	118	17.926305770874023	0.12367308	Yes	
row_1	SPP1	296	12.660690307617188	0.20567472	Yes	
row_2	VCAN	569	8.054875373840332	0.24875057	Yes	
row_3	COL3A1	572	7.989468574523926	0.3067563	Yes	
row_4	COL5A2	636	7.354722023010254	0.356664	Yes	
row_5	TIMP1	843	5.945835113525391	0.38816333	Yes	
row_6	OLR1	1272	4.308783531188965	0.39508697	Yes	
row_7	VAV2	1478	3.8357295989990234	0.4112933	Yes	
row_8	STC1	1563	3.6476409435272217	0.4330354	Yes	
row_9	PTK2	3894	1.3144636154174805	0.3096522	No	
row_10	VEGFA	4212	1.147095799446106	0.2999094	No	
row_11	VTN	4699	0.9397530555725098	0.27901545	No	
row_12	LUM	4714	0.932116687297821	0.28499737	No	
row_13	ITGAV	7001	0.2710040807723999	0.15653403	No	
row_14	APP	7042	0.2624989449977875	0.15616128	No	
row_15	PGLYRP1	8652	0.04749384522438049	0.06470031	No	
row_16	LRPAP1	8693	0.044454917311668396	0.06274138	No	
row_17	PRG2	9365	0.009465894661843777	0.024524262	No	
row_18	PDGFA	10431	-0.01148385088890791	-0.036159057	No	
row_19	TNFRSF21	12123	-0.21183188259601593	-0.13110329	No	
row_20	JAG1	12458	-0.28668925166130066	-0.14807516	No	
row_21	SLCO2A1	12999	-0.44859880208969116	-0.17562316	No	
row_22	CXCL6	13334	-0.5909063220024109	-0.19038199	No	
row_23	JAG2	13869	-0.8527940511703491	-0.21464731	No	
row_24	SERPINA5	14049	-0.9531289339065552	-0.21792711	No	
row_25	KCNJ8	15056	-1.8457484245300293	-0.26190054	No	
row_26	NRP1	15398	-2.376061201095581	-0.26407257	No	
row_27	CCND2	15764	-3.067862033843994	-0.2625814	No	
row_28	S100A4	16177	-4.328421115875244	-0.254602	No	
row_29	FSTL1	16241	-4.58019495010376	-0.22487776	No	
row_30	THBD	16324	-4.877658367156982	-0.19407372	No	
row_31	PF4	16527	-5.887768268585205	-0.16276856	No	
row_32	MSX1	16625	-6.535985469818115	-0.12075678	No	
row_33	FGFR1	16662	-6.8097333908081055	-0.07327308	No	
row_34	LPL	17297	-17.108137130737305	0.015006222	No	
