NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP1A3	254	13.62255859375	0.013188909	No	
row_1	MMP9	258	13.472705841064453	0.040517967	No	
row_2	PPP2R2C	305	12.424565315246582	0.063232645	No	
row_3	NRTN	333	11.724997520446777	0.085612826	No	
row_4	CDH11	384	10.792831420898438	0.10476644	No	
row_5	CDSN	476	9.38721752166748	0.11869108	No	
row_6	SHROOM2	503	8.889583587646484	0.13534091	No	
row_7	VCAN	569	8.054875373840332	0.14804225	No	
row_8	KCNH2	575	7.962664604187012	0.1640086	No	
row_9	CD276	668	7.082499980926514	0.17317109	No	
row_10	ACTN2	898	5.733640193939209	0.17169526	No	
row_11	CLDN14	925	5.585574150085449	0.18160065	No	
row_12	MAPK13	968	5.3818278312683105	0.19016926	No	
row_13	GRB7	1062	5.033768653869629	0.19509213	No	
row_14	SRC	1085	4.951723098754883	0.20393385	No	
row_15	KRT31	1110	4.844773769378662	0.21244216	No	
row_16	CERCAM	1308	4.202267646789551	0.20968208	No	
row_17	CDH15	1320	4.180596351623535	0.2175828	No	
row_18	FSCN1	1444	3.896388292312622	0.21845733	No	
row_19	VAV2	1478	3.8357295989990234	0.22438788	No	
row_20	DMP1	1483	3.8266749382019043	0.23196903	No	
row_21	CLDN4	1491	3.8076207637786865	0.23933862	No	
row_22	TUBG1	1791	3.2343873977661133	0.22873232	No	
row_23	JUP	1814	3.2030582427978516	0.2340045	No	
row_24	MDK	1822	3.190831422805786	0.24011505	No	
row_25	RHOF	1881	3.0895333290100098	0.24308355	No	
row_26	CLDN7	2223	2.6541552543640137	0.22887556	No	
row_27	CRB3	2710	2.153543710708618	0.20530035	No	
row_28	ACTB	2748	2.1037235260009766	0.20746516	No	
row_29	THY1	2812	2.053401231765747	0.20803085	No	
row_30	ACTG1	2844	2.0225305557250977	0.21037525	No	
row_31	PFN1	2931	1.9452017545700073	0.20939633	No	
row_32	SHC1	3004	1.892831563949585	0.20911628	No	
row_33	ICAM5	3271	1.6869386434555054	0.19725046	No	
row_34	BAIAP2	3650	1.4469783306121826	0.17844877	No	
row_35	PTK2	3894	1.3144636154174805	0.16714635	No	
row_36	SYMPK	3997	1.2580888271331787	0.16384397	No	
row_37	CDK8	4056	1.2255672216415405	0.16300759	No	
row_38	WNK4	4171	1.1710277795791626	0.15883686	No	
row_39	NRXN2	4386	1.0691273212432861	0.1487027	No	
row_40	SLC30A3	4457	1.0361037254333496	0.14678891	No	
row_41	YWHAH	4543	0.9959459900856018	0.14392984	No	
row_42	ADAM15	4548	0.994320809841156	0.14572933	No	
row_43	CDH1	4551	0.9938953518867493	0.14764304	No	
row_44	PARD6G	4662	0.9499598145484924	0.14325126	No	
row_45	WASL	4704	0.9377145767211914	0.1428057	No	
row_46	B4GALT1	4772	0.9046821594238281	0.1407963	No	
row_47	HRAS	4779	0.9028576612472534	0.14229397	No	
row_48	VASP	4853	0.8861173391342163	0.13990135	No	
row_49	NF2	4873	0.877882182598114	0.14059985	No	
row_50	CDH3	5028	0.8226926326751709	0.1334159	No	
row_51	TGFBI	5171	0.7712358236312866	0.12681755	No	
row_52	COL16A1	5188	0.76598060131073	0.12746027	No	
row_53	ICAM1	5335	0.7215738296508789	0.12053034	No	
row_54	MAP4K2	5365	0.7113997936248779	0.12031345	No	
row_55	RAC2	5369	0.7106260061264038	0.12159138	No	
row_56	ACTN4	5571	0.6396774649620056	0.1113288	No	
row_57	NLGN2	5593	0.6317176222801208	0.111409694	No	
row_58	CAP1	5885	0.5419051647186279	0.09576768	No	
row_59	PIK3R3	5923	0.5293368101119995	0.09471871	No	
row_60	TIAL1	5948	0.5242036581039429	0.09440747	No	
row_61	ARPC2	6218	0.4514180123806	0.07984693	No	
row_62	RSU1	6242	0.44496774673461914	0.0794315	No	
row_63	DHX16	6256	0.4414795935153961	0.07958449	No	
row_64	BMP1	6393	0.40859848260879517	0.072591215	No	
row_65	PBX2	6558	0.36495324969291687	0.06389734	No	
row_66	GTF2F1	6620	0.3482310473918915	0.061097395	No	
row_67	MPZL1	6826	0.30675747990608215	0.049925014	No	
row_68	MYH9	7065	0.2586730122566223	0.0367552	No	
row_69	ITGB4	7114	0.25037139654159546	0.03450369	No	
row_70	CD86	7139	0.24631129205226898	0.03362519	No	
row_71	STX4	7462	0.18884345889091492	0.0154783	No	
row_72	LAYN	7538	0.1769414097070694	0.011522942	No	
row_73	INPPL1	7592	0.16984550654888153	0.008819287	No	
row_74	ZYX	7602	0.16818733513355255	0.008644621	No	
row_75	MPZL2	7649	0.1593153029680252	0.006322348	No	
row_76	MYL12B	7819	0.13539353013038635	-0.003127893	No	
row_77	CNN2	7859	0.12981975078582764	-0.0051074973	No	
