NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SHROOM2	503	8.889583587646484	0.026814869	No	
row_1	PLAUR	830	6.023376941680908	0.04582992	No	
row_2	SULF2	863	5.872178077697754	0.08068046	No	
row_3	ATP6V0A4	963	5.393339157104492	0.10871625	No	
row_4	HSPB1	1258	4.340463161468506	0.1190464	No	
row_5	RHCG	2452	2.3774991035461426	0.06580625	No	
row_6	GATA3	2564	2.28898024559021	0.07376769	No	
row_7	NCOA6	2596	2.257133722305298	0.086096175	No	
row_8	EPHB4	2611	2.2413580417633057	0.09929639	No	
row_9	LYPD3	2673	2.177255630493164	0.10941373	No	
row_10	THY1	2812	2.053401231765747	0.11436276	No	
row_11	BRCA1	3178	1.7621413469314575	0.10453674	No	
row_12	B4GALT1	4772	0.9046821594238281	0.019267812	No	
row_13	IL2RG	5013	0.8268417716026306	0.010734319	No	
row_14	ATP8B1	6798	0.3116718828678131	-0.08913969	No	
row_15	APP	7042	0.2624989449977875	-0.101369224	No	
row_16	IL2RB	7438	0.19248345494270325	-0.12271137	No	
row_17	LYN	8998	0.025297923013567924	-0.21153231	No	
row_18	GHRL	9484	0.005587507970631123	-0.23917848	No	
row_19	EFNA5	9565	0.003451781114563346	-0.24372287	No	
row_20	CROCC	9597	0.0028760710265487432	-0.2454742	No	
row_21	GSTM3	9720	8.921080152504146E-4	-0.25243172	No	
row_22	FLOT2	9893	-6.348060196614824E-6	-0.26224846	No	
row_23	TMEM8B	10214	-0.004519023001194	-0.28048402	No	
row_24	ADAM10	10276	-0.00624564103782177	-0.28392655	No	
row_25	MDGA1	10605	-0.019729038700461388	-0.30252373	No	
row_26	PKHD1	10839	-0.035708289593458176	-0.31559902	No	
row_27	CD160	10856	-0.03711528703570366	-0.3162804	No	
row_28	DCBLD2	12565	-0.31434908509254456	-0.41180003	No	
row_29	RTN4RL1	12804	-0.38160252571105957	-0.42300028	No	
row_30	ADIPOR2	12882	-0.40754562616348267	-0.42484954	No	
row_31	GAS1	12979	-0.44156140089035034	-0.42757073	No	
row_32	CX3CL1	13078	-0.4779638946056366	-0.4301787	No	
row_33	AFAP1L2	14801	-1.5530548095703125	-0.51876056	No	
row_34	MAL	15228	-2.092299699783325	-0.530006	No	
row_35	SCUBE1	15726	-2.987834930419922	-0.5397103	No	
row_36	AKAP7	16507	-5.805355072021484	-0.54796875	Yes	
row_37	SRPX	17299	-17.20543098449707	-0.48565152	Yes	
row_38	SLC22A12	17491	-33.262657165527344	-0.28879815	Yes	
row_39	SLC2A4	17541	-46.85955047607422	0.0010843656	Yes	
