NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TOP2A	101	19.42104721069336	0.043661658	No	
row_1	BGN	272	13.169717788696289	0.067438744	No	
row_2	ENO2	519	8.641350746154785	0.075317346	No	
row_3	AIFM3	645	7.241185188293457	0.086579934	No	
row_4	BAX	775	6.322732448577881	0.09527359	No	
row_5	TIMP1	843	5.945835113525391	0.106568515	No	
row_6	SAT1	907	5.677005290985107	0.11740851	No	
row_7	DAP3	1137	4.745156764984131	0.11634046	No	
row_8	KRT18	1157	4.6833415031433105	0.127177	No	
row_9	CDC25B	1168	4.639272212982178	0.13841826	No	
row_10	HSPB1	1258	4.340463161468506	0.14436086	No	
row_11	NEFH	1305	4.20826530456543	0.1524366	No	
row_12	TNFRSF12A	1363	4.0864362716674805	0.15957025	No	
row_13	PPT1	1378	4.054531097412109	0.16909249	No	
row_14	IER3	1435	3.9098095893859863	0.17583373	No	
row_15	SLC20A1	1577	3.6236178874969482	0.17696384	No	
row_16	PMAIP1	1669	3.4679789543151855	0.18056944	No	
row_17	CASP2	1847	3.1523027420043945	0.17843139	No	
row_18	IL18	2021	2.901496648788452	0.1758843	No	
row_19	CASP3	2099	2.8048055171966553	0.17860505	No	
row_20	DIABLO	2161	2.719379186630249	0.18202722	No	
row_21	FDXR	2325	2.532735824584961	0.17911534	No	
row_22	IFNB1	2478	2.3595879077911377	0.1763943	No	
row_23	ERBB3	2509	2.340956687927246	0.18063326	No	
row_24	CDK2	2946	1.9349819421768188	0.16051833	No	
row_25	BMF	3049	1.8667397499084473	0.15941398	No	
row_26	F2R	3155	1.7809464931488037	0.15791881	No	
row_27	BRCA1	3178	1.7621413469314575	0.16114312	No	
row_28	TAP1	3230	1.7144081592559814	0.16258015	No	
row_29	HMGB2	3372	1.6292606592178345	0.15863086	No	
row_30	GSR	3406	1.6030441522598267	0.16081816	No	
row_31	ANKH	3417	1.5887646675109863	0.16429016	No	
row_32	RARA	3557	1.508107304573059	0.16014719	No	
row_33	LEF1	3668	1.437807559967041	0.1574909	No	
row_34	DNAJA1	3780	1.385373830795288	0.15464363	No	
row_35	PTK2	3894	1.3144636154174805	0.15150087	No	
row_36	F2	3931	1.2940417528152466	0.15272886	No	
row_37	BID	3965	1.2771004438400269	0.154086	No	
row_38	CASP6	4194	1.1555837392807007	0.1439332	No	
row_39	RHOT2	4306	1.1036649942398071	0.14036845	No	
row_40	IL1A	4408	1.0586005449295044	0.1372633	No	
row_41	EBP	4417	1.055189609527588	0.13949123	No	
row_42	LUM	4714	0.932116687297821	0.12486349	No	
row_43	DNM1L	4794	0.898292064666748	0.122613706	No	
row_44	GUCY2D	5038	0.8196430802345276	0.11074373	No	
row_45	IFITM3	5448	0.6786901354789734	0.08898003	No	
row_46	BCL2L1	5575	0.6391025185585022	0.083370514	No	
row_47	CD2	5716	0.5929012894630432	0.07683921	No	
row_48	DAP	5787	0.5737558603286743	0.07427981	No	
row_49	ISG20	5931	0.5279162526130676	0.06741068	No	
row_50	GCH1	6026	0.501731812953949	0.06328933	No	
row_51	BTG3	6079	0.48722246289253235	0.06154343	No	
row_52	BCL2L11	6287	0.4344921410083771	0.050760306	No	
row_53	PDCD4	6298	0.4307030737400055	0.05128287	No	
row_54	CCND1	6370	0.41441577672958374	0.04826022	No	
row_55	PSEN2	6521	0.3729458451271057	0.040594324	No	
row_56	BIK	6543	0.36868545413017273	0.040327117	No	
row_57	APP	7042	0.2624989449977875	0.012391417	No	
row_58	CDKN1A	7225	0.22871355712413788	0.0025201596	No	
row_59	GNA15	7324	0.2112695425748825	-0.002570713	No	
row_60	RELA	7595	0.16926810145378113	-0.017647937	No	
row_61	BIRC3	7615	0.16500933468341827	-0.018319007	No	
row_62	PAK1	7785	0.14204834401607513	-0.027664293	No	
row_63	CTNNB1	8067	0.10320142656564713	-0.0435416	No	
row_64	SOD1	8272	0.08093654364347458	-0.05505287	No	
row_65	GADD45A	8283	0.0799085721373558	-0.055423737	No	
row_66	FASLG	8498	0.05971914529800415	-0.06756342	No	
row_67	CREBBP	8691	0.044487740844488144	-0.07847826	No	
row_68	CD38	8726	0.04217333719134331	-0.080323756	No	
row_69	CASP7	8817	0.0367860309779644	-0.08539951	No	
row_70	IRF1	8907	0.030876420438289642	-0.090432875	No	
row_71	MADD	9028	0.023425670340657234	-0.0972658	No	
row_72	MMP2	9054	0.02232866920530796	-0.09864489	No	
row_73	CDKN1B	9162	0.017141008749604225	-0.10474713	No	
row_74	CD44	9185	0.01633583754301071	-0.10596917	No	
row_75	DNAJC3	9235	0.014678130857646465	-0.10874625	No	
row_76	BCAP31	9399	0.008321302011609077	-0.1180875	No	
row_77	WEE1	9438	0.007118969224393368	-0.12025202	No	
row_78	BCL10	9658	0.001648979028686881	-0.1328268	No	
row_79	ATF3	10037	-9.730400051921606E-4	-0.15453598	No	
row_80	LMNA	10149	-0.00284296995960176	-0.1609044	No	
row_81	XIAP	10232	-0.004916532896459103	-0.1656018	No	
row_82	IL1B	10523	-0.015108869411051273	-0.18222041	No	
row_83	MGMT	10551	-0.01600169762969017	-0.1837305	No	
row_84	CASP9	10578	-0.017849866300821304	-0.18517843	No	
row_85	TSPO	10595	-0.01929902285337448	-0.18604828	No	
row_86	VDAC2	10606	-0.019761737436056137	-0.18657234	No	
row_87	PEA15	10625	-0.02075919881463051	-0.18755336	No	
row_88	FAS	10717	-0.027279552072286606	-0.19271076	No	
row_89	MCL1	10753	-0.02968076430261135	-0.19464551	No	
row_90	EGR3	10776	-0.03161169961094856	-0.19582863	No	
row_91	TGFB2	11111	-0.06176768243312836	-0.2148557	No	
row_92	PPP2R5B	11139	-0.06478806585073471	-0.21624152	No	
row_93	ETF1	11141	-0.065280482172966	-0.2161327	No	
row_94	DDIT3	11240	-0.07775496691465378	-0.22156362	No	
row_95	TNF	11580	-0.11742576956748962	-0.24073611	No	
row_96	PSEN1	11585	-0.11774516850709915	-0.24066599	No	
row_97	HMOX1	11614	-0.12243028730154037	-0.24196245	No	
row_98	SQSTM1	11626	-0.12409907579421997	-0.2422782	No	
row_99	IGF2R	11731	-0.14225618541240692	-0.24788947	No	
row_100	NEDD9	12014	-0.19130323827266693	-0.26359984	No	
row_101	PDGFRB	12136	-0.21448267996311188	-0.27000362	No	
row_102	PLCB2	12239	-0.2358945608139038	-0.27526152	No	
row_103	PPP3R1	12270	-0.24665722250938416	-0.27635646	No	
row_104	BTG2	12299	-0.2523845434188843	-0.27732193	No	
row_105	RNASEL	12491	-0.2966020703315735	-0.28753725	No	
row_106	DFFA	12664	-0.34260472655296326	-0.29654405	No	
row_107	CYLD	12785	-0.3748745024204254	-0.3024819	No	
row_108	SMAD7	12891	-0.412429541349411	-0.30746248	No	
row_109	CTH	13005	-0.44982820749282837	-0.31280735	No	
row_110	RHOB	13543	-0.6907771825790405	-0.3418924	No	
row_111	GPX1	13569	-0.7096979022026062	-0.34152082	No	
row_112	SPTAN1	13682	-0.7635988593101501	-0.3460091	No	
row_113	GADD45B	13811	-0.8217390179634094	-0.35126835	No	
row_114	BMP2	13963	-0.8948121070861816	-0.35766256	No	
row_115	HGF	14145	-1.0216035842895508	-0.365457	No	
row_116	TIMP2	14219	-1.0783159732818604	-0.36690363	No	
row_117	CD69	14396	-1.2014377117156982	-0.37395287	No	
row_118	PLAT	14456	-1.2467776536941528	-0.37416634	No	
row_119	JUN	14556	-1.3310952186584473	-0.3764626	No	
row_120	PRF1	14624	-1.3839434385299683	-0.37678623	No	
row_121	CASP4	14685	-1.4377471208572388	-0.37657076	No	
row_122	SATB1	14875	-1.62833833694458	-0.38327944	No	
row_123	ADD1	14979	-1.747662901878357	-0.3847445	No	
row_124	TIMP3	15063	-1.8570284843444824	-0.38478225	No	
row_125	CASP8	15253	-2.128307342529297	-0.39021757	No	
row_126	IFNGR1	15464	-2.491901159286499	-0.39593303	Yes	
row_127	LGALS3	15544	-2.6443967819213867	-0.39373574	Yes	
row_128	ROCK1	15548	-2.6499392986297607	-0.387159	Yes	
row_129	CCND2	15764	-3.067862033843994	-0.39169475	Yes	
row_130	SOD2	15830	-3.2383670806884766	-0.38718054	Yes	
row_131	ANXA1	15849	-3.279329776763916	-0.3798624	Yes	
row_132	CASP1	15917	-3.459622383117676	-0.37489954	Yes	
row_133	AVPR1A	16034	-3.794936180114746	-0.37189716	Yes	
row_134	BNIP3L	16090	-4.000202655792236	-0.36486825	Yes	
row_135	CD14	16202	-4.439173221588135	-0.3599379	Yes	
row_136	FEZ1	16273	-4.71275520324707	-0.3519558	Yes	
row_137	CFLAR	16326	-4.890291690826416	-0.34248763	Yes	
row_138	GPX4	16347	-4.968943119049072	-0.33098114	Yes	
row_139	EMP1	16390	-5.213000774383545	-0.3201167	Yes	
row_140	IL6	16526	-5.881715297698975	-0.3128909	Yes	
row_141	DPYD	16528	-5.888352394104004	-0.29795143	Yes	
row_142	BCL2L2	16756	-7.515904426574707	-0.29184788	Yes	
row_143	DCN	16794	-7.759670734405518	-0.2742102	Yes	
row_144	TXNIP	17027	-10.754631996154785	-0.26014522	Yes	
row_145	RETSAT	17037	-10.894072532653809	-0.23291634	Yes	
row_146	CAV1	17322	-18.204822540283203	-0.20286345	Yes	
row_147	GSN	17330	-18.653921127319336	-0.15575637	Yes	
row_148	IGFBP6	17353	-19.51038360595703	-0.10732956	Yes	
