NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSD17B6	17	30.100276947021484	0.069018945	No	
row_1	DIO1	412	10.257233619689941	0.0703031	No	
row_2	KLF1	940	5.500739097595215	0.052909046	No	
row_3	SLC23A1	1448	3.8942785263061523	0.03292501	No	
row_4	FDXR	2325	2.532735824584961	-0.011360273	No	
row_5	AQP9	2482	2.3566112518310547	-0.014815627	No	
row_6	SLC27A5	2706	2.156362533569336	-0.022574184	No	
row_7	NR1I2	2865	2.001511812210083	-0.026969811	No	
row_8	RBP1	3036	1.876059651374817	-0.03234448	No	
row_9	SLC22A18	3448	1.5740468502044678	-0.052225187	No	
row_10	IDH2	3495	1.5457180738449097	-0.05126565	No	
row_11	PEX13	3569	1.5006295442581177	-0.051957436	No	
row_12	PFKM	3635	1.4523102045059204	-0.052303363	No	
row_13	AMACR	3859	1.3345839977264404	-0.061972816	No	
row_14	SLC35B2	4192	1.1558319330215454	-0.078301124	No	
row_15	PIPOX	4761	0.9099785685539246	-0.1087185	No	
row_16	DHCR24	5207	0.7609086632728577	-0.13243744	No	
row_17	SULT2B1	5345	0.7192602157592773	-0.13861188	No	
row_18	LCK	5837	0.556868314743042	-0.16544001	No	
row_19	FADS1	6012	0.505832314491272	-0.17423	No	
row_20	SERPINA6	7040	0.263125479221344	-0.23244168	No	
row_21	GNPAT	7062	0.2596304714679718	-0.23304078	No	
row_22	PEX1	7220	0.229755699634552	-0.24149902	No	
row_23	HSD3B7	7363	0.2038414180278778	-0.24915837	No	
row_24	PRDX5	7453	0.19007089734077454	-0.25381404	No	
row_25	PEX7	7958	0.11620388180017471	-0.28241146	No	
row_26	PEX26	8028	0.10690650343894958	-0.286115	No	
row_27	SOD1	8272	0.08093654364347458	-0.2998451	No	
row_28	DIO2	8381	0.07109075039625168	-0.30586573	No	
row_29	TFCP2L1	8483	0.061106402426958084	-0.31150863	No	
row_30	ABCA3	8581	0.05347098782658577	-0.31694016	No	
row_31	ABCD3	8705	0.04375455901026726	-0.32388347	No	
row_32	ATXN1	9179	0.01654968224465847	-0.35093704	No	
row_33	PEX16	9245	0.014263615012168884	-0.3546269	No	
row_34	CYP27A1	9705	0.0010681439889594913	-0.38091457	No	
row_35	TTR	9798	1.9904000509995967E-4	-0.3861836	No	
row_36	PAOX	10113	-0.002203902928158641	-0.40416345	No	
row_37	FADS2	10130	-0.002484374912455678	-0.40507412	No	
row_38	ALDH8A1	10272	-0.00609825411811471	-0.413136	No	
row_39	ABCG4	10353	-0.00873722042888403	-0.41769785	No	
row_40	CH25H	10594	-0.01928151585161686	-0.4313995	No	
row_41	PEX12	10749	-0.02932465448975563	-0.440152	No	
row_42	AR	10846	-0.0361940860748291	-0.44556642	No	
row_43	ABCD1	10868	-0.03818646818399429	-0.44668043	No	
row_44	CYP7B1	11276	-0.08130492269992828	-0.46980312	No	
row_45	SOAT2	11536	-0.11135965585708618	-0.48437893	No	
