NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAD51	150	16.706132888793945	0.058148604	Yes	
row_1	ZWINT	404	10.431714057922363	0.0853123	Yes	
row_2	NME1	509	8.798628807067871	0.114502534	Yes	
row_3	HPRT1	539	8.380593299865723	0.14632717	Yes	
row_4	TYMS	715	6.749863624572754	0.16325514	Yes	
row_5	RFC4	730	6.658530235290527	0.18905932	Yes	
row_6	BOLA2	773	6.333714962005615	0.21195836	Yes	
row_7	PCNA	976	5.353308200836182	0.22175588	Yes	
row_8	FEN1	1029	5.1624650955200195	0.23940058	Yes	
row_9	POLD1	1118	4.818079948425293	0.25360274	Yes	
row_10	RFC2	1136	4.746135711669922	0.2715927	Yes	
row_11	LIG1	1197	4.512703895568848	0.28618175	Yes	
row_12	TMED2	1314	4.187532424926758	0.29625705	Yes	
row_13	POLR2K	1318	4.181349277496338	0.3127937	Yes	
row_14	VPS37D	1330	4.149388790130615	0.32874346	Yes	
row_15	RAE1	1542	3.687039613723755	0.33136588	Yes	
row_16	CETN2	1658	3.480616807937622	0.33867374	Yes	
row_17	POLR2H	1661	3.476715326309204	0.35245204	Yes	
row_18	SSRP1	1691	3.4363198280334473	0.36451915	Yes	
row_19	RFC3	1755	3.3101589679718018	0.37413058	Yes	
row_20	ADRM1	1807	3.2149016857147217	0.38405013	Yes	
row_21	POLR2F	1860	3.123661994934082	0.39354768	Yes	
row_22	POLA2	1912	3.0469558238983154	0.40279612	Yes	
row_23	UMPS	1931	3.0253026485443115	0.41385216	Yes	
row_24	COX17	1972	2.968322992324829	0.42341778	Yes	
row_25	RPA3	2162	2.716203212738037	0.42342347	Yes	
row_26	SEC61A1	2237	2.637025833129883	0.42971364	Yes	
row_27	RFC5	2241	2.632384777069092	0.44006056	Yes	
row_28	TAF6	2320	2.53446364402771	0.44571128	Yes	
row_29	ZNF707	2342	2.511730432510376	0.4545429	Yes	
row_30	STX3	2343	2.510856866836548	0.4645764	Yes	
row_31	NME4	2703	2.158278226852417	0.45259482	Yes	
row_32	DGUOK	2894	1.9719120264053345	0.44956893	Yes	
row_33	ITPA	2944	1.9364498853683472	0.4544945	Yes	
row_34	PNP	2957	1.9251631498336792	0.46149877	Yes	
row_35	POLB	2996	1.8954094648361206	0.46689174	Yes	
row_36	POLR1C	3005	1.8920994997024536	0.47399348	Yes	
row_37	SUPT5H	3031	1.8778581619262695	0.48006248	Yes	
row_38	SAC3D1	3042	1.870581865310669	0.48696345	Yes	
row_39	CCNO	3218	1.7268041372299194	0.48381904	Yes	
row_40	RBX1	3241	1.7047128677368164	0.48936838	Yes	
row_41	CSTF3	3419	1.5882519483566284	0.48555553	Yes	
row_42	CANT1	3450	1.5735491514205933	0.49012154	Yes	
row_43	POLR2G	3468	1.5610578060150146	0.49538383	Yes	
row_44	POLR2I	3493	1.547290563583374	0.5001893	Yes	
row_45	PDE6G	3513	1.5336296558380127	0.50522715	Yes	
row_46	POLR2D	3553	1.5120606422424316	0.5090309	Yes	
row_47	ERCC1	3590	1.487729549407959	0.51290953	Yes	
