NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYBL2	12	32.11387634277344	0.025806308	Yes	
row_1	MELK	33	26.391115188598633	0.04643044	Yes	
row_2	PLK1	49	24.151168823242188	0.06549414	Yes	
row_3	AURKB	51	23.61117935180664	0.08491797	Yes	
row_4	CDCA3	58	22.438337326049805	0.10308636	Yes	
row_5	CCNB2	64	21.73298454284668	0.12073032	Yes	
row_6	CDC20	70	21.209518432617188	0.13794236	Yes	
row_7	DLGAP5	71	21.018905639648438	0.15528488	Yes	
row_8	KIF4A	76	20.631851196289062	0.17207785	Yes	
row_9	PTTG1	79	20.41351318359375	0.18880576	Yes	
row_10	TRIP13	81	20.358335494995117	0.2055457	Yes	
row_11	E2F8	96	19.668245315551758	0.22096813	Yes	
row_12	KIF18B	100	19.525739669799805	0.236906	Yes	
row_13	TOP2A	101	19.42104721069336	0.25293013	Yes	
row_14	UBE2T	109	18.863683700561523	0.26809156	Yes	
row_15	CDCA8	110	18.779720306396484	0.28358653	Yes	
row_16	BUB1B	112	18.60947036743164	0.2988835	Yes	
row_17	DEPDC1	114	18.174121856689453	0.31382126	Yes	
row_18	KIF2C	120	17.82392120361328	0.3282399	Yes	
row_19	CDK1	128	17.420387268066406	0.34221047	Yes	
row_20	AURKA	139	17.12546157836914	0.35576507	Yes	
row_21	GINS1	140	17.122905731201172	0.369893	Yes	
row_22	CDKN3	141	17.115554809570312	0.3840149	Yes	
row_23	CENPE	158	16.54002571105957	0.39674118	Yes	
row_24	MKI67	159	16.51905059814453	0.41037092	Yes	
row_25	RRM2	166	16.208253860473633	0.4233989	Yes	
row_26	ESPL1	171	15.9644775390625	0.43634087	Yes	
row_27	RAD51AP1	175	15.782567977905273	0.4491903	Yes	
row_28	SPC25	180	15.614007949829102	0.46184307	Yes	
row_29	ASF1B	186	15.503363609313965	0.47434703	Yes	
row_30	CENPM	193	15.381531715393066	0.4866929	Yes	
row_31	CDKN2A	211	14.905464172363281	0.49801296	Yes	
row_32	HMMR	213	14.82896900177002	0.51019067	Yes	
row_33	UBE2S	215	14.614975929260254	0.5221918	Yes	
row_34	HMGB3	221	14.460733413696289	0.5338355	Yes	
row_35	CCNE1	235	14.18517780303955	0.54479146	Yes	
row_36	MCM2	265	13.297361373901367	0.55409414	Yes	
row_37	MAD2L1	269	13.219520568847656	0.56482875	Yes	
row_38	CDC25A	278	13.017487525939941	0.575109	Yes	
row_39	KPNA2	295	12.714143753051758	0.5846786	Yes	
row_40	EZH2	298	12.626141548156738	0.5949812	Yes	
row_41	SPAG5	304	12.425121307373047	0.6049453	Yes	
row_42	HELLS	309	12.247724533081055	0.6148206	Yes	
row_43	MCM4	336	11.676251411437988	0.62295836	Yes	
row_44	CKS2	358	11.259164810180664	0.63103974	Yes	
row_45	LMNB1	360	11.245689392089844	0.6402609	Yes	
row_46	HMGA1	363	11.211247444152832	0.64939606	Yes	
row_47	ATAD2	396	10.539002418518066	0.65625024	Yes	
row_48	DIAPH3	398	10.498295783996582	0.6648547	Yes	
row_49	CIT	418	10.121661186218262	0.6721126	Yes	
row_50	RACGAP1	423	9.910285949707031	0.6800593	Yes	
row_51	SMC4	459	9.521773338317871	0.68590146	Yes	
row_52	NME1	509	8.798628807067871	0.69034135	Yes	
