NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL11A1	1	65.7628173828125	0.07368452	Yes	
row_1	MMP1	19	29.412296295166016	0.10568694	Yes	
row_2	INHBA	30	26.80282211303711	0.13516623	Yes	
row_3	APLP1	35	25.61658477783203	0.16366072	Yes	
row_4	RGS4	42	24.760669708251953	0.19108032	Yes	
row_5	COMP	61	22.077783584594727	0.21480073	Yes	
row_6	LRRC15	72	20.935768127441406	0.23770109	Yes	
row_7	POSTN	118	17.926305770874023	0.2552121	Yes	
row_8	CDH2	165	16.245479583740234	0.27078074	Yes	
row_9	FN1	183	15.565340995788574	0.28725612	Yes	
row_10	COL1A1	236	14.182167053222656	0.30016574	Yes	
row_11	BGN	272	13.169717788696289	0.31291866	Yes	
row_12	CTHRC1	293	12.74140739440918	0.32605475	Yes	
row_13	SPP1	296	12.660690307617188	0.3401365	Yes	
row_14	CDH11	384	10.792831420898438	0.3472308	Yes	
row_15	MATN3	388	10.676788330078125	0.35903034	Yes	
row_16	COL5A1	425	9.904864311218262	0.3680647	Yes	
row_17	ENO2	519	8.641350746154785	0.37240112	Yes	
row_18	VCAN	569	8.054875373840332	0.3786127	Yes	
row_19	COL3A1	572	7.989468574523926	0.38745642	Yes	
row_20	PFN2	600	7.678752899169922	0.39451265	Yes	
row_21	COL5A2	636	7.354722023010254	0.400745	Yes	
row_22	ADAM12	682	6.9655914306640625	0.4059654	Yes	
row_23	MXRA5	736	6.630429267883301	0.41034943	Yes	
row_24	SCG2	756	6.4921040534973145	0.41653553	Yes	
row_25	MMP14	777	6.307766914367676	0.42245737	Yes	
row_26	COL1A2	784	6.240702152252197	0.4291099	Yes	
row_27	PLAUR	830	6.023376941680908	0.43327373	Yes	
row_28	FAP	842	5.946163177490234	0.43930817	Yes	
row_29	TIMP1	843	5.945835113525391	0.44597542	Yes	
row_30	SAT1	907	5.677005290985107	0.44871473	Yes	
row_31	SERPINE2	1115	4.832571029663086	0.44221792	Yes	
row_32	SDC1	1131	4.760948181152344	0.4466931	Yes	
row_33	ECM1	1179	4.599475383758545	0.44914514	Yes	
