NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KIF20A	65	21.65874671936035	0.034190882	Yes	
row_1	CDC20	70	21.209518432617188	0.07110363	Yes	
row_2	TOP2A	101	19.42104721069336	0.1033889	Yes	
row_3	CDC6	155	16.629844665527344	0.12946321	Yes	
row_4	GAL	203	15.11288070678711	0.15322606	Yes	
row_5	SLC7A5	274	13.131551742553711	0.17219625	Yes	
row_6	S100A9	337	11.668323516845703	0.18906413	Yes	
row_7	GJB3	352	11.373760223388672	0.20817699	Yes	
row_8	PLAC1	374	11.040933609008789	0.22630438	Yes	
row_9	STIL	450	9.61484432220459	0.2388284	Yes	
row_10	ASCL1	497	8.971776962280273	0.25189427	Yes	
row_11	RNASEH2A	515	8.649701118469238	0.2660641	Yes	
row_12	PLK4	529	8.499283790588379	0.28020063	Yes	
row_13	HPRT1	539	8.380593299865723	0.29435933	Yes	
row_14	COX6C	662	7.119076728820801	0.29980937	Yes	
row_15	MAPK13	968	5.3818278312683105	0.29169136	Yes	
row_16	PKP3	983	5.331278324127197	0.30022243	Yes	
row_17	FKBP4	1007	5.228381156921387	0.30805564	Yes	
row_18	ANXA9	1093	4.906720161437988	0.31175944	Yes	
row_19	HOMER2	1122	4.798620700836182	0.31855246	Yes	
row_20	PRLR	1225	4.451755046844482	0.32048175	Yes	
row_21	KRT19	1303	4.21174955368042	0.32342866	Yes	
row_22	KCNK5	1350	4.1138596534729	0.32798716	Yes	
row_23	LLGL2	1392	4.012150287628174	0.33265516	Yes	
row_24	SIAH2	1644	3.504833698272705	0.32435605	Yes	
row_25	OPN3	1678	3.4576261043548584	0.3285131	Yes	
row_26	MDK	1822	3.190831422805786	0.32587597	Yes	
row_27	ABHD2	1916	3.04384446144104	0.3258573	Yes	
row_28	DNAJC1	1918	3.0424439907073975	0.33112782	Yes	
row_29	SLC9A3R1	1946	3.006359815597534	0.33483967	Yes	
row_30	TFAP2C	1995	2.9339663982391357	0.3372169	Yes	
row_31	FARP1	2001	2.9257054328918457	0.3420529	Yes	
row_32	ST14	2195	2.689730644226074	0.33566236	No	
row_33	CA12	2201	2.6837375164031982	0.34007463	No	
row_34	SERPINA3	2344	2.5102970600128174	0.33630326	No	
row_35	CD9	2345	2.5065481662750244	0.34069282	No	
row_36	GALE	2551	2.2987728118896484	0.3329274	No	
row_37	RAPGEFL1	2693	2.168483257293701	0.32861495	No	
row_38	TMPRSS3	2843	2.0225863456726074	0.32358685	No	
row_39	MICB	2879	1.9848188161849976	0.3250496	No	
row_40	OVOL2	2923	1.9504356384277344	0.32599205	No	
row_41	TSPAN13	3018	1.8848588466644287	0.32388622	No	
row_42	RAB31	3191	1.7530332803726196	0.31706315	No	
row_43	DNAJC12	3251	1.701068639755249	0.3166486	No	
row_44	FOXC1	3276	1.6851741075515747	0.3182193	No	
row_45	NXT1	3384	1.6193475723266602	0.3149008	No	
row_46	SLC16A1	3437	1.57815682888031	0.3146736	No	
row_47	AGR2	3471	1.55994713306427	0.31550735	No	
row_48	IDH2	3495	1.5457180738449097	0.31689137	No	
row_49	XRCC3	3518	1.532092809677124	0.31830904	No	
row_50	NAB2	3666	1.4391547441482544	0.31237423	No	
row_51	PERP	3835	1.3519365787506104	0.30507886	No	
row_52	DLG5	3964	1.2774806022644043	0.2999538	No	
row_53	FAM102A	4039	1.2344845533370972	0.29785934	No	
row_54	SFN	4240	1.134618878364563	0.28834283	No	
row_55	CDH1	4551	0.9938953518867493	0.27225292	No	
row_56	SCNN1A	4673	0.9470028281211853	0.26695174	No	
row_57	TIAM1	4731	0.9220630526542664	0.26528797	No	
row_58	TNNC1	4908	0.8664564490318298	0.25668225	No	
row_59	TPD52L1	4968	0.8470308780670166	0.25477207	No	
row_60	ARL3	5014	0.8261764645576477	0.2536306	No	
row_61	RET	5036	0.8201415538787842	0.253859	No	
row_62	PTPN6	5155	0.7787436842918396	0.24843569	No	
row_63	TOB1	5177	0.7703762054443359	0.24857692	No	
row_64	MYB	5300	0.7348746657371521	0.24284673	No	
row_65	SULT2B1	5345	0.7192602157592773	0.24157555	No	
row_66	HSPB8	5435	0.6837415099143982	0.23765388	No	
row_67	TPBG	5518	0.657142162322998	0.23408826	No	
row_68	CELSR2	5711	0.5936098098754883	0.22408444	No	
row_69	TJP3	5736	0.588658332824707	0.22373489	No	
