NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TDO2	63	21.803775787353516	0.023421153	No	
row_1	RDH16	233	14.22183609008789	0.031353705	No	
row_2	SMS	356	11.299093246459961	0.03836048	No	
row_3	ENO2	519	8.641350746154785	0.03977469	No	
row_4	IL4I1	870	5.846957683563232	0.026928945	No	
row_5	MIF	1177	4.602726459503174	0.015066661	No	
row_6	ALDOA	1296	4.226348400115967	0.01353231	No	
row_7	ACOT8	1346	4.121613502502441	0.015829952	No	
row_8	HSPH1	1400	3.9835166931152344	0.01772667	No	
row_9	NTHL1	1486	3.8188390731811523	0.017581781	No	
row_10	HSD17B10	1675	3.4600682258605957	0.0110778855	No	
row_11	HSP90AA1	1831	3.173340320587158	0.006113232	No	
row_12	BMPR1B	2338	2.5206472873687744	-0.019814698	No	
row_13	OSTC	2448	2.3794426918029785	-0.023122601	No	
row_14	LDHA	2486	2.3531744480133057	-0.02232895	No	
row_15	PTS	2546	2.3019909858703613	-0.022861978	No	
row_16	HSD17B7	2832	2.0326790809631348	-0.036705546	No	
row_17	FABP2	3433	1.580905556678772	-0.06919617	No	
row_18	NCAPH2	3697	1.4251577854156494	-0.08252991	No	
row_19	SDHC	3834	1.3534210920333862	-0.08866047	No	
row_20	MDH2	3865	1.330651879310608	-0.088732906	No	
row_21	RAP1GDS1	4249	1.1279195547103882	-0.10932546	No	
row_22	HCCS	4339	1.091381549835205	-0.1130823	No	
row_23	YWHAH	4543	0.9959459900856018	-0.12350319	No	
row_24	FH	4572	0.9876337051391602	-0.12388616	No	
row_25	ADSL	4639	0.9577599763870239	-0.12648807	No	
row_26	ACAT2	4984	0.8381757736206055	-0.14520063	No	
row_27	RDH11	5116	0.79081130027771	-0.15174176	No	
row_28	AADAT	5156	0.7780331969261169	-0.15301625	No	
row_29	ERP29	5175	0.7705838680267334	-0.1530942	No	
row_30	DHCR24	5207	0.7609086632728577	-0.15393059	No	
row_31	GPD2	5604	0.6271677017211914	-0.17589055	No	
