NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYBL2	12	32.11387634277344	0.026045308	Yes	
row_1	UBE2C	15	31.571931838989258	0.052214805	Yes	
row_2	TPX2	31	26.787067413330078	0.073652774	Yes	
row_3	TTK	45	24.425987243652344	0.09324015	Yes	
row_4	PLK1	49	24.151168823242188	0.113174096	Yes	
row_5	BUB1	50	23.879924774169922	0.13305485	Yes	
row_6	AURKB	51	23.61117935180664	0.15271185	Yes	
row_7	NEK2	59	22.392528533935547	0.17095155	Yes	
row_8	TROAP	60	22.17923927307129	0.18941641	Yes	
row_9	CCNB2	64	21.73298454284668	0.20733716	Yes	
row_10	CDC20	70	21.209518432617188	0.22470702	Yes	
row_11	KIF4A	76	20.631851196289062	0.24159597	Yes	
row_12	PTTG1	79	20.41351318359375	0.25847575	Yes	
row_13	KIF23	93	19.78567123413086	0.27419993	Yes	
row_14	RAD54L	95	19.689638137817383	0.2905346	Yes	
row_15	EXO1	98	19.62099266052246	0.3067546	Yes	
row_16	TOP2A	101	19.42104721069336	0.3228081	Yes	
row_17	NDC80	108	18.87160301208496	0.33817405	Yes	
row_18	NUSAP1	115	18.08452796936035	0.35288474	Yes	
row_19	KIF2C	120	17.82392120361328	0.3674935	Yes	
row_20	POLQ	125	17.579391479492188	0.38189873	Yes	
row_21	CDK1	128	17.420387268066406	0.39628667	Yes	
row_22	CENPA	129	17.41965103149414	0.41078904	Yes	
row_23	CDC45	131	17.380428314208984	0.4252012	Yes	
row_24	AURKA	139	17.12546157836914	0.43905592	Yes	
row_25	CDKN3	141	17.115554809570312	0.45324758	Yes	
row_26	CDC6	155	16.629844665527344	0.46634445	Yes	
row_27	E2F2	156	16.61815643310547	0.48017955	Yes	
row_28	CENPE	158	16.54002571105957	0.49389207	Yes	
row_29	MKI67	159	16.51905059814453	0.50764465	Yes	
row_30	KIF11	169	16.031158447265625	0.52047324	Yes	
row_31	CENPF	170	15.965024948120117	0.5337646	Yes	
