NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KIF20A	65	21.65874671936035	0.030451586	Yes	
row_1	DEPDC1	114	18.174121856689453	0.056380488	Yes	
row_2	CDK1	128	17.420387268066406	0.08313419	Yes	
row_3	CENPA	129	17.41965103149414	0.11063506	Yes	
row_4	AURKA	139	17.12546157836914	0.1371534	Yes	
row_5	ARTN	206	15.023955345153809	0.1570729	Yes	
row_6	HMMR	213	14.82896900177002	0.18013841	Yes	
row_7	CHST6	231	14.23613452911377	0.2016348	Yes	
row_8	CXCR4	247	13.87589168548584	0.22267757	Yes	
row_9	SLC16A3	267	13.256048202514648	0.24251154	Yes	
row_10	SPAG4	420	10.084551811218262	0.24968258	Yes	
row_11	COL5A1	425	9.904864311218262	0.2650894	Yes	
row_12	CACNA1H	430	9.836743354797363	0.28038865	Yes	
row_13	DPYSL4	452	9.60618782043457	0.29434538	Yes	
row_14	LDHC	477	9.366159439086914	0.30775043	Yes	
row_15	ENO2	519	8.641350746154785	0.31903264	Yes	
row_16	VCAN	569	8.054875373840332	0.32892847	Yes	
row_17	STMN1	570	8.009474754333496	0.34157324	Yes	
row_18	PPFIA4	593	7.752458095550537	0.35254586	Yes	
row_19	POLR3K	631	7.372183322906494	0.36205465	Yes	
row_20	TPI1	637	7.348583698272705	0.37336823	Yes	
row_21	PDK3	652	7.174134731292725	0.38388833	Yes	
row_22	PFKP	709	6.776394367218018	0.39136282	Yes	
row_23	EFNA3	900	5.726247310638428	0.38946587	Yes	
row_24	FKBP4	1007	5.228381156921387	0.39161828	Yes	
row_25	PGK1	1076	4.961698055267334	0.3955371	Yes	
row_26	SAP30	1114	4.8326568603515625	0.40103668	Yes	
row_27	SDC1	1131	4.760948181152344	0.4076319	Yes	
row_28	DDIT4	1158	4.6806840896606445	0.41352475	Yes	
row_29	NDST3	1173	4.6169962882995605	0.42000782	Yes	
row_30	MIF	1177	4.602726459503174	0.42710158	Yes	
row_31	KDELR3	1233	4.432808876037598	0.43093377	Yes	
row_32	LHX9	1242	4.392439842224121	0.43740773	Yes	
row_33	P4HA1	1287	4.262070178985596	0.44160354	Yes	
row_34	ALDOA	1296	4.226348400115967	0.4478153	Yes	
row_35	COPB2	1420	3.9363529682159424	0.44694936	Yes	
row_36	IER3	1435	3.9098095893859863	0.452316	Yes	
row_37	STC1	1563	3.6476409435272217	0.450764	Yes	
row_38	PPIA	1604	3.5832042694091797	0.45411834	Yes	
row_39	PMM2	1626	3.5335469245910645	0.458488	Yes	
row_40	PSMC4	1720	3.376622200012207	0.4584653	Yes	
row_41	SLC25A13	1824	3.188877582550049	0.4575706	Yes	
row_42	B3GNT3	1926	3.0311551094055176	0.45654202	Yes	
row_43	CHPF	1934	3.022526979446411	0.46091083	Yes	
