NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	E2F2	156	16.61815643310547	0.019196164	No	
row_1	OSBP2	234	14.200464248657227	0.038838994	No	
row_2	SLC7A11	302	12.488127708435059	0.05615437	No	
row_3	ACSL6	306	12.410754203796387	0.077020764	No	
row_4	ASNS	313	12.148795127868652	0.097270474	No	
row_5	HDGF	493	9.054821014404297	0.10232182	No	
row_6	SLC2A1	495	9.029475212097168	0.11757126	No	
row_7	XK	761	6.453395366668701	0.113264665	No	
row_8	GMPS	871	5.846182346343994	0.116904035	No	
row_9	KLF1	940	5.500739097595215	0.122316696	No	
row_10	EIF2AK1	973	5.360978603363037	0.12956366	No	
row_11	RHCE	1031	5.153007507324219	0.13501972	No	
row_12	SLC6A9	1212	4.4714531898498535	0.1322437	No	
row_13	SMOX	1586	3.611271619796753	0.116905384	No	
row_14	TFRC	1591	3.6043856143951416	0.12278549	No	
row_15	TMCC2	1707	3.4052937030792236	0.1219418	No	
row_16	RNF19A	2011	2.9164140224456787	0.10945294	No	
row_17	MOSPD1	2087	2.822456121444702	0.10992257	No	
row_18	IGSF3	2117	2.7775089740753174	0.11296258	No	
row_19	RBM38	2150	2.73150372505188	0.115752004	No	
row_20	TOP1	2501	2.3441929817199707	0.099589	No	
row_21	TRIM10	2764	2.090747833251953	0.08805935	No	
row_22	PPOX	2797	2.0632998943328857	0.08971602	No	
row_23	DCAF10	2967	1.9192930459976196	0.08324639	No	
row_24	P4HA2	3010	1.888835072517395	0.08403195	No	
row_25	ADIPOR1	3391	1.615812063217163	0.064908154	No	
row_26	CDR2	3508	1.5353786945343018	0.06083701	No	
row_27	TRIM58	3603	1.4716482162475586	0.057923578	No	
row_28	RAP1GAP	3741	1.401431918144226	0.052417148	No	
row_29	SLC6A8	3785	1.3843774795532227	0.05229001	No	
row_30	SLC11A2	3871	1.327203392982483	0.049649518	No	
row_31	HTATIP2	3886	1.3187164068222046	0.05107956	No	
row_32	TCEA1	4055	1.22573721408844	0.043491732	No	
