NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCR4	247	13.87589168548584	0.008929634	No	
row_1	BGN	272	13.169717788696289	0.029513786	No	
row_2	GAPDH	312	12.177727699279785	0.04758028	No	
row_3	NCAN	378	10.928244590759277	0.06206667	No	
row_4	COL5A1	425	9.904864311218262	0.07593954	No	
row_5	DPYSL4	452	9.60618782043457	0.09046515	No	
row_6	LDHC	477	9.366159439086914	0.10470551	No	
row_7	SLC2A1	495	9.029475212097168	0.11878714	No	
row_8	TPD52	518	8.644281387329102	0.13193859	No	
row_9	ENO2	519	8.641350746154785	0.14635113	No	
row_10	PPFIA4	593	7.752458095550537	0.15508041	No	
row_11	TPI1	637	7.348583698272705	0.16486241	No	
row_12	TMEM45A	644	7.245819568634033	0.17660214	No	
row_13	PDK3	652	7.174134731292725	0.18816476	No	
row_14	PFKP	709	6.776394367218018	0.19624436	No	
row_15	PLAUR	830	6.023376941680908	0.19938521	No	
row_16	EFNA3	900	5.726247310638428	0.20496523	No	
row_17	PGK1	1076	4.961698055267334	0.20317043	No	
row_18	SAP30	1114	4.8326568603515625	0.20910148	No	
row_19	DDIT4	1158	4.6806840896606445	0.2144338	No	
row_20	MIF	1177	4.602726459503174	0.2210747	No	
row_21	KDELR3	1233	4.432808876037598	0.22530307	No	
row_22	P4HA1	1287	4.262070178985596	0.22936176	No	
row_23	ALDOA	1296	4.226348400115967	0.23595035	No	
row_24	IER3	1435	3.9098095893859863	0.23453029	No	
row_25	EFNA1	1467	3.8632216453552246	0.23918973	No	
row_26	SERPINE1	1528	3.7131729125976562	0.24193013	No	
row_27	STC1	1563	3.6476409435272217	0.24605738	No	
row_28	SIAH2	1644	3.504833698272705	0.24729942	No	
row_29	TGM2	2091	2.814762592315674	0.2263294	No	
row_30	LXN	2169	2.7120583057403564	0.22642183	No	
row_31	CA12	2201	2.6837375164031982	0.22911406	No	
row_32	TGFB3	2423	2.4149129390716553	0.22042456	No	
row_33	LDHA	2486	2.3531744480133057	0.2207816	No	
row_34	ENO1	2499	2.346304416656494	0.22400437	No	
row_35	EDN2	2559	2.294050693511963	0.22443542	No	
row_36	B3GALT6	2644	2.207993984222412	0.22328433	No	
row_37	GALK1	2820	2.0441887378692627	0.21662354	No	
row_38	P4HA2	3010	1.888835072517395	0.20889804	No	
row_39	KDM3A	3054	1.8622123003005981	0.20952955	No	
row_40	FAM162A	3146	1.7858670949935913	0.20727162	No	
row_41	CP	3219	1.7265267372131348	0.20600805	No	
row_42	PFKL	3282	1.6815613508224487	0.20524491	No	
row_43	HOXB9	3659	1.443305253982544	0.18601559	No	
row_44	GAA	3692	1.4278810024261475	0.18655568	No	
row_45	XPNPEP1	4033	1.2388019561767578	0.16905686	No	
row_46	CASP6	4194	1.1555837392807007	0.16177717	No	
row_47	VEGFA	4212	1.147095799446106	0.16271211	No	
row_48	MT1E	4256	1.1234309673309326	0.16211145	No	
row_49	PGM2	4356	1.0836302042007446	0.15822193	No	
row_50	ANKZF1	4378	1.0725473165512085	0.15880236	No	
row_51	HK1	4422	1.0519015789031982	0.15808238	No	
row_52	ADORA2B	4612	0.9693371653556824	0.14882328	No	
row_53	JMJD6	4707	0.936644971370697	0.14497633	No	
row_54	GPI	4752	0.913503885269165	0.14396799	No	
row_55	KIF5A	4791	0.8986413478851318	0.14328012	No	
row_56	AMPD3	4877	0.8767064213752747	0.13985111	No	
row_57	PGF	5031	0.822173535823822	0.13241814	No	
row_58	TGFBI	5171	0.7712358236312866	0.12570582	No	
row_59	HSPA5	5339	0.7208004593849182	0.11729817	No	
row_60	SULT2B1	5345	0.7192602157592773	0.11821007	No	
row_61	GPC4	5513	0.6588656306266785	0.109699115	No	
row_62	TPBG	5518	0.657142162322998	0.110564955	No	
row_63	PDK1	5804	0.5691197514533997	0.09511412	No	
row_64	ISG20	5931	0.5279162526130676	0.08874407	No	
row_65	NDRG1	5970	0.5172823071479797	0.08742014	No	
row_66	ERRFI1	6586	0.3595248758792877	0.05263021	No	
row_67	NAGK	6744	0.32381191849708557	0.04413587	No	
row_68	GAPDHS	6883	0.2950265109539032	0.036686856	No	
row_69	ZNF292	7059	0.25990137457847595	0.02705013	No	
row_70	MYH9	7065	0.2586730122566223	0.02719384	No	
row_71	SLC37A4	7070	0.25806114077568054	0.027394073	No	
row_72	CDKN1A	7225	0.22871355712413788	0.018913755	No	
row_73	HEXA	7345	0.20706547796726227	0.012411373	No	
row_74	PRDX5	7453	0.19007089734077454	0.0065711737	No	
row_75	GPC1	7484	0.18556302785873413	0.0051543457	No	
row_76	LOX	7576	0.17211920022964478	2.0491012E-4	No	
row_77	PKLR	7625	0.16360461711883545	-0.0022843338	No	
row_78	TES	7804	0.13819649815559387	-0.012296678	No	
row_79	HK2	7976	0.11426209658384323	-0.021946132	No	
row_80	PDGFB	8249	0.08370716124773026	-0.037458494	No	
row_81	PKP1	8317	0.07684094458818436	-0.041185785	No	
row_82	SLC25A1	8371	0.07229989022016525	-0.04411503	No	
row_83	ILVBL	8417	0.06796407699584961	-0.04659116	No	
row_84	SDC4	8435	0.06554852426052094	-0.04746008	No	
row_85	PLAC8	8604	0.051608819514513016	-0.0570414	No	
row_86	BHLHE40	8720	0.042640745639801025	-0.063587844	No	
row_87	ENO3	8757	0.040189482271671295	-0.0655924	No	
row_88	BCAN	8846	0.03511623293161392	-0.0705977	No	
row_89	SLC6A6	8927	0.029684357345104218	-0.07515171	No	
row_90	TNFAIP3	8948	0.028439631685614586	-0.076255165	No	
row_91	CDKN1B	9162	0.017141008749604225	-0.08848345	No	
row_92	VHL	9266	0.01309417374432087	-0.09438864	No	
row_93	FBP1	9303	0.011473829858005047	-0.09644109	No	
row_94	BTG1	9443	0.006899125874042511	-0.1044282	No	
row_95	PRKCA	9648	0.0017952360212802887	-0.11616419	No	
row_96	ATF3	10037	-9.730400051921606E-4	-0.13848965	No	
row_97	EXT1	10240	-0.005080475937575102	-0.15010507	No	
row_98	HDLBP	10303	-0.0068877381272614	-0.15366131	No	
row_99	IGFBP3	10427	-0.011382903903722763	-0.16072024	No	
row_100	GLRX	10434	-0.01155916228890419	-0.16104622	No	
row_101	IDS	10802	-0.03318328410387039	-0.18210953	No	
row_102	DTNA	10927	-0.04274354502558708	-0.1891737	No	
row_103	GRHPR	10972	-0.047051139175891876	-0.19162716	No	
row_104	SCARB1	10988	-0.04895256459712982	-0.19240868	No	
row_105	GCNT2	11049	-0.05519348755478859	-0.19576927	No	
row_106	MT2A	11168	-0.06934237480163574	-0.20244381	No	
row_107	DDIT3	11240	-0.07775496691465378	-0.20639975	No	
row_108	NFIL3	11314	-0.08600518852472305	-0.21045701	No	
row_109	CCNG2	11492	-0.10563655197620392	-0.22046612	No	
row_110	TPST2	11542	-0.11235781759023666	-0.22309838	No	
row_111	HMOX1	11614	-0.12243028730154037	-0.2269798	No	
row_112	FOSL2	11643	-0.1275414377450943	-0.22837833	No	
row_113	NDST1	11665	-0.13121213018894196	-0.22936791	No	
row_114	NDST2	11775	-0.14855757355690002	-0.23539244	No	
row_115	GYS1	11927	-0.1763674020767212	-0.24378742	No	
row_116	ATP7A	12393	-0.2723790109157562	-0.27009112	No	
row_117	PLIN2	12488	-0.2957588732242584	-0.27500695	No	
row_118	SDC3	12581	-0.3182855248451233	-0.27977017	No	
row_119	FOXO3	12625	-0.33347541093826294	-0.28168836	No	
row_120	SLC2A3	12735	-0.3582923710346222	-0.28736308	No	
row_121	CSRP2	12739	-0.3593961298465729	-0.28693628	No	
row_122	PPP1R15A	12870	-0.4036919176578522	-0.2937437	No	
row_123	ADM	13001	-0.44900619983673096	-0.30047554	No	
row_124	MAP3K1	13441	-0.6383155584335327	-0.32467276	No	
