NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APLP1	35	25.61658477783203	0.045380387	No	
row_1	CDC6	155	16.629844665527344	0.06929901	No	
row_2	CCNE1	235	14.18517780303955	0.0909969	No	
row_3	SPP1	296	12.660690307617188	0.11096782	No	
row_4	ADAM19	300	12.561537742614746	0.13403606	No	
row_5	CXCL10	344	11.425487518310547	0.15270013	No	
row_6	TNFRSF9	417	10.136688232421875	0.16731054	No	
row_7	UCK2	624	7.442867755889893	0.16922426	No	
row_8	F2RL2	809	6.132130146026611	0.16997918	No	
row_9	ST3GAL4	825	6.045342445373535	0.1803007	No	
row_10	CKAP4	829	6.025372505187988	0.19127595	No	
row_11	PRAF2	934	5.54470682144165	0.19554861	No	
row_12	NOP2	1142	4.726686000823975	0.1923794	No	
row_13	ECM1	1179	4.599475383758545	0.19881713	No	
row_14	P4HA1	1287	4.262070178985596	0.20054403	No	
row_15	PUS1	1348	4.116598606109619	0.20470698	No	
row_16	MUC1	1481	3.8315672874450684	0.20419845	No	
row_17	LCLAT1	1609	3.5701982975006104	0.20349413	No	
row_18	PTRH2	1673	3.4610471725463867	0.20627153	No	
row_19	ICOS	1684	3.4447786808013916	0.21206936	No	
row_20	UMPS	1931	3.0253026485443115	0.20350757	No	
row_21	AHCY	1959	2.9842960834503174	0.20747496	No	
row_22	CDCP1	1982	2.956566095352173	0.21167885	No	
row_23	ETV4	2056	2.853947401046753	0.21275744	No	
row_24	TGM2	2091	2.814762592315674	0.21600826	No	
row_25	CASP3	2099	2.8048055171966553	0.22079471	No	
row_26	CCR4	2106	2.788956642150879	0.22560939	No	
row_27	LIF	2108	2.787677049636841	0.2307095	No	
row_28	NCS1	2235	2.6437289714813232	0.22834861	No	
row_29	PDCD2L	2278	2.5874695777893066	0.23071845	No	
row_30	DCPS	2399	2.4401097297668457	0.22832619	No	
row_31	S100A1	2614	2.2384824752807617	0.22015049	No	
row_32	HOPX	2625	2.232103109359741	0.22370467	No	
row_33	RGS16	2869	1.9985816478729248	0.21341597	No	
row_34	PHTF2	2914	1.9578338861465454	0.21450575	No	
row_35	PNP	2957	1.9251631498336792	0.21565022	No	
row_36	CAPG	3055	1.8621330261230469	0.2135124	No	
row_37	IGF1R	3376	1.624999761581421	0.1981006	No	
row_38	AMACR	3859	1.3345839977264404	0.1728272	No	
row_39	SYNGR2	4262	1.120476484298706	0.15176225	No	
row_40	PHLDA1	4308	1.1024130582809448	0.15121181	No	
row_41	MAPKAPK2	4321	1.098763108253479	0.15255402	No	
row_42	LTB	4540	0.9979955554008484	0.14185299	No	
row_43	SLC29A2	4555	0.9922909736633301	0.14288308	No	
row_44	TIAM1	4731	0.9220630526542664	0.13451654	No	
row_45	SELL	4964	0.847771942615509	0.12273176	No	
row_46	HUWE1	5120	0.7891030311584473	0.115270354	No	
row_47	MYO1E	5158	0.7776179909706116	0.114579454	No	
row_48	PLEC	5329	0.7226449251174927	0.10613173	No	
row_49	CST7	5404	0.6961202025413513	0.10316043	No	
row_50	IFITM3	5448	0.6786901354789734	0.10194115	No	
row_51	BCL2L1	5575	0.6391025185585022	0.09587138	No	
row_52	CTSZ	5734	0.5889795422554016	0.087867044	No	
row_53	BATF	5839	0.5561755895614624	0.082910106	No	
row_54	EOMES	5849	0.5529215931892395	0.08341508	No	
row_55	NDRG1	5970	0.5172823071479797	0.07746527	No	
row_56	P2RX4	6118	0.47641780972480774	0.069885805	No	
row_57	XBP1	6197	0.4572455883026123	0.066242315	No	
row_58	TNFRSF4	6230	0.44809722900390625	0.065229535	No	
row_59	IL1R2	6331	0.42298635840415955	0.060256403	No	
row_60	IKZF2	6349	0.42017805576324463	0.060055327	No	
row_61	CSF2	6365	0.41630056500434875	0.059962194	No	
row_62	CTLA4	6433	0.3983699679374695	0.056842905	No	
row_63	GSTO1	6452	0.3936459720134735	0.056535184	No	
row_64	ENPP1	6687	0.3344798684120178	0.043685626	No	
row_65	COL6A1	6700	0.33205267786979675	0.04360929	No	
row_66	IRF6	6762	0.31969255208969116	0.04068978	No	
row_67	NCOA3	6862	0.3007434904575348	0.035548035	No	
row_68	ITGAV	7001	0.2710040807723999	0.028106535	No	
row_69	MXD1	7044	0.2620805501937866	0.026174022	No	
row_70	CD86	7139	0.24631129205226898	0.021219354	No	
row_71	SERPINC1	7250	0.22370892763137817	0.015301953	No	
row_72	SLC39A8	7302	0.21514952182769775	0.0127645945	No	
row_73	IL2RB	7438	0.19248345494270325	0.0053504887	No	
row_74	CISH	7474	0.1862146109342575	0.0036805118	No	
row_75	CD48	7479	0.18598441779613495	0.0037943847	No	
row_76	FURIN	7748	0.14768821001052856	-0.011357716	No	
row_77	PLSCR1	7915	0.1222911849617958	-0.020685965	No	
row_78	HK2	7976	0.11426209658384323	-0.023927998	No	
row_79	TTC39B	8159	0.09254824370145798	-0.03423219	No	
row_80	TRAF1	8175	0.09067180752754211	-0.034927793	No	
row_81	CD83	8611	0.051081400364637375	-0.059870698	No	
row_82	BHLHE40	8720	0.042640745639801025	-0.06600799	No	
row_83	ENO3	8757	0.040189482271671295	-0.068005696	No	
row_84	SNX14	9068	0.02188214473426342	-0.085807964	No	
row_85	CD44	9185	0.01633583754301071	-0.09245438	No	
row_86	CA2	9573	0.003302206052467227	-0.11472294	No	
row_87	ITGAE	9719	9.025820181705058E-4	-0.123067066	No	
row_88	IL10	9834	6.297040090430528E-5	-0.12962848	No	
row_89	TWSG1	9919	-6.925899651832879E-5	-0.13446316	No	
row_90	BATF3	10116	-0.0022216159850358963	-0.14574029	No	
row_91	ALCAM	10383	-0.009695585817098618	-0.16103257	No	
row_92	ANXA4	10630	-0.021047910675406456	-0.17515272	No	
row_93	GPR65	10705	-0.0261596217751503	-0.17936356	No	
row_94	ODC1	10866	-0.038020823150873184	-0.18850237	No	
row_95	SLC1A5	10881	-0.03912731260061264	-0.18923579	No	
row_96	CCND3	10930	-0.04326812922954559	-0.19191848	No	
row_97	SPRED2	11028	-0.053023044019937515	-0.19740343	No	
row_98	IL4R	11154	-0.0668523758649826	-0.2044744	No	
row_99	SOCS1	11292	-0.08313543349504471	-0.21220595	No	
row_100	NFIL3	11314	-0.08600518852472305	-0.21325552	No	
row_101	SPRY4	11390	-0.09516414254903793	-0.21739624	No	
row_102	CYFIP1	11471	-0.1032174751162529	-0.22180986	No	
row_103	LRIG1	11544	-0.1124546229839325	-0.22574592	No	
row_104	IL18R1	11551	-0.11350466310977936	-0.22588126	No	
row_105	MYC	11616	-0.12288565188646317	-0.22933757	No	
row_106	AGER	11660	-0.12979663908481598	-0.23157239	No	
row_107	IGF2R	11731	-0.14225618541240692	-0.2353382	No	
row_108	GLIPR2	11746	-0.1441947966814041	-0.23587722	No	
row_109	RNH1	12090	-0.20436124503612518	-0.25524125	No	
row_110	TNFRSF21	12123	-0.21183188259601593	-0.25669116	No	
row_111	PLIN2	12488	-0.2957588732242584	-0.2770948	No	
row_112	MAP6	12583	-0.31875163316726685	-0.28191546	No	
row_113	SLC2A3	12735	-0.3582923710346222	-0.2899437	No	
row_114	SYT11	13267	-0.5605050325393677	-0.31946957	No	
row_115	GATA1	13336	-0.5917306542396545	-0.3222887	No	
row_116	CDC42SE2	13343	-0.5954365134239197	-0.32153237	No	
row_117	RHOB	13543	-0.6907771825790405	-0.33170822	No	
row_118	FAM126B	13587	-0.7209639549255371	-0.33284926	No	
row_119	KLF6	13599	-0.7260286211967468	-0.33213913	No	
row_120	PRNP	13662	-0.7552558779716492	-0.33431032	No	
row_121	SERPINB6	13696	-0.7740393877029419	-0.33477762	No	
row_122	SNX9	13711	-0.7818877696990967	-0.3341368	No	
row_123	IRF8	13752	-0.7972434759140015	-0.33496407	No	
row_124	GADD45B	13811	-0.8217390179634094	-0.33678204	No	
row_125	ITGA6	13825	-0.8270447850227356	-0.3360001	No	
row_126	AHR	13866	-0.8514166474342346	-0.33672714	No	
row_127	MAFF	13870	-0.8529039025306702	-0.3353218	No	
row_128	BMP2	13963	-0.8948121070861816	-0.3389615	No	
row_129	PIM1	14096	-0.9878888726234436	-0.34473133	No	
row_130	IRF4	14372	-1.1884675025939941	-0.3583607	No	
row_131	FLT3LG	14398	-1.204065203666687	-0.35757193	No	
row_132	BMPR2	14473	-1.255626916885376	-0.35950804	No	
row_133	IL2RA	14576	-1.3481427431106567	-0.3628846	No	
row_134	ARL4A	14791	-1.547399640083313	-0.37233892	Yes	
row_135	TLR7	14809	-1.5613842010498047	-0.37042856	Yes	
row_136	IL1RL1	14863	-1.6179876327514648	-0.37048557	Yes	
row_137	IL10RA	14879	-1.6326547861099243	-0.36832824	Yes	
row_138	BCL2	14901	-1.6558283567428589	-0.36647338	Yes	
row_139	RABGAP1L	14922	-1.6804546117782593	-0.36451542	Yes	
row_140	SWAP70	14968	-1.7335487604141235	-0.36389816	Yes	
row_141	PLAGL1	15090	-1.8865370750427246	-0.36737218	Yes	
row_142	IKZF4	15112	-1.9119079113006592	-0.36504352	Yes	
row_143	RORA	15171	-1.9968550205230713	-0.36468735	Yes	
row_144	GALM	15172	-1.9979255199432373	-0.36099085	Yes	
row_145	IL13	15285	-2.1748766899108887	-0.3634134	Yes	
row_146	CD79B	15288	-2.1809802055358887	-0.35949335	Yes	
row_147	CD81	15302	-2.2013211250305176	-0.35616878	Yes	
row_148	DENND5A	15313	-2.220189332962036	-0.35263664	Yes	
row_149	WLS	15335	-2.2533648014068604	-0.34967622	Yes	
row_150	NRP1	15398	-2.376061201095581	-0.34884867	Yes	
row_151	PTGER2	15429	-2.416848659515381	-0.34610385	Yes	
row_152	IFNGR1	15464	-2.491901159286499	-0.34345037	Yes	
row_153	CAPN3	15576	-2.683253049850464	-0.34487474	Yes	
row_154	NT5E	15648	-2.806971549987793	-0.34376797	Yes	
row_155	HIPK2	15694	-2.910513162612915	-0.3409731	Yes	
row_156	CCND2	15764	-3.067862033843994	-0.3392685	Yes	
row_157	GBP4	15771	-3.088960886001587	-0.33389878	Yes	
row_158	MAP3K8	15820	-3.2150211334228516	-0.3307132	Yes	
row_159	RRAGD	15932	-3.488595724105835	-0.3306476	Yes	
row_160	PRKCH	15934	-3.4950828552246094	-0.32423866	Yes	
row_161	MYO1C	15975	-3.6172988414764404	-0.31984836	Yes	
row_162	IL3RA	16295	-4.7878241539001465	-0.32935086	Yes	
row_163	TNFRSF1B	16298	-4.794919013977051	-0.3205946	Yes	
row_164	PTCH1	16308	-4.829885482788086	-0.31217653	Yes	
row_165	AHNAK	16322	-4.874269485473633	-0.30390656	Yes	
row_166	GPX4	16347	-4.968943119049072	-0.2960946	Yes	
row_167	EMP1	16390	-5.213000774383545	-0.2888671	Yes	
row_168	SMPDL3A	16396	-5.236538887023926	-0.27946642	Yes	
row_169	NFKBIZ	16401	-5.2526397705078125	-0.2699784	Yes	
row_170	ABCB1	16489	-5.691788196563721	-0.26445514	Yes	
row_171	DHRS3	16494	-5.7320332527160645	-0.25408018	Yes	
row_172	FAH	16496	-5.742917537689209	-0.24351238	Yes	
row_173	SH3BGRL2	16530	-5.900404453277588	-0.23449506	Yes	
row_174	LRRC8C	16560	-6.085937976837158	-0.22490422	Yes	
row_175	SELP	16635	-6.61663818359375	-0.2169216	Yes	
row_176	GABARAPL1	16638	-6.636630535125732	-0.20475785	Yes	
row_177	SOCS2	16681	-6.92723274230957	-0.19435874	Yes	
row_178	CSF1	16781	-7.7141265869140625	-0.1857845	Yes	
row_179	FGL2	16804	-7.807361602783203	-0.17260587	Yes	
row_180	PENK	16866	-8.385673522949219	-0.16060199	Yes	
row_181	TNFRSF8	17131	-12.58181381225586	-0.15251869	Yes	
row_182	CDKN1C	17138	-12.678206443786621	-0.12940727	Yes	
row_183	SHE	17167	-13.257637977600098	-0.10649006	Yes	
row_184	SCN9A	17254	-15.552656173706055	-0.08266502	Yes	
row_185	PTH1R	17303	-17.39426612854004	-0.05324552	Yes	
row_186	ITIH5	17507	-36.74272918701172	0.0030504367	Yes	
