NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCL10	344	11.425487518310547	0.023050578	No	
row_1	CXCL11	434	9.800366401672363	0.05461416	No	
row_2	CXCL9	606	7.631414413452148	0.073373064	No	
row_3	IL9R	993	5.279719829559326	0.07103335	No	
row_4	CXCL13	1160	4.670258045196533	0.07900276	No	
row_5	TNFRSF12A	1363	4.0864362716674805	0.082728535	No	
row_6	BAK1	1383	4.044461727142334	0.09676882	No	
row_7	INHBE	1472	3.8527653217315674	0.106143825	No	
row_8	HAX1	2109	2.7852907180786133	0.08016887	No	
row_9	ITGA4	2333	2.5252676010131836	0.07685377	No	
row_10	CD9	2345	2.5065481662750244	0.085599564	No	
row_11	LTBR	2801	2.0615551471710205	0.06727469	No	
row_12	PTPN1	3084	1.8354105949401855	0.058003254	No	
row_13	REG1A	3974	1.2686243057250977	0.01187852	No	
row_14	DNTT	4107	1.1997929811477661	0.008812886	No	
row_15	LTB	4540	0.9979955554008484	-0.01217393	No	
row_16	GRB2	4798	0.8973151445388794	-0.023523588	No	
row_17	MYD88	4936	0.856049120426178	-0.028161032	No	
row_18	IL2RG	5013	0.8268417716026306	-0.029417219	No	
row_19	TGFB1	5020	0.8243263959884644	-0.026677322	No	
row_20	STAT1	5400	0.6976989507675171	-0.045754604	No	
row_21	PTPN2	6131	0.47219181060791016	-0.08576004	No	
row_22	IRF9	6224	0.4495410919189453	-0.08934299	No	
row_23	IL1R2	6331	0.42298635840415955	-0.09382635	No	
row_24	CSF2	6365	0.41630056500434875	-0.09415757	No	
row_25	STAT3	6401	0.40633702278137207	-0.09464049	No	
row_26	ACVR1B	6693	0.33368757367134094	-0.11004381	No	
row_27	IL17RB	7564	0.17366372048854828	-0.15917681	No	
row_28	TYK2	7725	0.15040121972560883	-0.16776969	No	
row_29	CD38	8726	0.04217333719134331	-0.22483328	No	
row_30	IRF1	8907	0.030876420438289642	-0.23501763	No	
row_31	CD44	9185	0.01633583754301071	-0.25080684	No	
row_32	CCR1	9192	0.01605096086859703	-0.25109014	No	
row_33	IL13RA1	10161	-0.0032425159588456154	-0.30646825	No	
row_34	IL1B	10523	-0.015108869411051273	-0.32706863	No	
row_35	IL12RB1	10676	-0.02389652654528618	-0.3356769	No	
row_36	FAS	10717	-0.027279552072286606	-0.3378637	No	
row_37	IFNGR2	10977	-0.04767519608139992	-0.3525057	No	
row_38	IL4R	11154	-0.0668523758649826	-0.36232662	No	
row_39	SOCS1	11292	-0.08313543349504471	-0.36985502	No	
row_40	OSMR	11339	-0.08877550065517426	-0.37215513	No	
row_41	IL18R1	11551	-0.11350466310977936	-0.3838043	No	
row_42	TNF	11580	-0.11742576956748962	-0.3849673	No	
row_43	HMOX1	11614	-0.12243028730154037	-0.38639766	No	
row_44	STAT2	11856	-0.16221009194850922	-0.39958128	No	
row_45	TLR2	12009	-0.19046060740947723	-0.40756655	No	
row_46	CXCL1	12029	-0.1942906379699707	-0.40792707	No	
row_47	CSF3R	12053	-0.19824343919754028	-0.40850165	No	
row_48	TNFRSF21	12123	-0.21183188259601593	-0.41165763	No	
row_49	PTPN11	12232	-0.23466089367866516	-0.41695982	No	
row_50	EBI3	12308	-0.253489226102829	-0.4203033	No	
row_51	PDGFC	12562	-0.31371843814849854	-0.4336069	No	
row_52	IL10RB	12672	-0.3447622060775757	-0.4385545	No	
row_53	TNFRSF1A	13523	-0.678737223148346	-0.48465395	No	
row_54	PIK3R5	13575	-0.7129331827163696	-0.48490566	No	
row_55	STAM2	13583	-0.7187895178794861	-0.48261774	No	
row_56	PIM1	14096	-0.9878888726234436	-0.5082201	No	
row_57	CRLF2	14299	-1.1316728591918945	-0.51554596	No	
row_58	JUN	14556	-1.3310952186584473	-0.5252159	No	
row_59	IL2RA	14576	-1.3481427431106567	-0.5212607	No	
row_60	IL7	14716	-1.4675631523132324	-0.52372533	No	
row_61	IL17RA	14970	-1.7378712892532349	-0.53170216	Yes	
row_62	ITGB3	15038	-1.8273037672042847	-0.52870136	Yes	
row_63	CSF2RB	15222	-2.08184814453125	-0.53138614	Yes	
row_64	IFNAR1	15279	-2.170165777206421	-0.52647346	Yes	
row_65	CBL	15298	-2.196204900741577	-0.51928896	Yes	
row_66	IFNGR1	15464	-2.491901159286499	-0.5194101	Yes	
row_67	IL6ST	15562	-2.6664061546325684	-0.51498735	Yes	
row_68	MAP3K8	15820	-3.2150211334228516	-0.5176681	Yes	
row_69	CSF2RA	15869	-3.3236706256866455	-0.5079832	Yes	
row_70	SOCS3	15976	-3.6340839862823486	-0.50045615	Yes	
row_71	CXCL3	16103	-4.064298152923584	-0.49246433	Yes	
row_72	IL15RA	16105	-4.068466663360596	-0.47730428	Yes	
row_73	IL1R1	16167	-4.291503429412842	-0.4647433	Yes	
row_74	CD14	16202	-4.439173221588135	-0.45008498	Yes	
row_75	IL3RA	16295	-4.7878241539001465	-0.43744147	Yes	
row_76	TNFRSF1B	16298	-4.794919013977051	-0.4196215	Yes	
row_77	ACVRL1	16478	-5.657442569732666	-0.4087036	Yes	
row_78	IL6	16526	-5.881715297698975	-0.38939363	Yes	
row_79	PF4	16527	-5.887768268585205	-0.36737165	Yes	
row_80	PLA2G2A	16641	-6.657148838043213	-0.34893793	Yes	
row_81	CSF1	16781	-7.7141265869140625	-0.32803857	Yes	
row_82	LEPR	17430	-26.617252349853516	-0.26556158	Yes	
row_83	CNTFR	17487	-32.8126106262207	-0.14603706	Yes	
row_84	CD36	17521	-40.1457405090332	0.0022316219	Yes	
