NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCL10	344	11.425487518310547	0.06117365	Yes	
row_1	CXCL11	434	9.800366401672363	0.12544186	Yes	
row_2	RIPK2	655	7.154580593109131	0.16348581	Yes	
row_3	ISG15	994	5.279180526733398	0.18150206	Yes	
row_4	LAMP3	1064	5.030880928039551	0.21315879	Yes	
row_5	LY6E	1216	4.46232795715332	0.23609778	Yes	
row_6	ADAR	1217	4.462244033813477	0.26767957	Yes	
row_7	BST2	1726	3.358643054962158	0.26237214	Yes	
row_8	IFI30	2061	2.8461596965789795	0.2633975	Yes	
row_9	IRF7	2180	2.702791690826416	0.27577224	Yes	
row_10	OGFR	2447	2.3819618225097656	0.2774046	Yes	
row_11	EIF2AK2	2697	2.1623799800872803	0.27845597	Yes	
row_12	TAP1	3230	1.7144081592559814	0.2601376	Yes	
row_13	PNPT1	3278	1.6846859455108643	0.26937073	Yes	
row_14	RTP4	3466	1.5631933212280273	0.26973027	Yes	
row_15	OASL	3563	1.5032706260681152	0.2748746	Yes	
row_16	USP18	3627	1.457635760307312	0.28158492	Yes	
row_17	TRIM14	4293	1.1086115837097168	0.25136593	No	
row_18	PARP9	4524	1.0020551681518555	0.24529262	No	
row_19	IFIH1	4641	0.9568703770637512	0.24542497	No	
row_20	CD47	4729	0.9236552715301514	0.24698223	No	
row_21	SELL	4964	0.847771942615509	0.23958799	No	
row_22	TRIM26	5027	0.8227044343948364	0.24186179	No	
row_23	PSMA3	5189	0.765804648399353	0.23806602	No	
row_24	MOV10	5351	0.7175360918045044	0.23392862	No	
row_25	IFITM3	5448	0.6786901354789734	0.23323695	No	
row_26	TRAFD1	5673	0.6072481870651245	0.2247128	No	
row_27	UBE2L6	5740	0.588047444820404	0.22509684	No	
row_28	PARP12	5823	0.5600981116294861	0.22436722	No	
row_29	MX1	5910	0.5343820452690125	0.2232266	No	
row_30	PSME2	5915	0.5322315096855164	0.22676454	No	
row_31	ISG20	5931	0.5279162526130676	0.22964229	No	
row_32	IFITM1	6098	0.48092398047447205	0.22354405	No	
row_33	LGALS3BP	6160	0.46695342659950256	0.22335723	No	
row_34	IRF9	6224	0.4495410919189453	0.22293271	No	
row_35	OAS1	6236	0.4473779499530792	0.2254694	No	
row_36	SAMD9	6513	0.37510204315185547	0.21232569	No	
row_37	NCOA7	6514	0.3749334514141083	0.2149793	No	
row_38	HERC6	6580	0.36037948727607727	0.21380925	No	
row_39	IFI44	6645	0.342937171459198	0.21257299	No	
row_40	EPSTI1	6653	0.3413592576980591	0.21458828	No	
