NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNNI3	10	34.103675842285156	0.07688156	Yes	
row_1	TLX1	24	28.31959342956543	0.14045393	Yes	
row_2	CLPS	244	13.94202995300293	0.15953499	Yes	
row_3	HTR1D	314	12.133112907409668	0.18312685	Yes	
row_4	GDNF	449	9.621252059936523	0.1972788	Yes	
row_5	COL2A1	468	9.44685173034668	0.21770015	Yes	
row_6	CD80	504	8.879474639892578	0.23585604	Yes	
row_7	IL12B	629	7.376802921295166	0.24548501	Yes	
row_8	KCNN1	648	7.199420928955078	0.260802	Yes	
row_9	CALCB	762	6.445775032043457	0.2689485	Yes	
row_10	ALOX12B	1009	5.220819473266602	0.2666705	Yes	
row_11	CKM	1188	4.550857067108154	0.2667783	Yes	
row_12	WNT16	1191	4.535159587860107	0.2769636	Yes	
row_13	CCR8	1280	4.293862342834473	0.28165922	Yes	
row_14	RIBC2	1369	4.082064151763916	0.28587377	Yes	
row_15	PDE6B	1459	3.879512071609497	0.28957087	Yes	
row_16	NPHS1	1716	3.383080005645752	0.28254437	Yes	
row_17	MAGIX	1780	3.2598042488098145	0.286328	Yes	
row_18	HSD11B2	1849	3.14501690864563	0.28956357	Yes	
row_19	NR6A1	1933	3.0231192111968994	0.29166037	Yes	
row_20	SERPINA10	1943	3.0093884468078613	0.29797813	Yes	
row_21	ENTPD7	2123	2.7737009525299072	0.29399216	Yes	
row_22	DTNB	2156	2.724047899246216	0.29834026	Yes	
row_23	TCL1A	2191	2.691599130630493	0.3024997	Yes	
row_24	BMPR1B	2338	2.5206472873687744	0.29983523	Yes	
row_25	CACNA1F	2341	2.5129621028900146	0.30542776	Yes	
row_26	KLK8	2455	2.3746237754821777	0.30432788	Yes	
row_27	EDN2	2559	2.294050693511963	0.3036196	Yes	
row_28	CLSTN3	2588	2.2650537490844727	0.30715504	Yes	
row_29	KCNQ2	2590	2.264159917831421	0.31223994	Yes	
row_30	LYPD3	2673	2.177255630493164	0.3124731	Yes	
row_31	SLC29A3	2729	2.131164312362671	0.31415302	Yes	
row_32	ITGB1BP2	2758	2.0957958698272705	0.31730404	Yes	
row_33	GPR3	2798	2.06315541267395	0.31974888	Yes	
row_34	PDCD1	2855	2.0124847888946533	0.3211018	Yes	
row_35	SNCB	2979	1.9128694534301758	0.31837857	No	
row_36	SOX10	3083	1.8370925188064575	0.31663245	No	
row_37	CHRNG	3571	1.4969377517700195	0.2920486	No	
row_38	SLC6A3	4016	1.250163197517395	0.26937512	No	
row_39	SKIL	4081	1.2141456604003906	0.26845515	No	
row_40	HNF1A	4309	1.102317214012146	0.25791502	No	
row_41	SLC30A3	4457	1.0361037254333496	0.2518214	No	
row_42	PROP1	4532	1.0008348226547241	0.24984235	No	
row_43	SLC6A14	4611	0.9694275856018066	0.24756211	No	
row_44	SMPX	4645	0.9556054472923279	0.24783626	No	
row_45	KLK7	4728	0.9238677024841309	0.24522272	No	
row_46	CCDC106	4765	0.907820999622345	0.24521595	No	
row_47	SERPINB2	4961	0.8490667939186096	0.23593938	No	
row_48	GTF3C5	5090	0.802601158618927	0.2304072	No	
row_49	CDKAL1	5324	0.7250185608863831	0.21866535	No	
row_50	CAPN9	5402	0.696980893611908	0.21582381	No	
row_51	CLDN16	5470	0.6699612140655518	0.21349551	No	
row_52	CAMK1D	5630	0.6174687743186951	0.20576155	No	
row_53	CELSR2	5711	0.5936098098754883	0.20251285	No	
row_54	IGFBP2	5713	0.5934592485427856	0.20380324	No	
row_55	KCNE2	5721	0.5921164155006409	0.20474583	No	
row_56	FGFR3	5754	0.5852034687995911	0.20423618	No	
row_57	CDH16	5828	0.5589858293533325	0.20131107	No	
row_58	MX1	5910	0.5343820452690125	0.19787039	No	
row_59	BARD1	5992	0.511644184589386	0.19437806	No	
row_60	ATP4A	6115	0.47772082686424255	0.18845277	No	
row_61	SPTBN2	6404	0.40456724166870117	0.17282276	No	
row_62	ASB7	6680	0.3363167643547058	0.15778472	No	
row_63	EFHD1	6742	0.32420122623443604	0.1550159	No	
row_64	TG	6790	0.31370875239372253	0.15302771	No	
row_65	PTPRJ	7089	0.2541990578174591	0.13648157	No	
row_66	MFSD6	7092	0.2535276710987091	0.13694245	No	
row_67	GP1BA	7467	0.1877046376466751	0.11587822	No	
row_68	NUDT11	7623	0.16406035423278809	0.10734432	No	
row_69	SPHK2	7636	0.1617284119129181	0.10702211	No	
row_70	GP2	7704	0.15303832292556763	0.103519775	No	
row_71	KRT4	7784	0.14211706817150116	0.099303104	No	
row_72	IFNG	7793	0.14072374999523163	0.09916302	No	
row_73	NR4A2	8302	0.07803796231746674	0.07014989	No	
row_74	PKP1	8317	0.07684094458818436	0.06951995	No	
row_75	ARPP21	8459	0.0627874955534935	0.061560504	No	
row_76	TFCP2L1	8483	0.061106402426958084	0.060377676	No	
row_77	SIDT1	8503	0.059316251426935196	0.05942063	No	
row_78	EDAR	8617	0.05077643319964409	0.05304282	No	
row_79	SLC5A5	8646	0.048019587993621826	0.051542964	No	
row_80	MSH5	8654	0.0472303107380867	0.051248003	No	
row_81	TAS2R4	8858	0.034394338726997375	0.039661463	No	
row_82	CD207	8934	0.02920740284025669	0.035418198	No	
row_83	LGALS7	9082	0.02133910171687603	0.027019843	No	
row_84	GPRC5C	9225	0.015024512074887753	0.018894454	No	
row_85	KCND1	9870	8.469530143884185E-7	-0.018110659	No	
row_86	PCDHB1	9925	-9.868219785857946E-5	-0.021213347	No	
row_87	INSL5	9964	-3.269219887442887E-4	-0.023396136	No	
row_88	YBX2	10159	-0.0032256629783660173	-0.034536313	No	
row_89	GAMT	10260	-0.005673814099282026	-0.040269565	No	
row_90	ABCG4	10353	-0.00873722042888403	-0.045536164	No	
row_91	SCN10A	10484	-0.013525385409593582	-0.052975424	No	
row_92	RSAD2	10561	-0.016594618558883667	-0.057304796	No	
row_93	TCF7L1	10815	-0.03407077491283417	-0.07176514	No	
row_94	RGS11	11092	-0.059466369450092316	-0.08748941	No	
row_95	TGFB2	11111	-0.06176768243312836	-0.08838343	No	
row_96	CPA2	11210	-0.0750502422451973	-0.09384419	No	
row_97	NOS1	11254	-0.07939209789037704	-0.096134715	No	
row_98	MAST3	11555	-0.11391846090555191	-0.113114394	No	
row_99	IL5	11808	-0.15560774505138397	-0.12724124	No	
row_100	FGGY	11860	-0.16284644603729248	-0.12980191	No	
row_101	P2RY4	11907	-0.17281927168369293	-0.13205263	No	
row_102	IFI44L	11975	-0.18357552587985992	-0.1354856	No	
row_103	NTF3	12216	-0.23078352212905884	-0.14875217	No	
row_104	PLAG1	12241	-0.2377193719148636	-0.14959134	No	
row_105	BTG2	12299	-0.2523845434188843	-0.15229341	No	
row_106	BRDT	12466	-0.2902531921863556	-0.16117278	No	
row_107	STAG3	12497	-0.29814544320106506	-0.16221948	No	
row_108	KRT1	12515	-0.3032803237438202	-0.1625075	No	
row_109	YPEL1	12585	-0.3195202946662903	-0.16574664	No	
row_110	ATP6V1B1	12596	-0.3226880431175232	-0.16558838	No	
row_111	MYO15A	12660	-0.3409942388534546	-0.16843398	No	
row_112	EGF	12667	-0.34356582164764404	-0.16799843	No	
row_113	IDUA	12694	-0.34944605827331543	-0.16869877	No	
row_114	SHOX2	12776	-0.3712194859981537	-0.17251003	No	
row_115	HTR1B	12939	-0.4280741214752197	-0.18084653	No	
row_116	TFAP2B	13010	-0.451529324054718	-0.18384331	No	
row_117	ADRA2C	13067	-0.47337523102760315	-0.18598603	No	
row_118	UPK3B	13111	-0.48857924342155457	-0.1873472	No	
row_119	THNSL2	13289	-0.5715893507003784	-0.19621967	No	
row_120	GRID2	13297	-0.5752069354057312	-0.1953155	No	
row_121	MTHFR	13411	-0.6266507506370544	-0.20038538	No	
row_122	DLK2	13689	-0.7669895887374878	-0.21456018	No	
row_123	EDN1	13831	-0.8311187028884888	-0.2207746	No	
row_124	CLDN8	14094	-0.9868711233139038	-0.2335881	No	
row_125	CHST2	14161	-1.0378729104995728	-0.23502333	No	
row_126	KRT15	14188	-1.0585578680038452	-0.23411314	No	
row_127	LFNG	14189	-1.0592505931854248	-0.23170738	No	
row_128	SGK1	14414	-1.2177858352661133	-0.24181288	No	
row_129	CD40LG	14713	-1.4643558263778687	-0.25561053	No	
row_130	SLC25A23	14776	-1.5288375616073608	-0.25570086	No	
