NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TPX2	31	26.787067413330078	0.033900235	Yes	
row_1	ANLN	36	25.277591705322266	0.067343995	Yes	
row_2	TTK	45	24.425987243652344	0.09942299	Yes	
row_3	PLK1	49	24.151168823242188	0.13142374	Yes	
row_4	BUB1	50	23.879924774169922	0.16323584	Yes	
row_5	NEK2	59	22.392528533935547	0.19260593	Yes	
row_6	CCNB2	64	21.73298454284668	0.22132768	Yes	
row_7	DLGAP5	71	21.018905639648438	0.248983	Yes	
row_8	KIF4A	76	20.631851196289062	0.27623785	Yes	
row_9	KIF23	93	19.78567123413086	0.3016746	Yes	
row_10	TOP2A	101	19.42104721069336	0.32714373	Yes	
row_11	NDC80	108	18.87160301208496	0.3519385	Yes	
row_12	NUSAP1	115	18.08452796936035	0.37568474	Yes	
row_13	KIF2C	120	17.82392120361328	0.39919892	Yes	
row_14	CDK1	128	17.420387268066406	0.42200285	Yes	
row_15	AURKA	139	17.12546157836914	0.44424117	Yes	
row_16	CENPE	158	16.54002571105957	0.46523902	Yes	
row_17	KIF11	169	16.031158447265625	0.48601955	Yes	
row_18	CENPF	170	15.965024948120117	0.5072877	Yes	
row_19	ESPL1	171	15.9644775390625	0.52855504	Yes	
row_20	PRC1	187	15.499943733215332	0.5483401	Yes	
row_21	KIF15	261	13.40936279296875	0.56200093	Yes	
row_22	LMNB1	360	11.245689392089844	0.5713402	Yes	
row_23	RACGAP1	423	9.910285949707031	0.580973	Yes	
row_24	SMC4	459	9.521773338317871	0.5916427	Yes	
row_25	PIF1	502	8.892494201660156	0.601071	Yes	
row_26	SHROOM2	503	8.889583587646484	0.6129134	Yes	
row_27	BRCA2	521	8.579916000366211	0.6233647	Yes	
row_28	BIRC5	556	8.186080932617188	0.63231254	Yes	
row_29	KIF22	571	7.9943461418151855	0.64215636	Yes	
row_30	ECT2	601	7.676798343658447	0.6507136	Yes	
