NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLK1	49	24.151168823242188	0.04396036	Yes	
row_1	BUB1	50	23.879924774169922	0.09021547	Yes	
row_2	AURKA	139	17.12546157836914	0.11832252	Yes	
row_3	RRM2	166	16.208253860473633	0.1482213	Yes	
row_4	CXCR4	247	13.87589168548584	0.1704944	Yes	
row_5	TRIB3	250	13.751884460449219	0.19701652	Yes	
row_6	MCM2	265	13.297361373901367	0.22196758	Yes	
row_7	SLC7A5	274	13.131551742553711	0.24694279	Yes	
row_8	CDC25A	278	13.017487525939941	0.27198485	Yes	
row_9	SLC7A11	302	12.488127708435059	0.29485044	Yes	
row_10	GAPDH	312	12.177727699279785	0.31792057	Yes	
row_11	ASNS	313	12.148795127868652	0.34145263	Yes	
row_12	MCM4	336	11.676251411437988	0.3628032	Yes	
row_13	SLC2A1	495	9.029475212097168	0.37119964	Yes	
row_14	HPRT1	539	8.380593299865723	0.3849579	Yes	
row_15	TPI1	637	7.348583698272705	0.3936093	Yes	
row_16	TUBA4A	749	6.512643337249756	0.3998357	Yes	
row_17	MTHFD2	791	6.202699184417725	0.40949056	Yes	
row_18	SHMT2	817	6.089620590209961	0.41984722	Yes	
row_19	GMPS	871	5.846182346343994	0.42812082	Yes	
row_20	TMEM97	1027	5.163967609405518	0.4292025	Yes	
row_21	PGK1	1076	4.961698055267334	0.43605065	Yes	
row_22	TOMM40	1095	4.905184745788574	0.44451597	Yes	
row_23	SDF2L1	1113	4.836362361907959	0.45290554	Yes	
row_24	DDIT4	1158	4.6806840896606445	0.45943958	Yes	
row_25	SQLE	1203	4.485891342163086	0.46559632	Yes	
row_26	P4HA1	1287	4.262070178985596	0.4690749	Yes	
row_27	ALDOA	1296	4.226348400115967	0.47680086	Yes	
row_28	STIP1	1313	4.1879353523254395	0.48399198	Yes	
row_29	CCT6A	1362	4.08743143081665	0.48914668	Yes	
row_30	NUP205	1388	4.029486179351807	0.4955129	Yes	
row_31	PSPH	1411	3.9671287536621094	0.501931	Yes	
row_32	STC1	1563	3.6476409435272217	0.5003058	Yes	
row_33	TFRC	1591	3.6043856143951416	0.5057335	Yes	
row_34	PPIA	1604	3.5832042694091797	0.51198345	Yes	
row_35	PSMG1	1618	3.550745725631714	0.518113	Yes	
row_36	PSMC4	1720	3.376622200012207	0.5188405	Yes	
row_37	CCNF	1768	3.275313138961792	0.5224797	Yes	
row_38	SERPINH1	1770	3.2743568420410156	0.52876455	Yes	
row_39	CACYBP	1781	3.2597813606262207	0.53450316	Yes	
row_40	TUBG1	1791	3.2343873977661133	0.5402502	Yes	
row_41	PSAT1	1936	3.0184214115142822	0.537809	Yes	
row_42	SLC9A3R1	1946	3.006359815597534	0.5431143	Yes	
row_43	EEF1E1	2004	2.9245734214782715	0.5454986	Yes	
row_44	HSPE1	2019	2.9031591415405273	0.5503162	Yes	
row_45	IFI30	2061	2.8461596965789795	0.5534695	Yes	
row_46	UCHL5	2166	2.714162588119507	0.55274117	Yes	
row_47	PSMD14	2207	2.675625801086426	0.5556217	Yes	
row_48	RPN1	2217	2.665832757949829	0.5602674	Yes	
row_49	CALR	2324	2.533198833465576	0.55907345	Yes	
row_50	FDXR	2325	2.532735824584961	0.5639793	Yes	
row_51	CD9	2345	2.5065481662750244	0.5677409	Yes	
row_52	EGLN3	2350	2.5013628005981445	0.5723558	Yes	
row_53	COPS5	2398	2.4410080909729004	0.57437897	Yes	
row_54	LDHA	2486	2.3531744480133057	0.57392985	Yes	
row_55	ENO1	2499	2.346304416656494	0.577784	Yes	
row_56	PSME3	2517	2.332733392715454	0.58132404	Yes	
row_57	PDAP1	2582	2.2714152336120605	0.5820403	Yes	
row_58	PSMD12	2615	2.2379508018493652	0.58453345	Yes	
row_59	RRP9	2712	2.151034116744995	0.58317477	Yes	
row_60	YKT6	2727	2.1322381496429443	0.58649915	Yes	
row_61	ACTR3	2739	2.121765375137329	0.5899759	Yes	
row_62	ARPC5L	2740	2.120124101638794	0.59408253	Yes	
row_63	HSPD1	2819	2.046177625656128	0.59355676	Yes	
row_64	HSP90B1	2857	2.0099151134490967	0.59532046	Yes	
row_65	PNO1	2913	1.9579609632492065	0.5959475	Yes	
row_66	PNP	2957	1.9251631498336792	0.5972017	Yes	
row_67	PHGDH	2976	1.9152101278305054	0.59987545	Yes	
row_68	EIF2S2	3002	1.8935691118240356	0.6021044	Yes	
row_69	PSMC2	3009	1.8890174627304077	0.60541815	Yes	
row_70	PRDX1	3209	1.7362139225006104	0.5973279	No	
row_71	PFKL	3282	1.6815613508224487	0.5964412	No	
row_72	HSPA4	3350	1.6416462659835815	0.59576494	No	
row_73	GSR	3406	1.6030441522598267	0.59570456	No	
row_74	POLR3G	3439	1.577400803565979	0.5969182	No	
row_75	GSK3B	3457	1.568922996520996	0.59897876	No	
row_76	ABCF2	3531	1.5220898389816284	0.59772563	No	
row_77	NFKBIB	3587	1.4893256425857544	0.59744495	No	
row_78	DAPP1	3837	1.3498109579086304	0.5857286	No	
row_79	UNG	4050	1.227980613708496	0.57590574	No	
row_80	TCEA1	4055	1.22573721408844	0.5780497	No	
row_81	SERP1	4340	1.0913012027740479	0.5638183	No	
row_82	EBP	4417	1.055189609527588	0.56148803	No	
row_83	HMBS	4606	0.9707773923873901	0.5525483	No	
row_84	GPI	4752	0.913503885269165	0.5459724	No	
row_85	ATP2A2	4904	0.867033064365387	0.5389612	No	
row_86	RDH11	5116	0.79081130027771	0.5283491	No	
row_87	PSMA3	5189	0.765804648399353	0.5256886	No	
row_88	DHCR24	5207	0.7609086632728577	0.526184	No	
row_89	ELOVL6	5274	0.7422485947608948	0.5238232	No	
row_90	ACTR2	5316	0.7271076440811157	0.52287185	No	
row_91	HSPA5	5339	0.7208004593849182	0.52300185	No	
row_92	RIT1	5611	0.622366189956665	0.50861025	No	
row_93	ACLY	5792	0.5724496841430664	0.49935937	No	
row_94	PDK1	5804	0.5691197514533997	0.49982867	No	
row_95	TXNRD1	5875	0.5457574725151062	0.496857	No	
row_96	PIK3R3	5923	0.5293368101119995	0.49517727	No	
row_97	FADS1	6012	0.505832314491272	0.49109232	No	
row_98	NFYC	6037	0.4999977946281433	0.49067953	No	
row_99	SLC1A4	6081	0.4868827164173126	0.48914778	No	
row_100	TBK1	6117	0.47707152366638184	0.48805746	No	
row_101	XBP1	6197	0.4572455883026123	0.4843964	No	
row_102	PPA1	6308	0.4282820522785187	0.47889504	No	
row_103	NUFIP1	6507	0.3768296241760254	0.46822926	No	
row_104	SSR1	6512	0.37579286098480225	0.46872696	No	
row_105	HSPA9	6857	0.30100446939468384	0.44951144	No	
row_106	RAB1A	6955	0.28103798627853394	0.44447306	No	
row_107	CANX	7021	0.2664690315723419	0.4412482	No	
row_108	SLC37A4	7070	0.25806114077568054	0.4389855	No	
row_109	BCAT1	7093	0.2535193860530853	0.43821037	No	
row_110	PSMB5	7104	0.2516718804836273	0.4381223	No	
