NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDC20	70	21.209518432617188	0.044006407	Yes	
row_1	CDC45	131	17.380428314208984	0.07991626	Yes	
row_2	CCNA2	252	13.632613182067871	0.10388484	Yes	
row_3	MCM2	265	13.297361373901367	0.13330998	Yes	
row_4	MAD2L1	269	13.219520568847656	0.1630768	Yes	
row_5	KPNA2	295	12.714143753051758	0.19043288	Yes	
row_6	MCM4	336	11.676251411437988	0.21457502	Yes	
row_7	HDGF	493	9.054821014404297	0.2261039	Yes	
row_8	NME1	509	8.798628807067871	0.24516767	Yes	
row_9	HPRT1	539	8.380593299865723	0.26247892	Yes	
row_10	CCT3	613	7.566208362579346	0.2754134	Yes	
row_11	SNRPA1	692	6.918921947479248	0.28659412	Yes	
row_12	TYMS	715	6.749863624572754	0.30061498	Yes	
row_13	RFC4	730	6.658530235290527	0.31488943	Yes	
row_14	CBX3	875	5.824718475341797	0.31979343	Yes	
row_15	RANBP1	920	5.610820293426514	0.32996842	Yes	
row_16	SRPK1	942	5.493175983428955	0.34120068	Yes	
row_17	CSTF2	956	5.415482997894287	0.35271743	Yes	
row_18	PCNA	976	5.353308200836182	0.36374804	Yes	
row_19	PABPC1	995	5.278441429138184	0.37466666	Yes	
row_20	PRDX4	1026	5.1667046546936035	0.38464156	Yes	
row_21	PSMD3	1045	5.091518402099609	0.39513683	Yes	
row_22	PGK1	1076	4.961698055267334	0.40464744	Yes	
row_23	SNRPG	1192	4.5340070724487305	0.40829733	Yes	
row_24	CCT5	1232	4.433738708496094	0.4160942	Yes	
row_25	MRPL9	1289	4.255669116973877	0.42250943	Yes	
row_26	RUVBL2	1292	4.24873161315918	0.43201682	Yes	
row_27	RAN	1321	4.175407409667969	0.43986174	Yes	
row_28	BUB3	1334	4.1431884765625	0.44855455	Yes	
row_29	TRIM28	1463	3.871295690536499	0.44995534	Yes	
row_30	NOP56	1497	3.7975170612335205	0.45665666	Yes	
row_31	MCM6	1502	3.7747368812561035	0.46497545	Yes	
row_32	MCM7	1520	3.7301487922668457	0.47244504	Yes	
row_33	PRPS2	1534	3.6994566917419434	0.48007533	Yes	
row_34	POLD2	1583	3.6150832176208496	0.48550016	Yes	
row_35	ILF2	1585	3.6118035316467285	0.4936226	Yes	
row_36	PPIA	1604	3.5832042694091797	0.50070184	Yes	
row_37	NOLC1	1710	3.397246837615967	0.5023528	Yes	
row_38	PSMC4	1720	3.376622200012207	0.50948215	Yes	
row_39	RPS2	1734	3.33703875541687	0.5162916	Yes	
row_40	NHP2	1745	3.321078300476074	0.52323765	Yes	
row_41	LSM2	1749	3.3154265880584717	0.5305737	Yes	
row_42	SNRPB2	1795	3.229625701904297	0.5352982	Yes	
row_43	SNRPD2	1796	3.228761911392212	0.5426107	Yes	
row_44	VDAC1	1811	3.208900213241577	0.54907244	Yes	
row_45	PSMA7	1825	3.187992572784424	0.55554444	Yes	
row_46	NPM1	1861	3.1223838329315186	0.5606016	Yes	
row_47	CDK4	1885	3.0804080963134766	0.5662543	Yes	
row_48	EIF3B	1891	3.0762696266174316	0.5729337	Yes	
row_49	FBL	1915	3.043912172317505	0.5785038	Yes	
row_50	SNRPD3	1922	3.036095142364502	0.58503455	Yes	
row_51	HSPE1	2019	2.9031591415405273	0.5860844	Yes	
row_52	MCM5	2058	2.8526313304901123	0.590358	Yes	
row_53	SMARCC1	2069	2.838745355606079	0.5962117	Yes	
row_54	SSBP1	2074	2.8353240489959717	0.60240287	Yes	
row_55	NOP16	2094	2.8115313053131104	0.60767686	Yes	
row_56	RNPS1	2160	2.720069646835327	0.6100963	Yes	
row_57	PSMD14	2207	2.675625801086426	0.6135085	Yes	
row_58	PSMB2	2232	2.6450841426849365	0.6181178	Yes	
row_59	PSMB3	2272	2.5911030769348145	0.62174153	Yes	
row_60	PPM1G	2307	2.5527937412261963	0.62556624	Yes	
row_61	ERH	2335	2.5251405239105225	0.6297312	Yes	
row_62	COPS5	2398	2.4410080909729004	0.6316912	Yes	
row_63	CCT2	2408	2.427471876144409	0.63667095	Yes	
