NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNNT1	7	40.285438537597656	0.04123374	No	
row_1	COL1A1	236	14.182167053222656	0.04276928	No	
row_2	CACNA1H	430	9.836743354797363	0.041828036	No	
row_3	COL3A1	572	7.989468574523926	0.041970365	No	
row_4	KCNH2	575	7.962664604187012	0.05008499	No	
row_5	PPFIA4	593	7.752458095550537	0.05711905	No	
row_6	ADAM12	682	6.9655914306640625	0.059253518	No	
row_7	TPM3	786	6.232773780822754	0.059767283	No	
row_8	SLN	847	5.928096771240234	0.062440973	No	
row_9	ACTN2	898	5.733640193939209	0.065489225	No	
row_10	MYBPH	943	5.491215229034424	0.06863224	No	
row_11	CKM	1188	4.550857067108154	0.059292566	No	
row_12	TEAD4	1215	4.463418006896973	0.062409285	No	
row_13	ATP6AP1	1343	4.125887393951416	0.059364203	No	
row_14	KCNH1	1902	3.060908794403076	0.030412668	No	
row_15	EPHB3	1914	3.044618606567383	0.03292631	No	
row_16	MYLPF	1961	2.9816806316375732	0.033360515	No	
row_17	PTP4A3	2375	2.465982437133789	0.012139423	No	
row_18	ERBB3	2509	2.340956687927246	0.0069042193	No	
row_19	AEBP1	2515	2.334245443344116	0.009028986	No	
row_20	MB	2600	2.2522289752960205	0.006522223	No	
row_21	ANKRD2	2714	2.1504766941070557	0.0022412299	No	
row_22	ACHE	2750	2.1033775806427	0.0024007668	No	
row_23	ATP2A1	3022	1.8822611570358276	-0.0112509625	No	
row_24	CHRNG	3571	1.4969377517700195	-0.041243386	No	
row_25	PLXNB2	3607	1.4686145782470703	-0.041739903	No	
row_26	PFKM	3635	1.4523102045059204	-0.041792836	No	
row_27	GAA	3692	1.4278810024261475	-0.043540087	No	
row_28	SLC6A8	3785	1.3843774795532227	-0.04740424	No	
row_29	SPHK1	4014	1.25101900100708	-0.059233565	No	
row_30	COL6A3	4131	1.192059874534607	-0.06467778	No	
row_31	SYNGR2	4262	1.120476484298706	-0.07100174	No	
row_32	KLF5	4263	1.1203937530517578	-0.06984377	No	
row_33	SCHIP1	4625	0.9636319279670715	-0.08962479	No	
row_34	AGRN	4740	0.9172114729881287	-0.09523797	No	
row_35	TCAP	4760	0.9102571606636047	-0.09539071	No	
row_36	TNNC1	4908	0.8664564490318298	-0.102955624	No	
row_37	TPD52L1	4968	0.8470308780670166	-0.105475865	No	
row_38	TGFB1	5020	0.8243263959884644	-0.107559144	No	
row_39	MYL6B	5407	0.6957461833953857	-0.12905589	No	
row_40	HSPB8	5435	0.6837415099143982	-0.12990317	No	
row_41	FDPS	5536	0.6515763401985168	-0.13498513	No	
row_42	RIT1	5611	0.622366189956665	-0.13860089	No	
row_43	PDLIM7	5889	0.5408463478088379	-0.15398435	No	
row_44	MEF2D	5907	0.5352039933204651	-0.1544096	No	
row_45	PICK1	6049	0.4965774416923523	-0.16201149	No	
row_46	CAMK2B	6140	0.4700964391231537	-0.16670547	No	
row_47	TNNI1	6254	0.4419220983982086	-0.17275234	No	
row_48	DMPK	6300	0.43041446805000305	-0.1748974	No	
row_49	PSEN2	6521	0.3729458451271057	-0.18717383	No	
row_50	SPDEF	6662	0.3393011689186096	-0.1948807	No	
row_51	SH3BGR	7025	0.26602256298065186	-0.21544029	No	
row_52	APP	7042	0.2624989449977875	-0.21608984	No	
row_53	MYH9	7065	0.2586730122566223	-0.21708868	No	
row_54	ITGB4	7114	0.25037139654159546	-0.2195925	No	
row_55	CDKN1A	7225	0.22871355712413788	-0.22568706	No	
row_56	CNN3	7261	0.22198843955993652	-0.227472	No	
row_57	IFRD1	7449	0.19071093201637268	-0.23803748	No	
row_58	MYOG	7483	0.18557456135749817	-0.23974498	No	
row_59	BAG1	8016	0.1081024631857872	-0.27025196	No	
row_60	CHRNA1	8134	0.09535279870033264	-0.2768872	No	
row_61	WWTR1	8246	0.08384007215499878	-0.28318906	No	
row_62	BHLHE40	8720	0.042640745639801025	-0.310368	No	
row_63	COL6A2	8733	0.04164924845099449	-0.3110156	No	
row_64	ENO3	8757	0.040189482271671295	-0.3122978	No	
row_65	SPARC	8897	0.03162489831447601	-0.3202651	No	
row_66	MYH4	9076	0.021660063415765762	-0.33048734	No	
row_67	ITGB5	9110	0.019796354696154594	-0.33236614	No	
row_68	TSC2	9135	0.018387850373983383	-0.33372843	No	
row_69	REEP1	9518	0.0046706898137927055	-0.35570922	No	
row_70	ADCY9	9586	0.0029831049032509327	-0.35956225	No	
row_71	MAPK12	10109	-0.0021055610850453377	-0.38960326	No	
row_72	TPM2	10408	-0.010660465806722641	-0.40674332	No	
row_73	IGFBP3	10427	-0.011382903903722763	-0.4077675	No	
row_74	TNNI2	10450	-0.012087894603610039	-0.4090212	No	
row_75	COL4A2	10740	-0.028449954465031624	-0.4256249	No	
row_76	FLII	10819	-0.03436700999736786	-0.4300786	No	
row_77	SH2B1	10872	-0.0385739766061306	-0.43303153	No	
row_78	KIFC3	10901	-0.04039803147315979	-0.43460128	No	
row_79	DTNA	10927	-0.04274354502558708	-0.43599597	No	
row_80	CHRNB1	10953	-0.045391615480184555	-0.43738788	No	
row_81	NOTCH1	10993	-0.04938962683081627	-0.43958145	No	
row_82	COX6A2	10994	-0.04953300580382347	-0.43953025	No	
row_83	IGFBP7	11194	-0.07343318313360214	-0.4509076	No	
row_84	OCEL1	11204	-0.07414818555116653	-0.45134893	No	
row_85	NOS1	11254	-0.07939209789037704	-0.45408705	No	
