NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TOP2A	101	19.42104721069336	0.059223615	No	
row_1	DIO1	412	10.257233619689941	0.07580962	No	
row_2	CACNA1B	651	7.188325881958008	0.086245276	No	
row_3	CRABP2	666	7.096373081207275	0.1091966	No	
row_4	ABCC5	838	5.968092918395996	0.11938352	No	
row_5	ABCB9	929	5.563221454620361	0.13285232	No	
row_6	PABPC1	995	5.278441429138184	0.14679907	No	
row_7	ACOT8	1346	4.121613502502441	0.1405582	No	
row_8	CADM1	1659	3.48002552986145	0.13434522	No	
row_9	MSH2	1702	3.4133036136627197	0.14336574	No	
row_10	HSD11B2	1849	3.14501690864563	0.14553452	No	
row_11	SMARCC1	2069	2.838745355606079	0.14249907	No	
row_12	NUDT19	2265	2.595975637435913	0.14002499	No	
row_13	SLC25A19	2575	2.2793171405792236	0.12996477	No	
row_14	NR1I2	2865	2.001511812210083	0.12011964	No	
row_15	PRDX1	3209	1.7362139225006104	0.10629514	No	
row_16	CLN6	3370	1.630327582359314	0.10259252	No	
row_17	IDH2	3495	1.5457180738449097	0.10066761	No	
row_18	PEX13	3569	1.5006295442581177	0.10151141	No	
row_19	ERCC1	3590	1.487729549407959	0.10534615	No	
row_20	CDK7	3814	1.3656460046768188	0.097151004	No	
row_21	SLC35B2	4192	1.1558319330215454	0.07943745	No	
row_22	PEX11B	4504	1.00859534740448	0.06500941	No	
row_23	YWHAH	4543	0.9959459900856018	0.06616761	No	
row_24	HRAS	4779	0.9028576612472534	0.055736456	No	
row_25	RDH11	5116	0.79081130027771	0.039148264	No	
row_26	DHCR24	5207	0.7609086632728577	0.03654288	No	
row_27	SULT2B1	5345	0.7192602157592773	0.031107455	No	
row_28	IDE	5424	0.6878064870834351	0.028944355	No	
row_29	FDPS	5536	0.6515763401985168	0.024770817	No	
row_30	SLC25A17	5925	0.5291048288345337	0.004329778	No	
row_31	FADS1	6012	0.505832314491272	0.0010995979	No	
row_32	ERCC3	6043	0.49805116653442383	0.0010492355	No	
row_33	MVP	6271	0.4388304352760315	-0.0104771145	No	
row_34	PEX2	6745	0.323696494102478	-0.036471732	No	
row_35	DLG4	6973	0.27713701128959656	-0.0485393	No	
row_36	SERPINA6	7040	0.263125479221344	-0.05143691	No	
row_37	GNPAT	7062	0.2596304714679718	-0.05177008	No	
row_38	HSD3B7	7363	0.2038414180278778	-0.06826205	No	
row_39	PRDX5	7453	0.19007089734077454	-0.07272088	No	
row_40	SIAH1	8069	0.10264039039611816	-0.10758456	No	
row_41	ABCB4	8226	0.0859869122505188	-0.116227366	No	
row_42	SOD1	8272	0.08093654364347458	-0.1185326	No	
row_43	CTBP1	8480	0.06127293035387993	-0.13017775	No	
row_44	CNBP	8597	0.052214354276657104	-0.1366437	No	
row_45	ABCD3	8705	0.04375455901026726	-0.14262272	No	
row_46	ATXN1	9179	0.01654968224465847	-0.16964541	No	
row_47	FIS1	9553	0.003696915926411748	-0.19098637	No	
row_48	BCL10	9658	0.001648979028686881	-0.1969346	No	
row_49	TTR	9798	1.9904000509995967E-4	-0.20489134	No	
row_50	TSPO	10595	-0.01929902285337448	-0.25039577	No	
row_51	ABCD1	10868	-0.03818646818399429	-0.2658393	No	
row_52	GSTK1	11639	-0.12693630158901215	-0.30949503	No	
row_53	CRAT	11911	-0.17352980375289917	-0.32442826	No	
row_54	ACAA1	11994	-0.18675655126571655	-0.32849747	No	
row_55	PEX6	12146	-0.21610942482948303	-0.33641848	No	
row_56	HMGCL	12434	-0.2819473445415497	-0.3519048	No	
row_57	PEX5	12834	-0.39300981163978577	-0.37343112	No	
row_58	PEX11A	13036	-0.45855745673179626	-0.38340297	No	
row_59	LONP2	13225	-0.5373705625534058	-0.39236686	No	
row_60	SLC23A2	13248	-0.5464627146720886	-0.39179718	No	
row_61	SLC25A4	13299	-0.5756270289421082	-0.39273286	No	
row_62	SEMA3C	13362	-0.6060463786125183	-0.39425364	No	
