NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDK1	128	17.420387268066406	0.07367115	Yes	
row_1	CXCR4	247	13.87589168548584	0.13143371	Yes	
row_2	TRIB3	250	13.751884460449219	0.19526303	Yes	
row_3	E2F1	307	12.394887924194336	0.24968995	Yes	
row_4	SLC2A1	495	9.029475212097168	0.28096586	Yes	
row_5	ARF1	1120	4.806997299194336	0.26758078	Yes	
row_6	PAK4	1410	3.96728515625	0.26947677	Yes	
row_7	CDK4	1885	3.0804080963134766	0.25665393	Yes	
row_8	ARPC3	2238	2.636136054992676	0.24875228	Yes	
row_9	YWHAB	2259	2.6054701805114746	0.25972185	Yes	
row_10	CFL1	2287	2.5759482383728027	0.27015325	Yes	
row_11	CALR	2324	2.533198833465576	0.27987045	Yes	
row_12	CAMK4	2328	2.5314292907714844	0.29146937	Yes	
row_13	TRAF2	2606	2.2484867572784424	0.2860605	Yes	
row_14	ACTR3	2739	2.121765375137329	0.28836665	Yes	
row_15	CSNK2B	2854	2.012716293334961	0.29119658	Yes	
row_16	HSP90B1	2857	2.0099151134490967	0.3004278	Yes	
row_17	VAV3	2905	1.9615379571914673	0.3068569	Yes	
row_18	PFN1	2931	1.9452017545700073	0.31446996	Yes	
row_19	CDK2	2946	1.9349819421768188	0.3226655	Yes	
row_20	PPP1CA	3089	1.8309820890426636	0.32304686	Yes	
row_21	UBE2N	3168	1.7669436931610107	0.32679573	Yes	
row_22	GSK3B	3457	1.568922996520996	0.31759706	Yes	
row_23	NFKBIB	3587	1.4893256425857544	0.31713426	Yes	
row_24	AKT1S1	3617	1.4644660949707031	0.32228294	Yes	
row_25	CLTC	3651	1.4465577602386475	0.32711926	Yes	
row_26	DAPP1	3837	1.3498109579086304	0.3228006	No	
row_27	AKT1	3889	1.3164831399917603	0.32600123	No	
row_28	RAC1	4087	1.2114306688308716	0.32035187	No	
row_29	SFN	4240	1.134618878364563	0.31692255	No	
row_30	NGF	4492	1.0148828029632568	0.30726668	No	
row_31	TIAM1	4731	0.9220630526542664	0.29792374	No	
row_32	HRAS	4779	0.9028576612472534	0.29943016	No	
row_33	GRB2	4798	0.8973151445388794	0.30257162	No	
row_34	RPS6KA1	4845	0.8905039429664612	0.3040779	No	
row_35	MYD88	4936	0.856049120426178	0.302904	No	
row_36	IL2RG	5013	0.8268417716026306	0.30239612	No	
row_37	AP2M1	5093	0.800070583820343	0.30159196	No	
row_38	ACTR2	5316	0.7271076440811157	0.29225883	No	
row_39	RIT1	5611	0.622366189956665	0.2783152	No	
row_40	PDK1	5804	0.5691197514533997	0.26996556	No	
row_41	LCK	5837	0.556868314743042	0.27072227	No	
row_42	PIK3R3	5923	0.5293368101119995	0.26831558	No	
row_43	ARHGDIA	5938	0.526032567024231	0.26995978	No	
row_44	TBK1	6117	0.47707152366638184	0.2619839	No	
row_45	MAP3K7	7197	0.23506897687911987	0.20128208	No	
row_46	CDKN1A	7225	0.22871355712413788	0.20079926	No	
row_47	MAPK9	7271	0.22006914019584656	0.19924538	No	
row_48	EIF4E	7321	0.21143031120300293	0.19742224	No	
row_49	THEM4	7797	0.13986241817474365	0.17086908	No	
row_50	ECSIT	8331	0.0752592533826828	0.14069386	No	
row_51	PRKAG1	8473	0.06172611936926842	0.13290574	No	
row_52	FASLG	8498	0.05971914529800415	0.13180892	No	
row_53	PIN1	8499	0.05969243124127388	0.13208649	No	
row_54	RAF1	8637	0.04846922680735588	0.12446581	No	
row_55	ATF1	8872	0.03316955268383026	0.11121874	No	
row_56	MAPK1	9050	0.022407004609704018	0.10118605	No	
row_57	TSC2	9135	0.018387850373983383	0.096460834	No	
row_58	CDKN1B	9162	0.017141008749604225	0.095051505	No	
row_59	MAPKAP1	9367	0.009432449005544186	0.083412185	No	
row_60	IRAK4	9550	0.003826762083917856	0.07300675	No	
row_61	RPTOR	9652	0.0017133790533989668	0.067230396	No	
row_62	RALB	10251	-0.005387171171605587	0.033007693	No	
row_63	PLCG1	10641	-0.021436819806694984	0.010829152	No	
row_64	NCK1	10998	-0.04967842996120453	-0.009328146	No	
row_65	SLA	11055	-0.055678483098745346	-0.012276399	No	
row_66	PRKAR2A	11138	-0.06456056982278824	-0.016672384	No	
row_67	DDIT3	11240	-0.07775496691465378	-0.022095155	No	
row_68	MAP2K3	11451	-0.101798415184021	-0.033648614	No	
row_69	PLA2G12A	11464	-0.10293076932430267	-0.03385725	No	
row_70	UBE2D3	11611	-0.12218303978443146	-0.041650612	No	
row_71	SQSTM1	11626	-0.12409907579421997	-0.04187536	No	
row_72	STAT2	11856	-0.16221009194850922	-0.05423605	No	
row_73	PITX2	11951	-0.17964425683021545	-0.058784164	No	
row_74	ACACA	12135	-0.21447332203388214	-0.0682674	No	
row_75	PTPN11	12232	-0.23466089367866516	-0.07267423	No	
row_76	ITPR2	12445	-0.2844752073287964	-0.083492815	No	
row_77	PRKAA2	12499	-0.2987210750579834	-0.085139155	No	
row_78	SMAD2	12662	-0.34142887592315674	-0.092829384	No	
row_79	TNFRSF1A	13523	-0.678737223148346	-0.138926	No	
