NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PFKP	709	6.776394367218018	0.019727143	No	
row_1	PRDX4	1026	5.1667046546936035	0.047589734	No	
row_2	SRXN1	1909	3.0488390922546387	0.024322977	No	
row_3	NDUFS2	1941	3.0153310298919678	0.049342673	No	
row_4	GLRX2	2428	2.41192889213562	0.043025233	No	
row_5	NDUFB4	2783	2.0719313621520996	0.041223075	No	
row_6	HMOX2	3063	1.8537286520004272	0.041764107	No	
row_7	TXNRD2	3080	1.8399462699890137	0.057197537	No	
row_8	PRDX1	3209	1.7362139225006104	0.06531521	No	
row_9	CDKN2D	3347	1.6435632705688477	0.072095916	No	
row_10	GSR	3406	1.6030441522598267	0.0830268	No	
row_11	TXN	3416	1.58934485912323	0.096633404	No	
row_12	ERCC2	3712	1.4175699949264526	0.09238597	No	
row_13	ABCC1	4620	0.9661218523979187	0.04918818	No	
row_14	PRDX2	5457	0.6752004027366638	0.0074591646	No	
row_15	TXNRD1	5875	0.5457574725151062	-0.011498895	No	
row_16	ATOX1	6814	0.3092358410358429	-0.06230255	No	
row_17	NDUFA6	6832	0.3052580952644348	-0.060561046	No	
row_18	SBNO2	7024	0.26623305678367615	-0.06910003	No	
row_19	SOD1	8272	0.08093654364347458	-0.13957301	No	
row_20	EGLN2	8488	0.06051267310976982	-0.15130988	No	
row_21	IPCEF1	9203	0.01571807451546192	-0.19193296	No	
row_22	GLRX	10434	-0.01155916228890419	-0.2620518	No	
row_23	STK25	10688	-0.02454044669866562	-0.2762777	No	
row_24	GCLM	11652	-0.12831087410449982	-0.33011603	No	
row_25	PRDX6	12102	-0.2077292650938034	-0.35390416	No	
row_26	MPO	12611	-0.3269828259944916	-0.38000116	No	
row_27	OXSR1	12618	-0.32910260558128357	-0.37741983	No	
row_28	G6PD	13639	-0.7437450289726257	-0.42904454	No	
row_29	PRNP	13662	-0.7552558779716492	-0.4235905	No	
row_30	JUNB	13901	-0.8673605918884277	-0.4294721	No	
row_31	LSP1	14104	-0.9931195378303528	-0.4321811	No	
row_32	FTL	14275	-1.1159220933914185	-0.43197218	No	
row_33	PDLIM1	14518	-1.2886570692062378	-0.43433914	No	
row_34	NQO1	14638	-1.402026653289795	-0.4286767	No	
row_35	HHEX	15642	-2.8010966777801514	-0.46105248	Yes	
row_36	SOD2	15830	-3.2383670806884766	-0.44295737	Yes	
row_37	FES	15876	-3.3462183475494385	-0.4157972	Yes	
row_38	MSRA	15893	-3.389885187149048	-0.38659346	Yes	
row_39	GCLC	15972	-3.6167426109313965	-0.3589138	Yes	
row_40	MGST1	15985	-3.653337001800537	-0.32714108	Yes	
row_41	MBP	16329	-4.896552562713623	-0.3032201	Yes	
row_42	GPX4	16347	-4.968943119049072	-0.2600444	Yes	
row_43	CAT	17191	-13.936354637145996	-0.18435521	Yes	
row_44	GPX3	17403	-23.11509895324707	0.008963202	Yes	
