NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNNI3	10	34.103675842285156	0.07156226	Yes	
row_1	CNIH2	43	24.701494216918945	0.1219765	Yes	
row_2	TTK	45	24.425987243652344	0.17358449	Yes	
row_3	BUB1	50	23.879924774169922	0.22386555	Yes	
row_4	NEK2	59	22.392528533935547	0.27077127	Yes	
row_5	CCNB2	64	21.73298454284668	0.31651118	Yes	
row_6	NCAPH	69	21.291141510009766	0.3613165	Yes	
row_7	PCSK1N	94	19.771059036254883	0.40176043	Yes	
row_8	KIF2C	120	17.82392120361328	0.43802854	Yes	
row_9	CDK1	128	17.420387268066406	0.4744746	Yes	
row_10	AURKA	139	17.12546157836914	0.5101249	Yes	
row_11	CDKN3	141	17.115554809570312	0.5462701	Yes	
row_12	EZH2	298	12.626141548156738	0.5640368	Yes	
row_13	ART3	442	9.675376892089844	0.57630706	Yes	
row_14	IL13RA2	460	9.520520210266113	0.5954704	Yes	
row_15	LDHC	477	9.366159439086914	0.6143646	Yes	
row_16	RPL39L	484	9.241047859191895	0.6335673	Yes	
row_17	RFC4	730	6.658530235290527	0.6336111	Yes	
row_18	DBF4	746	6.552512168884277	0.6466112	Yes	
row_19	GRM8	759	6.475793838500977	0.659621	Yes	
row_20	MLF1	924	5.5908966064453125	0.66204846	Yes	
row_21	IL12RB2	1229	4.438008785247803	0.65401447	No	
row_22	NEFH	1305	4.20826530456543	0.6586177	No	
row_23	PSMG1	1618	3.550745725631714	0.6482485	No	
row_24	TOPBP1	1732	3.342322826385498	0.64884245	No	
row_25	MAP7	1935	3.0202291011810303	0.6436548	No	
row_26	DMRT1	2068	2.8397984504699707	0.64209706	No	
row_27	PHKG2	2189	2.6968464851379395	0.6409246	No	
row_28	STRBP	2321	2.5341641902923584	0.6387776	No	
row_29	CAMK4	2328	2.5314292907714844	0.64378816	No	
row_30	TEKT2	2483	2.3565924167633057	0.6399476	No	
row_31	SCG3	2513	2.334810256958008	0.64322424	No	
row_32	MAST2	2539	2.306320905685425	0.64666986	No	
row_33	OAZ3	2638	2.217359781265259	0.6457439	No	
row_34	PGK2	2776	2.083153247833252	0.6422991	No	
row_35	COIL	3014	1.8857747316360474	0.6327062	No	
row_36	CLPB	3574	1.494781494140625	0.60383356	No	
