NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC7A5	274	13.131551742553711	0.05645578	Yes	
row_1	ASNS	313	12.148795127868652	0.121030726	Yes	
row_2	CHAC1	350	11.385519981384277	0.18152642	Yes	
row_3	ALDH18A1	783	6.251457691192627	0.19112861	Yes	
row_4	MTHFD2	791	6.202699184417725	0.22480844	Yes	
row_5	PARN	918	5.623318195343018	0.24848811	Yes	
row_6	DKC1	950	5.465918064117432	0.27674487	Yes	
row_7	LSM4	1010	5.216151714324951	0.30202538	Yes	
row_8	DDIT4	1158	4.6806840896606445	0.31932276	Yes	
row_9	EXOSC5	1193	4.523340702056885	0.34222868	Yes	
row_10	KDELR3	1233	4.432808876037598	0.36435074	Yes	
row_11	BANF1	1418	3.9373695850372314	0.3754445	Yes	
row_12	SRPRB	1476	3.842160224914551	0.39329013	Yes	
row_13	NOP56	1497	3.7975170612335205	0.41300997	Yes	
row_14	CKS1B	1506	3.764861583709717	0.4332378	Yes	
row_15	EXOSC4	1582	3.6160268783569336	0.4488098	Yes	
row_16	NOLC1	1710	3.397246837615967	0.46020103	Yes	
row_17	YWHAZ	1740	3.3315646648406982	0.47684512	Yes	
row_18	NHP2	1745	3.321078300476074	0.4948637	Yes	
row_19	NPM1	1861	3.1223838329315186	0.50543207	Yes	
row_20	PSAT1	1936	3.0184214115142822	0.51777786	Yes	
row_21	ARFGAP1	2313	2.5431644916534424	0.51021266	Yes	
row_22	CALR	2324	2.533198833465576	0.5235585	Yes	
row_23	EIF4A3	2524	2.3236451148986816	0.52492636	Yes	
row_24	PDIA6	2612	2.240295171737671	0.532252	Yes	
row_25	RRP9	2712	2.151034116744995	0.5383998	Yes	
row_26	EXOSC1	2757	2.097074508666992	0.5474018	Yes	
row_27	HSP90B1	2857	2.0099151134490967	0.5527742	Yes	
row_28	EIF4EBP1	2954	1.9275521039962769	0.5578659	Yes	
row_29	SHC1	3004	1.892831563949585	0.5654592	Yes	
row_30	PDIA5	3136	1.7953050136566162	0.5678194	Yes	
row_31	YIF1A	3189	1.7565319538116455	0.5744919	Yes	
row_32	FUS	3342	1.6455260515213013	0.5748262	Yes	
row_33	XPOT	3549	1.5143160820007324	0.5713462	No	
row_34	POP4	3813	1.3656938076019287	0.5637844	No	
row_35	VEGFA	4212	1.147095799446106	0.5472883	No	
row_36	KHSRP	4252	1.1266039609909058	0.5512444	No	
row_37	SERP1	4340	1.0913012027740479	0.5522569	No	
row_38	EIF2AK3	4349	1.0860308408737183	0.5577658	No	
row_39	CNOT6	4398	1.064128041267395	0.5608631	No	
row_40	EIF4A1	4674	0.9466196894645691	0.55031127	No	
row_41	HYOU1	4679	0.9453174471855164	0.5552762	No	
row_42	NFYA	4781	0.9012636542320251	0.5544426	No	
row_43	DNAJA4	4953	0.851838231086731	0.5493275	No	
row_44	PAIP1	5081	0.8068270087242126	0.5464856	No	
row_45	DDX10	5295	0.7375519275665283	0.5383367	No	
row_46	HSPA5	5339	0.7208004593849182	0.53983396	No	
row_47	ATF6	5614	0.6212279796600342	0.5275516	No	
row_48	SPCS1	5788	0.5737375617027283	0.5207939	No	
row_49	CEBPG	5846	0.5539293885231018	0.5205723	No	
row_50	EXOSC9	5891	0.539763867855072	0.5210176	No	
row_51	LSM1	6030	0.5008364319801331	0.5158643	No	
row_52	TATDN2	6048	0.49678781628608704	0.5176201	No	
row_53	EIF4G1	6080	0.4871063232421875	0.5185207	No	
row_54	SLC1A4	6081	0.4868827164173126	0.5211959	No	
row_55	EDC4	6087	0.48470234870910645	0.5235727	No	
row_56	ATF4	6099	0.4805639684200287	0.525583	No	
row_57	XBP1	6197	0.4572455883026123	0.52253884	No	
row_58	SEC31A	6301	0.42978066205978394	0.51900005	No	
row_59	SSR1	6512	0.37579286098480225	0.50903535	No	
row_60	NOP14	6641	0.3436642289161682	0.5035913	No	
row_61	HSPA9	6857	0.30100446939468384	0.4929292	No	
row_62	EXOSC2	6922	0.2871640622615814	0.49084085	No	
row_63	PREB	6948	0.2830176055431366	0.49096382	No	
row_64	CNOT4	7275	0.21936000883579254	0.47349465	No	
row_65	EIF4E	7321	0.21143031120300293	0.4720786	No	
row_66	BAG3	7376	0.20181581377983093	0.47009414	No	
row_67	ATP6V0D1	7765	0.14473508298397064	0.44866335	No	
row_68	NFYB	7860	0.1298021376132965	0.4439919	No	
row_69	KIF5B	7883	0.12663350999355316	0.44342744	No	
row_70	FKBP14	7999	0.11092764139175415	0.4374493	No	
row_71	EIF2S1	8118	0.09747576713562012	0.43122545	No	
row_72	DCTN1	8280	0.08002030849456787	0.42244244	No	
row_73	CNOT2	8801	0.0377776063978672	0.39286253	No	
row_74	WFS1	8809	0.03733225539326668	0.39266667	No	
row_75	EDEM1	8914	0.030299996957182884	0.38687566	No	
row_76	WIPI1	8931	0.029461171478033066	0.386121	No	
row_77	ZBTB17	8969	0.027181733399629593	0.38415086	No	
row_78	SDAD1	8987	0.02605072408914566	0.38332018	No	
row_79	IFIT1	9121	0.019066834822297096	0.3758062	No	
row_80	DNAJC3	9235	0.014678130857646465	0.36941382	No	
row_81	EXOSC10	9650	0.00176075694616884	0.34570807	No	
row_82	SLC30A5	9711	9.756929939612746E-4	0.34227642	No	
row_83	EXOC2	9936	-1.564410049468279E-4	0.32944575	No	
row_84	RPS14	9939	-1.7583300359547138E-4	0.32933214	No	
row_85	ATF3	10037	-9.730400051921606E-4	0.32378098	No	
row_86	CXXC1	10407	-0.01065007969737053	0.30270186	No	
row_87	HERPUD1	10931	-0.04351749271154404	0.27298164	No	
row_88	SEC11A	10954	-0.045404981821775436	0.27197087	No	
row_89	CEBPB	11082	-0.05803621560335159	0.26501474	No	
row_90	DNAJB9	11237	-0.07745632529258728	0.25661865	No	
row_91	GEMIN4	11246	-0.07857590913772583	0.2565921	No	
row_92	ERN1	11269	-0.08075318485498428	0.25577557	No	
row_93	TSPYL2	11768	-0.14708484709262848	0.22805649	No	
row_94	SPCS3	11882	-0.16715843975543976	0.2225019	No	
row_95	GOSR2	12001	-0.18860569596290588	0.21677873	No	
row_96	DCP1A	12027	-0.19400691986083984	0.2164126	No	
row_97	DCP2	12075	-0.20199236273765564	0.21483013	No	
row_98	EEF2	12475	-0.293444961309433	0.1935863	No	
row_99	TTC37	13749	-0.7965834736824036	0.12504111	No	
row_100	TUBB2A	13967	-0.8963844776153564	0.11753576	No	
row_101	EIF4A2	14405	-1.210323452949524	0.09915297	No	
row_102	CCL2	14478	-1.2570490837097168	0.10193542	No	
row_103	IGFBP1	17182	-13.56911563873291	0.021653514	No	
