NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL11A1	1	65.7628173828125	0.12895292	No	
row_1	RGS4	42	24.760669708251953	0.17523192	No	
row_2	COL1A1	236	14.182167053222656	0.19197904	No	
row_3	COL3A1	572	7.989468574523926	0.18842934	No	
row_4	FZD2	585	7.840760707855225	0.20312238	No	
row_5	COL5A2	636	7.354722023010254	0.21468142	No	
row_6	COL1A2	784	6.240702152252197	0.21848893	No	
row_7	MMP16	935	5.542840480804443	0.22075528	No	
row_8	VAV2	1478	3.8357295989990234	0.19717886	No	
row_9	SERPINE1	1528	3.7131729125976562	0.20165145	No	
row_10	SLC7A1	2309	2.5504493713378906	0.16189666	No	
row_11	IGF1R	3376	1.624999761581421	0.103915066	No	
row_12	ATP2C1	3423	1.5862531661987305	0.10438732	No	
row_13	SLC22A18	3448	1.5740468502044678	0.10609803	No	
row_14	CACNA1A	3960	1.2820112705230713	0.0792907	No	
row_15	SCN8A	4140	1.1870464086532593	0.07134798	No	
row_16	MT1E	4256	1.1234309673309326	0.066952914	No	
row_17	CDK13	4311	1.1019272804260254	0.06601598	No	
row_18	SYNJ2	4444	1.0401612520217896	0.06048207	No	
row_19	ADORA2B	4612	0.9693371653556824	0.052800834	No	
row_20	ABCC1	4620	0.9661218523979187	0.054294452	No	
row_21	SCHIP1	4625	0.9636319279670715	0.055955328	No	
row_22	RUNX1	4711	0.9339271783828735	0.052909974	No	
row_23	MTA1	4769	0.9054520726203918	0.05141546	No	
row_24	ICA1	4990	0.8354501128196716	0.040430315	No	
row_25	SIPA1L1	5408	0.6956489086151123	0.017866619	No	
row_26	GCNT1	5765	0.581268846988678	-0.0014211466	No	
row_27	PIK3R3	5923	0.5293368101119995	-0.009391728	No	
row_28	LTBP1	6348	0.42034289240837097	-0.03289718	No	
row_29	PIAS3	6855	0.30162695050239563	-0.06134087	No	
row_30	PLCB4	7055	0.26012325286865234	-0.072249636	No	
row_31	FHL2	7056	0.260113924741745	-0.07173935	No	
row_32	DYRK1A	7653	0.15860940515995026	-0.105628006	No	
row_33	GJA1	7692	0.1544608622789383	-0.107505515	No	
row_34	MIOS	7699	0.15361574292182922	-0.10754845	No	
row_35	ATP2B1	7903	0.12371524423360825	-0.118954346	No	
row_36	DDAH1	7914	0.12245641648769379	-0.11928794	No	
row_37	NIPBL	8068	0.10302133113145828	-0.12786531	No	
row_38	ZMIZ1	8400	0.0690712034702301	-0.14672333	No	
row_39	SRI	8413	0.06824439764022827	-0.14727804	No	
row_40	BHLHE40	8720	0.042640745639801025	-0.16475335	No	
row_41	ARHGEF9	9092	0.020985515788197517	-0.18600099	No	
row_42	CDKN1B	9162	0.017141008749604225	-0.18992673	No	
row_43	ATXN1	9179	0.01654968224465847	-0.19081238	No	
row_44	AGGF1	9339	0.010215814225375652	-0.19991611	No	
row_45	MRPS31	9515	0.00471113296225667	-0.20994876	No	
row_46	ATRN	9590	0.002943987026810646	-0.21418928	No	
row_47	PRKCA	9648	0.0017952360212802887	-0.21745653	No	
row_48	LDLR	9884	-5.004289960197639E-7	-0.23094136	No	
row_49	SFMBT1	9891	-5.3805902098247316E-6	-0.23128563	No	
row_50	MGMT	10551	-0.01600169762969017	-0.26906914	No	
row_51	ANXA4	10630	-0.021047910675406456	-0.27350366	No	
row_52	WDR37	10729	-0.02785324864089489	-0.27907246	No	
row_53	MYC	11616	-0.12288565188646317	-0.32967204	No	
row_54	MAPK14	11658	-0.1289607286453247	-0.33177173	No	
row_55	AKT3	12127	-0.2126535028219223	-0.35820943	No	
row_56	PDGFRB	12136	-0.21448267996311188	-0.35824773	No	
row_57	DLG1	12156	-0.21721193194389343	-0.35891187	No	
row_58	YTHDC1	12181	-0.2227797508239746	-0.35985202	No	
row_59	SPOP	12199	-0.22583216428756714	-0.3603845	No	
row_60	ACVR2A	12274	-0.24744971096515656	-0.36414534	No	
row_61	MET	12477	-0.29347360134124756	-0.3751608	No	
row_62	INPP4B	12496	-0.2978951036930084	-0.3756093	No	
row_63	NOTCH2	12587	-0.3202122151851654	-0.38014552	No	
row_64	NFKB1	12682	-0.34712326526641846	-0.3848585	No	
row_65	PIK3CD	12862	-0.4011140763759613	-0.39434302	No	
row_66	SMAD7	12891	-0.412429541349411	-0.39514065	No	
row_67	BMPR1A	12907	-0.41795915365219116	-0.39518145	No	
row_68	INSIG1	12910	-0.4194541573524475	-0.39447334	No	
row_69	AMPH	12937	-0.42750343680381775	-0.3951266	No	
row_70	CDC42BPA	13146	-0.5031787157058716	-0.406075	No	
row_71	MAGI2	13244	-0.5447520613670349	-0.4105724	No	
row_72	ATRX	13371	-0.6108095645904541	-0.4166043	No	
