NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAPK8IP2	20	28.935550689697266	0.064025454	Yes	
row_1	GAL	203	15.11288070678711	0.08761409	Yes	
row_2	CCNE1	235	14.18517780303955	0.11778437	Yes	
row_3	ASNS	313	12.148795127868652	0.14072639	Yes	
row_4	E2F5	375	11.018902778625488	0.16204225	Yes	
row_5	CLCN2	422	9.960912704467773	0.1818365	Yes	
row_6	COL2A1	468	9.44685173034668	0.2005303	Yes	
row_7	ENO2	519	8.641350746154785	0.21712267	Yes	
row_8	KCNH2	575	7.962664604187012	0.23189928	Yes	
row_9	GGH	711	6.77205753326416	0.23940016	Yes	
row_10	RFC4	730	6.658530235290527	0.2533641	Yes	
row_11	TUBA4A	749	6.512643337249756	0.2669994	Yes	
row_12	MMP14	777	6.307766914367676	0.27965644	Yes	
row_13	RASGRP1	812	6.115467071533203	0.29147834	Yes	
row_14	TACR3	824	6.045736789703369	0.30446398	Yes	
row_15	NPTX2	912	5.646396636962891	0.31218585	Yes	
row_16	FKBP4	1007	5.228381156921387	0.31856424	Yes	
row_17	FEN1	1029	5.1624650955200195	0.32898614	Yes	
row_18	ALDOA	1296	4.226348400115967	0.32323045	Yes	
row_19	STIP1	1313	4.1879353523254395	0.33174446	Yes	
row_20	PPT1	1378	4.054531097412109	0.33720163	Yes	
row_21	BAK1	1383	4.044461727142334	0.3460816	Yes	
row_22	ATP6V1F	1485	3.820307493209839	0.34888646	Yes	
row_23	TFRC	1591	3.6043856143951416	0.3509753	Yes	
row_24	POLR2H	1661	3.476715326309204	0.35484385	Yes	
row_25	SIGMAR1	1826	3.1876728534698486	0.35260603	No	
row_26	CASP3	2099	2.8048055171966553	0.3433039	No	
row_27	PPAT	2147	2.7340939044952393	0.34676316	No	
row_28	RPN1	2217	2.665832757949829	0.3488053	No	
row_29	EPCAM	2456	2.374577522277832	0.3404866	No	
row_30	AP2S1	2464	2.3709616661071777	0.34542492	No	
row_31	LHX2	2547	2.3019726276397705	0.345901	No	
row_32	PDAP1	2582	2.2714152336120605	0.34906465	No	
row_33	EIF2S3	2686	2.1708056926727295	0.34803936	No	
row_34	YKT6	2727	2.1322381496429443	0.35054496	No	
row_35	STARD3	2902	1.9680172204971313	0.34498575	No	
row_36	CDK2	2946	1.9349819421768188	0.34687477	No	
row_37	TAP1	3230	1.7144081592559814	0.334485	No	
row_38	GLS	3240	1.7058873176574707	0.3378105	No	
row_39	MARK2	3280	1.6818920373916626	0.33935916	No	
row_40	PRPF3	3297	1.6706920862197876	0.3422034	No	
row_41	HNRNPU	3451	1.5718865394592285	0.33695787	No	
row_42	DNAJA1	3780	1.385373830795288	0.32124284	No	
row_43	SLC6A8	3785	1.3843774795532227	0.32413128	No	
row_44	PTPRD	3854	1.3374173641204834	0.32323876	No	
row_45	BID	3965	1.2771004438400269	0.31979853	No	
row_46	SLC6A12	4322	1.0985983610153198	0.30182967	No	
row_47	RET	5036	0.8201415538787842	0.26273286	No	
row_48	HTR7	5079	0.8071232438087463	0.26213896	No	
row_49	POLE3	5108	0.7929706573486328	0.26231715	No	
row_50	ATP6V1C1	5234	0.7543805241584778	0.25683817	No	
row_51	ICAM1	5335	0.7215738296508789	0.25272092	No	
row_52	NPTXR	5381	0.7074627876281738	0.25173026	No	
row_53	MRPL23	5592	0.6323420405387878	0.24109529	No	
row_54	IGFBP2	5713	0.5934592485427856	0.23554097	No	
row_55	CEBPG	5846	0.5539293885231018	0.22920853	No	
row_56	AMD1	5994	0.5113523602485657	0.2219188	No	
row_57	GCH1	6026	0.501731812953949	0.22126873	No	
row_58	DDX21	6047	0.49687689542770386	0.22123937	No	
row_59	BTG3	6079	0.48722246289253235	0.22055662	No	
row_60	SPR	6106	0.47979122400283813	0.22014424	No	
row_61	HSPA2	6257	0.4414118528366089	0.21252471	No	
row_62	POLG2	6262	0.4405246078968048	0.21328723	No	
row_63	BCL2L11	6287	0.4344921410083771	0.21288767	No	
row_64	HSPA13	6443	0.39657413959503174	0.20488003	No	
row_65	PSMC3	6468	0.3884052336215973	0.20437667	No	
row_66	GRINA	6552	0.36598825454711914	0.20043473	No	
row_67	DLG4	6973	0.27713701128959656	0.17694043	No	
row_68	CCK	7185	0.23679833114147186	0.1653571	No	
row_69	CDC34	7233	0.2277168482542038	0.16317102	No	
row_70	ONECUT1	7437	0.1925528198480606	0.15194744	No	
row_71	CNP	7617	0.16487696766853333	0.14203973	No	
row_72	CLTB	7696	0.1539735496044159	0.13790737	No	
row_73	FURIN	7748	0.14768821001052856	0.13531135	No	
row_74	KLHDC3	7786	0.1416834592819214	0.13350575	No	
row_75	TMBIM6	7869	0.1284356415271759	0.12908618	No	
row_76	TCHH	7878	0.12701672315597534	0.12891287	No	
row_77	BSG	7911	0.12276330590248108	0.12735178	No	
row_78	PRKCD	8038	0.10588808357715607	0.12035472	No	
