NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AXIN1	2111	2.780306577682495	-0.08139095	No	
row_1	HDAC2	2613	2.239445924758911	-0.07849704	No	
row_2	NKD1	2788	2.0686776638031006	-0.059340924	No	
row_3	SKP2	3330	1.653428316116333	-0.066969804	No	
row_4	KAT2A	3591	1.4866153001785278	-0.060906295	No	
row_5	LEF1	3668	1.437807559967041	-0.045027368	No	
row_6	NCSTN	3848	1.3394079208374023	-0.036410674	No	
row_7	FZD1	4173	1.1693177223205566	-0.038461346	No	
row_8	HDAC11	4197	1.1554311513900757	-0.023527892	No	
row_9	FZD8	4275	1.115867257118225	-0.012232748	No	
row_10	CUL1	5297	0.7371538877487183	-0.06014078	No	
row_11	NCOR2	6077	0.48813125491142273	-0.09773825	No	
row_12	CSNK1E	6208	0.4545537531375885	-0.09876657	No	
row_13	DVL2	6282	0.4359992742538452	-0.09680255	No	
row_14	PPARD	6325	0.42433586716651917	-0.09323321	No	
row_15	PSEN2	6521	0.3729458451271057	-0.099118836	No	
row_16	WNT5B	7079	0.2570092976093292	-0.12729554	No	
row_17	MAML1	7585	0.17047521471977234	-0.1537211	No	
row_18	CTNNB1	8067	0.10320142656564713	-0.17972277	No	
row_19	ADAM17	9837	4.919050115859136E-5	-0.28068665	No	
row_20	WNT6	10770	-0.03122277744114399	-0.33344093	No	
row_21	NOTCH1	10993	-0.04938962683081627	-0.345417	No	
row_22	HEY1	11016	-0.05168325826525688	-0.34594592	No	
row_23	FRAT1	11070	-0.05649625137448311	-0.3481765	No	
row_24	TCF7	11324	-0.08646507561206818	-0.36140054	No	
row_25	MYC	11616	-0.12288565188646317	-0.37628132	No	
row_26	TP53	11864	-0.16370776295661926	-0.38807687	No	
row_27	JAG1	12458	-0.28668925166130066	-0.4178909	No	
row_28	HDAC5	12654	-0.3393670916557312	-0.42424867	No	
row_29	NUMB	13607	-0.7296522855758667	-0.46832407	No	
row_30	JAG2	13869	-0.8527940511703491	-0.47122958	No	
row_31	AXIN2	13894	-0.8629202246665955	-0.46046612	No	
row_32	WNT1	13912	-0.8749454021453857	-0.44913402	No	
row_33	RBPJ	14231	-1.0880111455917358	-0.45198548	No	
row_34	DLL1	15018	-1.801734209060669	-0.47151232	Yes	
row_35	CCND2	15764	-3.067862033843994	-0.47089642	Yes	
row_36	PTCH1	16308	-4.829885482788086	-0.43397626	Yes	
row_37	NOTCH4	16688	-6.959161758422852	-0.35775676	Yes	
row_38	GNAI1	17208	-14.255022048950195	-0.18694285	Yes	
row_39	DKK4	17221	-14.720169067382812	0.019348102	Yes	
