NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TDO2	63	21.803775787353516	0.022450173	No	
row_1	CYFIP2	441	9.706440925598145	0.012360682	No	
row_2	HPRT1	539	8.380593299865723	0.01680066	No	
row_3	PYCR1	646	7.212779998779297	0.019326014	No	
row_4	SHMT2	817	6.089620590209961	0.016824681	No	
row_5	TMEM97	1027	5.163967609405518	0.010971715	No	
row_6	HES6	1048	5.078759670257568	0.015894543	No	
row_7	SERPINE1	1528	3.7131729125976562	-0.007233059	No	
row_8	SMOX	1586	3.611271619796753	-0.00619476	No	
row_9	HGFAC	1725	3.3599181175231934	-0.010118935	No	
row_10	JUP	1814	3.2030582427978516	-0.011353008	No	
row_11	SPINT2	1942	3.01495361328125	-0.015056648	No	
row_12	AHCY	1959	2.9842960834503174	-0.012408463	No	
row_13	SLC35B1	2022	2.9007070064544678	-0.012507728	No	
row_14	CYP2E1	2133	2.7506496906280518	-0.015549044	No	
row_15	CYP2S1	2250	2.6151692867279053	-0.01909771	No	
row_16	AQP9	2482	2.3566112518310547	-0.029574301	No	
row_17	PTS	2546	2.3019909858703613	-0.03044715	No	
row_18	ANGPTL3	2698	2.1620445251464844	-0.036552116	No	
row_19	PTGES3	3264	1.693077564239502	-0.06704528	No	
row_20	GSR	3406	1.6030441522598267	-0.07324324	No	
row_21	ACP1	3594	1.4830702543258667	-0.082232155	No	
row_22	GSS	3638	1.450533151626587	-0.08297222	No	
row_23	RAP1GAP	3741	1.401431918144226	-0.0871667	No	
row_24	ABCC3	3970	1.2704823017120361	-0.09876957	No	
row_25	REG1A	3974	1.2686243057250977	-0.09742503	No	
row_26	CASP6	4194	1.1555837392807007	-0.10864733	No	
row_27	SLC6A12	4322	1.0985983610153198	-0.11464283	No	
row_28	SSR3	4423	1.0518007278442383	-0.11914033	No	
row_29	CFB	4458	1.0354652404785156	-0.11985881	No	
row_30	VTN	4699	0.9397530555725098	-0.13254787	No	
row_31	GART	4725	0.9264028072357178	-0.13287878	No	
row_32	HNF4A	4884	0.8743019104003906	-0.1409267	No	
row_33	ATP2A2	4904	0.867033064365387	-0.1409833	No	
row_34	FETUB	4971	0.8467108607292175	-0.14376925	No	
row_35	CYP17A1	5211	0.7593599557876587	-0.1566165	No	
row_36	TYR	5534	0.6518120169639587	-0.17436934	No	
row_37	CBR1	5613	0.621408224105835	-0.17811537	No	
row_38	DHPS	5968	0.5175730586051941	-0.19787048	No	
row_39	POR	5990	0.5121230483055115	-0.19846664	No	
row_40	GCH1	6026	0.501731812953949	-0.19988099	No	
row_41	MPP2	6163	0.46640950441360474	-0.20715053	No	
row_42	COMT	6201	0.4563310146331787	-0.20873429	No	
row_43	PTGES	6277	0.43723762035369873	-0.21252792	No	
row_44	PPARD	6325	0.42433586716651917	-0.21472548	No	
row_45	LONP1	6391	0.410139262676239	-0.21797597	No	
row_46	GSTO1	6452	0.3936459720134735	-0.22095844	No	
row_47	CNDP2	6592	0.3577517569065094	-0.22853059	No	
row_48	ESR1	6656	0.3403280973434448	-0.23174948	No	
row_49	NINJ1	6789	0.3137337565422058	-0.23897138	No	
row_50	SERPINA6	7040	0.263125479221344	-0.2530452	No	
row_51	BCAT1	7093	0.2535193860530853	-0.2557348	No	
row_52	ASL	7528	0.17835260927677155	-0.2804999	No	
row_53	LEAP2	7627	0.16352038085460663	-0.28594464	No	
row_54	CCL25	7822	0.13516166806221008	-0.29694846	No	
row_55	BCAR1	7823	0.1351252645254135	-0.29678687	No	
