NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	188	-0.78873587	-2.1393085	0.0	0.0	0.0	1499	tags=28%, list=9%, signal=30%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	186	-0.6926629	-1.8839139	0.0	0.0	0.0	1590	tags=24%, list=9%, signal=26%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	145	-0.6921626	-1.8075219	0.0	0.0	0.0	1908	tags=29%, list=11%, signal=32%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	186	-0.6752318	-1.8045497	0.0	0.0	0.0	1794	tags=28%, list=10%, signal=31%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	102	-0.6798325	-1.7177279	0.0016051364	9.7243564E-4	0.005	1575	tags=25%, list=9%, signal=27%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	180	-0.512785	-1.3841614	0.022123894	0.16003852	0.642	1653	tags=17%, list=9%, signal=18%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	85	-0.5391728	-1.3322537	0.0671875	0.22747977	0.814	2340	tags=26%, list=13%, signal=30%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	40	-0.5931146	-1.3192097	0.0877193	0.2233026	0.845	263	tags=8%, list=1%, signal=8%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	134	-0.47857752	-1.247823	0.08018155	0.35881332	0.965	1670	tags=24%, list=10%, signal=26%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	93	-0.48488277	-1.2203254	0.15483871	0.39753297	0.983	1732	tags=22%, list=10%, signal=24%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	180	-0.44099322	-1.198787	0.11328671	0.4201767	0.992	1997	tags=23%, list=11%, signal=26%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	54	-0.4879003	-1.1241679	0.27642277	0.640071	0.999	3726	tags=33%, list=21%, signal=42%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	40	-0.5140327	-1.121686	0.31130436	0.5992053	1.0	1798	tags=13%, list=10%, signal=14%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	45	-0.48593864	-1.0863621	0.36026937	0.6828868	1.0	1920	tags=22%, list=11%, signal=25%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	151	-0.4022796	-1.0711609	0.31721196	0.6909742	1.0	2098	tags=17%, list=12%, signal=19%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	183	-0.39602235	-1.0638424	0.31424582	0.67213714	1.0	1754	tags=16%, list=10%, signal=17%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	89	-0.42722195	-1.0533218	0.37362638	0.66663784	1.0	2449	tags=22%, list=14%, signal=26%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	187	-0.37520185	-1.0243951	0.40233237	0.72587264	1.0	2771	tags=28%, list=16%, signal=33%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	193	-0.36582062	-0.9946492	0.46852124	0.7871246	1.0	1457	tags=13%, list=8%, signal=15%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	186	-0.36553448	-0.9935412	0.46563816	0.7514488	1.0	2011	tags=19%, list=11%, signal=22%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		195	-0.35885307	-0.9759613	0.50722545	0.7717871	1.0	2561	tags=20%, list=15%, signal=23%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		191	-0.35998076	-0.97257143	0.5276596	0.7478363	1.0	2125	tags=17%, list=12%, signal=19%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		186	-0.34529	-0.9289176	0.5973451	0.8452811	1.0	3228	tags=23%, list=18%, signal=28%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		123	-0.34685117	-0.9072849	0.65793526	0.8730414	1.0	2126	tags=25%, list=12%, signal=28%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		180	-0.3318124	-0.8988611	0.68685377	0.86063695	1.0	3031	tags=17%, list=17%, signal=20%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		33	-0.41985407	-0.8907693	0.6507092	0.84995615	1.0	1254	tags=9%, list=7%, signal=10%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		67	-0.36014068	-0.8604658	0.72651005	0.89876926	1.0	2238	tags=19%, list=13%, signal=22%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		32	-0.39400363	-0.84116316	0.7091222	0.91248935	1.0	1052	tags=9%, list=6%, signal=10%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		94	-0.31218365	-0.7766842	0.8906009	1.0	1.0	1576	tags=9%, list=9%, signal=9%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		175	-0.286446	-0.77563816	0.9510086	0.9745687	1.0	2661	tags=18%, list=15%, signal=21%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		187	-0.28034058	-0.7610338	0.972106	0.9618799	1.0	2755	tags=16%, list=16%, signal=19%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		26	-0.37021238	-0.7562152	0.80526316	0.93763644	1.0	2318	tags=27%, list=13%, signal=31%	
