NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	184	0.83310306	2.4514098	0.0	0.0	0.0	1791	tags=56%, list=10%, signal=62%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	181	0.81942374	2.4086962	0.0	0.0	0.0	1506	tags=43%, list=9%, signal=47%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	186	0.69174385	2.0510104	0.0	0.0	0.0	3633	tags=50%, list=21%, signal=62%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	191	0.6509267	1.9530959	0.0	0.0	0.0	749	tags=17%, list=4%, signal=17%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	111	0.66204846	1.8690848	0.0	2.117647E-4	0.001	924	tags=19%, list=5%, signal=20%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	56	0.7283175	1.8478625	0.0	1.7647058E-4	0.001	3560	tags=68%, list=20%, signal=85%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	186	0.60541815	1.8163345	0.0	1.5126051E-4	0.001	3009	tags=38%, list=17%, signal=45%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	104	0.5748262	1.6075332	0.0	0.0050498666	0.036	3342	tags=32%, list=19%, signal=39%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	139	0.52446836	1.5128627	0.006060606	0.014161557	0.109	3967	tags=39%, list=23%, signal=50%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	189	0.46532413	1.3886814	0.010344828	0.0453311	0.349	1770	tags=24%, list=10%, signal=27%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	189	0.46347678	1.3880502	0.0032786885	0.041488726	0.351	2126	tags=25%, list=12%, signal=28%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	180	0.3510954	1.0505184	0.31632653	0.49243516	0.997	2199	tags=14%, list=13%, signal=16%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	147	0.35484385	1.028028	0.39490446	0.5186893	0.998	1661	tags=17%, list=9%, signal=19%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	175	0.3420529	1.0174482	0.39739415	0.5129349	0.999	2001	tags=18%, list=11%, signal=20%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	35	0.4330354	1.0040878	0.4256927	0.5163088	0.999	1563	tags=26%, list=9%, signal=28%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	158	0.3211018	0.94264275	0.5825243	0.663021	1.0	2855	tags=22%, list=16%, signal=26%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	100	0.32711926	0.9149105	0.6452514	0.7085076	1.0	3651	tags=26%, list=21%, signal=33%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	91	0.28158492	0.7714684	0.9496021	0.9473938	1.0	3627	tags=19%, list=21%, signal=23%	
