id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CA4	703.665815666144	-8.72148173157758	0.603211424887184	-14.4584160242136	2.21844532392461e-47	3.82149391499253e-43
MMP13	405.388218469186	7.37293372270308	0.692319845453909	10.6496062060291	1.75104216236246e-26	1.50817261444279e-22
ATP1A2	5049.65296242487	-7.47694817053049	0.713608732732414	-10.4776578923035	1.09419945487453e-25	6.28289326988956e-22
HBB	7420.39267851048	-6.67303582760785	0.685768560625636	-9.73074038494846	2.22964130905074e-22	9.60195029742701e-19
ATOH8	705.913707054108	-4.49387521864507	0.468920924269455	-9.58343930940214	9.38659889080631e-22	3.23387104986059e-18
SCN3A	181.967158657583	-3.32686697280074	0.359064254642906	-9.26538058239561	1.94382855362915e-20	5.5807317774693e-17
ABCA5	1530.96501081629	-1.87094514327394	0.209474390024794	-8.93161757412202	4.19824555356816e-19	1.03312825579664e-15
ADAMTS14	154.328236910193	4.06061997696092	0.460808612082668	8.81194463490724	1.22993370146705e-18	2.64835474268392e-15
GJB2	2326.18905460297	5.57657089807625	0.636353551191033	8.76332172208176	1.89579616465054e-18	3.62855385914114e-15
SOD3	3561.31659058927	-4.2455232406861	0.48514208929355	-8.75109237969501	2.11297311083079e-18	3.63980748071712e-15
FGF2	3226.52222680249	-4.06458250525107	0.468726420705619	-8.67154554490925	4.2629404684138e-18	6.67576477353601e-15
COL10A1	4376.20261171075	6.30952383572985	0.732412138189019	8.6147177343769	7.01141172514191e-18	1.00648815314412e-14
BTNL9	4907.13310095813	-5.71276976044039	0.669727642302542	-8.52998950558428	1.46360993245129e-17	1.93939574587738e-14
MMP11	9462.81246087808	5.86777008007296	0.689741888524245	8.50719693511365	1.78188729959218e-17	2.19248504448392e-14
HSD17B6	155.526802154654	3.54613671505332	0.417773089146641	8.48818846205913	2.09883009249532e-17	2.41029647822163e-14
CES1	5781.46541266166	-4.63636550463683	0.546818522734037	-8.47880112300417	2.27526212579044e-17	2.44960408617913e-14
COL11A1	9282.31133252429	7.7893745019772	0.922624018774261	8.44263138989776	3.10272351510237e-17	3.14397148653843e-14
HBA2	4685.93565115223	-5.93690611852287	0.704490917190792	-8.42722876001966	3.53947490074426e-17	3.38727748001225e-14
AKR1C2	7137.91101093811	-5.06381732643236	0.60594218896596	-8.35693143445542	6.43706878426569e-17	5.83604983567162e-14
FHL1	46817.7277178062	-5.42549906076684	0.654270524039097	-8.29243999450391	1.10948643205226e-16	9.55600663926609e-14
SDPR	4263.99705305572	-4.36056847026921	0.526471342348416	-8.28263215775078	1.20482133882649e-16	9.88297732505961e-14
CFD	10647.2205129495	-5.62275729708449	0.685470926803492	-8.20276554004221	2.34919088274198e-16	1.83941646118697e-13
HSD17B13	503.315886757634	-6.27322612824071	0.772048460077216	-8.12543053011634	4.45777251869355e-16	3.338677800305e-13
LEP	13342.2259674228	-7.43355985942878	0.920981667973341	-8.07134399948117	6.95285176678014e-16	4.99040935560644e-13
FAM107A	2431.25902275353	-4.15300094222378	0.5199753611632	-7.98691871271246	1.3835325286585e-15	9.53309253546853e-13
MYOC	905.985098364436	-7.28555362826201	0.913652859060893	-7.97409383225762	1.53502887493015e-15	1.01701566921334e-12
LYVE1	4889.60070233877	-5.71377498455256	0.719402851022148	-7.94238579459933	1.98328937781491e-15	1.22684404414637e-12
ITIH5	13891.8018759624	-4.62655313668863	0.582564058494275	-7.94170712942137	1.9941735304829e-15	1.22684404414637e-12
SCN4A	971.070216124537	-5.43616966603733	0.685351691229415	-7.931941710519	2.15745701881123e-15	1.28152946917387e-12
AQPEP	1292.16061085753	-6.90057083090182	0.873661916162824	-7.89844527183873	2.82403725980011e-15	1.62156219457722e-12
ADAMTS5	3809.09617035689	-3.02337704494634	0.386446242507457	-7.82353847026472	5.13588517583162e-15	2.85389542060889e-12
CPA1	89.095368280067	-6.99721327585742	0.900221946731779	-7.77276459573168	7.67913737147213e-15	4.13377563628059e-12
