NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SDHC	n/a	1072	0.8890858292579651	-0.050567217	No	
row_1	RAB34	n/a	1458	0.8129687905311584	-0.06424202	No	
row_2	ALDOA	n/a	1704	0.7716196775436401	-0.0706335	No	
row_3	ABCB8	n/a	1871	0.7500020861625671	-0.07289953	No	
row_4	MTCH2	n/a	2162	0.7123346924781799	-0.08229159	No	
row_5	NDUFAB1	n/a	2428	0.6808094382286072	-0.09060244	No	
row_6	SLC5A6	n/a	2650	0.6564775705337524	-0.09672726	No	
row_7	ORM1	n/a	3049	0.6157072186470032	-0.112905815	No	
row_8	MDH2	n/a	3173	0.6021761894226074	-0.11416274	No	
row_9	COX6A1	n/a	3185	0.601128876209259	-0.10930194	No	
row_10	MRPL15	n/a	3256	0.594273030757904	-0.107731186	No	
row_11	UQCR10	n/a	4141	0.5186083912849426	-0.15137999	No	
row_12	IDH3G	n/a	4431	0.4964299499988556	-0.16267931	No	
row_13	ATL2	n/a	4524	0.4891248941421509	-0.16326763	No	
row_14	COX7B	n/a	4743	0.4736236333847046	-0.17088996	No	
row_15	AK2	n/a	5262	0.4399949014186859	-0.19523016	No	
row_16	PFKL	n/a	5282	0.43883076310157776	-0.19228186	No	
row_17	ATP1B3	n/a	5581	0.41920146346092224	-0.20477535	No	
row_18	RETN	n/a	5591	0.41873815655708313	-0.20146255	No	
row_19	PREB	n/a	5654	0.414946585893631	-0.2010837	No	
row_20	CYC1	n/a	5738	0.40909290313720703	-0.20190692	No	
row_21	JAGN1	n/a	5777	0.4066130220890045	-0.20029083	No	
row_22	GPD2	n/a	6355	0.364114373922348	-0.22854832	No	
row_23	TOB1	n/a	6736	0.3354499936103821	-0.2462889	No	
row_24	AIFM1	n/a	7040	0.31222429871559143	-0.26002806	No	
row_25	ELOVL6	n/a	7120	0.3055853247642517	-0.26157302	No	
row_26	ACLY	n/a	7269	0.2945229411125183	-0.26699337	No	
row_27	HSPB8	n/a	7319	0.2901584506034851	-0.2670373	No	
row_28	POR	n/a	7375	0.28572922945022583	-0.26744974	No	
row_29	NDUFS3	n/a	7440	0.2795570492744446	-0.26841062	No	
row_30	SLC19A1	n/a	7450	0.27859169244766235	-0.26637137	No	
row_31	ARAF	n/a	7643	0.26256927847862244	-0.2744892	No	
row_32	SLC25A10	n/a	7763	0.25275731086730957	-0.27870256	No	
row_33	PTCD3	n/a	7928	0.23977486789226532	-0.2854957	No	
row_34	COQ9	n/a	8120	0.22266779839992523	-0.2939214	No	
row_35	PDCD4	n/a	8215	0.21297532320022583	-0.2971286	No	
row_36	NDUFA5	n/a	8261	0.20915348827838898	-0.2976898	No	
row_37	SOD1	n/a	8332	0.202839657664299	-0.2996761	No	
row_38	IMMT	n/a	8537	0.18540184199810028	-0.30915165	No	
row_39	COQ3	n/a	8646	0.17626482248306274	-0.3134583	No	
row_40	TKT	n/a	9011	0.14261318743228912	-0.33207592	No	
row_41	GPHN	n/a	9075	0.13669583201408386	-0.3342803	No	
row_42	COX8A	n/a	9251	0.11925165355205536	-0.34277046	No	
row_43	UQCRC1	n/a	9339	0.11223313957452774	-0.34651014	No	
row_44	PIM3	n/a	9367	0.10976888984441757	-0.34698975	No	
row_45	GADD45A	n/a	9418	0.10535705089569092	-0.34876773	No	
row_46	BAZ2A	n/a	9428	0.10427549481391907	-0.34831253	No	
row_47	CMBL	n/a	9493	0.09913936257362366	-0.3509129	No	
row_48	DHCR7	n/a	9510	0.09790116548538208	-0.3508986	No	
row_49	SLC25A1	n/a	9554	0.09426654130220413	-0.3523944	No	
row_50	UBQLN1	n/a	9618	0.08988337218761444	-0.3550242	No	
row_51	IDH3A	n/a	9959	0.059410739690065384	-0.37308487	No	
row_52	GHITM	n/a	9978	0.057723093777894974	-0.37354508	No	
row_53	BCKDHA	n/a	10002	0.055316705256700516	-0.37430066	No	
row_54	LPCAT3	n/a	10063	0.04983719438314438	-0.37713024	No	
row_55	DHRS7	n/a	10337	0.02225681208074093	-0.39186317	No	
row_56	ADIG	n/a	10597	-0.004437601659446955	-0.4059921	No	
row_57	COL4A1	n/a	11028	-0.049841251224279404	-0.42906344	No	
row_58	UBC	n/a	11427	-0.09169609099626541	-0.4500038	No	
