NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD80	n/a	70	1.5686249732971191	0.014196037	Yes	
row_1	TPD52	n/a	350	1.1544102430343628	0.012201718	Yes	
row_2	RIPK2	n/a	444	1.1019351482391357	0.019777255	Yes	
row_3	INHBA	n/a	529	1.0571807622909546	0.02733077	Yes	
row_4	CCL11	n/a	548	1.0494061708450317	0.038404662	Yes	
row_5	NME1	n/a	555	1.0466300249099731	0.050102968	Yes	
row_6	NPM1	n/a	565	1.0422871112823486	0.06158729	Yes	
row_7	ICOSLG	n/a	680	0.9878960847854614	0.0667039	Yes	
row_8	CSK	n/a	739	0.9728788137435913	0.074710734	Yes	
row_9	IL12B	n/a	941	0.9159117341041565	0.07424194	Yes	
row_10	IL18	n/a	1127	0.8765361309051514	0.07419577	Yes	
row_11	TIMP1	n/a	1181	0.8642465472221375	0.08122782	Yes	
row_12	RPS19	n/a	1259	0.847891628742218	0.086759314	Yes	
row_13	THY1	n/a	1281	0.8436814546585083	0.09530522	Yes	
row_14	IL11	n/a	1320	0.8355903625488281	0.102828376	Yes	
row_15	CRTAM	n/a	1389	0.8238836526870728	0.10857624	Yes	
row_16	PRKCG	n/a	1596	0.7903459668159485	0.10639114	Yes	
row_17	F2R	n/a	1618	0.7872325778007507	0.11428841	Yes	
row_18	AKT1	n/a	1628	0.7853427529335022	0.12282028	Yes	
row_19	MMP9	n/a	1631	0.7840597033500671	0.13172024	Yes	
row_20	CXCL9	n/a	1993	0.7335338592529297	0.12040499	Yes	
row_21	MRPL3	n/a	2087	0.7221763134002686	0.12361685	Yes	
row_22	GALNT1	n/a	2109	0.7198431491851807	0.13073978	Yes	
row_23	TAP1	n/a	2159	0.7126846313476562	0.13624905	Yes	
row_24	CCL22	n/a	2201	0.7073952555656433	0.14213508	Yes	
row_25	EIF5A	n/a	2304	0.6951121091842651	0.14454372	Yes	
row_26	TRAF2	n/a	2464	0.6762012839317322	0.14361759	Yes	
row_27	IRF7	n/a	2560	0.6673082113265991	0.1460896	Yes	
row_28	TAPBP	n/a	2716	0.648542046546936	0.1450644	Yes	
row_29	BRCA1	n/a	2744	0.6454091668128967	0.15100387	Yes	
row_30	CDKN2A	n/a	2984	0.6208776831626892	0.14506662	Yes	
row_31	CD47	n/a	3014	0.6183319091796875	0.15058558	Yes	
row_32	RPL39	n/a	3043	0.616234540939331	0.15613511	Yes	
row_33	CXCL13	n/a	3147	0.6046837568283081	0.15744999	Yes	
row_34	UBE2N	n/a	3220	0.5974498391151428	0.1603772	Yes	
row_35	F2	n/a	3618	0.5602477788925171	0.14510185	No	
row_36	CCL5	n/a	3721	0.550784707069397	0.14585207	No	
row_37	NOS2	n/a	3750	0.5472924709320068	0.15060942	No	
row_38	TGFB1	n/a	3839	0.5408762097358704	0.15201148	No	
row_39	HIF1A	n/a	3866	0.5387502908706665	0.15678008	No	
row_40	MTIF2	n/a	4035	0.5264330506324768	0.15364078	No	
row_41	PTPN6	n/a	4303	0.5054740905761719	0.14484607	No	
row_42	CCL7	n/a	4363	0.500954270362854	0.1473755	No	
row_43	ABCE1	n/a	4637	0.480528324842453	0.13796599	No	
row_44	CD8B	n/a	4669	0.47829923033714294	0.14176649	No	
