NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BGN	n/a	5	2.4818012714385986	0.027650123	No	
row_1	HSPB1	n/a	54	1.6406614780426025	0.04348799	No	
row_2	TOP2A	n/a	103	1.4653135538101196	0.05735298	No	
row_3	DIABLO	n/a	157	1.3481090068817139	0.069626205	No	
row_4	CASP2	n/a	316	1.1802113056182861	0.074275814	No	
row_5	DAP3	n/a	388	1.1302739381790161	0.08311507	No	
row_6	BAX	n/a	409	1.1207307577133179	0.09463232	No	
row_7	SLC20A1	n/a	448	1.100609302520752	0.10494011	No	
row_8	CDC25B	n/a	453	1.0990017652511597	0.117086716	No	
row_9	CDK2	n/a	689	0.9848436117172241	0.11533286	No	
row_10	CASP3	n/a	754	0.9675831198692322	0.12272395	No	
row_11	AIFM3	n/a	823	0.9450196027755737	0.12964272	No	
row_12	ENO2	n/a	1019	0.8982932567596436	0.12909967	No	
row_13	IL18	n/a	1127	0.8765361309051514	0.13311793	No	
row_14	TIMP1	n/a	1181	0.8642465472221375	0.13994713	No	
row_15	PMAIP1	n/a	1359	0.828463613986969	0.13960148	No	
row_16	ERBB3	n/a	1425	0.8187355399131775	0.14526325	No	
row_17	PPT1	n/a	1472	0.8107980489730835	0.1518734	No	
row_18	FDXR	n/a	1550	0.7972727417945862	0.15663831	No	
row_19	F2R	n/a	1618	0.7872325778007507	0.1618364	No	
row_20	PTK2	n/a	2048	0.7279692888259888	0.1465971	No	
row_21	DNAJA1	n/a	2129	0.7170326709747314	0.15029536	No	
row_22	TAP1	n/a	2159	0.7126846313476562	0.15673007	No	
row_23	NEFH	n/a	2257	0.700908899307251	0.15931848	No	
row_24	IER3	n/a	2312	0.6940106749534607	0.16417772	No	
row_25	BMF	n/a	2331	0.6919435262680054	0.17097983	No	
row_26	RHOT2	n/a	2558	0.6673932075500488	0.1661458	No	
row_27	GSR	n/a	2570	0.6655274629592896	0.17303301	No	
row_28	BRCA1	n/a	2744	0.6454091668128967	0.17084624	No	
row_29	IFNB1	n/a	2855	0.6323567032814026	0.17195335	No	
row_30	SAT1	n/a	3088	0.6112961769104004	0.1661605	No	
row_31	CASP6	n/a	3278	0.5922276377677917	0.16250151	No	
row_32	DNM1L	n/a	3425	0.5799463391304016	0.16105282	No	
row_33	HMGB2	n/a	3455	0.5770059823989868	0.16596098	No	
row_34	F2	n/a	3618	0.5602477788925171	0.1634168	No	
row_35	ANKH	n/a	3655	0.5582444071769714	0.16773158	No	
row_36	KRT18	n/a	3727	0.5499891042709351	0.17004195	No	
row_37	TNFRSF12A	n/a	4176	0.5158883929252625	0.1513788	No	
row_38	BID	n/a	4208	0.5138065218925476	0.15546666	No	
row_39	CCNA1	n/a	4430	0.4964900016784668	0.14898285	No	
row_40	ERBB2	n/a	4664	0.4788956046104431	0.14164571	No	
row_41	IFITM3	n/a	4704	0.4761333167552948	0.14487278	No	
row_42	ISG20	n/a	5008	0.4545024633407593	0.13343814	No	
