NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSD17B6	n/a	21	1.8647137880325317	0.029149024	No	
row_1	PEX13	n/a	1413	0.8207441568374634	-0.033292577	No	
row_2	FDXR	n/a	1550	0.7972727417945862	-0.027749186	No	
row_3	NR1I2	n/a	1620	0.7864932417869568	-0.018731082	No	
row_4	SLC35B2	n/a	1794	0.7596603631973267	-0.0158143	No	
row_5	SLC27A5	n/a	1921	0.7442988157272339	-0.010586743	No	
row_6	DIO1	n/a	3110	0.6091522574424744	-0.06540728	No	
row_7	AMACR	n/a	3282	0.5915436744689941	-0.06511267	No	
row_8	PFKM	n/a	3404	0.5817018747329712	-0.06225419	No	
row_9	IDH2	n/a	3562	0.5653169751167297	-0.061622992	No	
row_10	KLF1	n/a	3623	0.5601245164871216	-0.05579206	No	
row_11	SLC22A18	n/a	3924	0.534288227558136	-0.06345488	No	
row_12	SLC23A1	n/a	4149	0.5182169079780579	-0.06723867	No	
row_13	HAO1	n/a	4533	0.48826348781585693	-0.08017062	No	
row_14	AQP9	n/a	4694	0.47678807377815247	-0.08114103	No	
row_15	PIPOX	n/a	5439	0.42914214730262756	-0.11469895	No	
row_16	RBP1	n/a	6486	0.3557135760784149	-0.16590123	No	
row_17	GNPAT	n/a	6531	0.35211145877838135	-0.16257794	No	
row_18	PRDX5	n/a	6659	0.3410978615283966	-0.16395502	No	
row_19	SULT2B1	n/a	6723	0.336762011051178	-0.16191612	No	
row_20	HSD3B7	n/a	6894	0.3233010768890381	-0.16592474	No	
row_21	DHCR24	n/a	7060	0.3108806312084198	-0.16986276	No	
row_22	LCK	n/a	7287	0.2933129072189331	-0.17740916	No	
row_23	FADS1	n/a	7611	0.26490387320518494	-0.19070116	No	
row_24	PEX1	n/a	7695	0.2590804100036621	-0.19101374	No	
row_25	SERPINA6	n/a	8109	0.2234869748353958	-0.20988134	No	
row_26	SOD1	n/a	8332	0.202839657664299	-0.2186796	No	
row_27	CYP8B1	n/a	8366	0.19943086802959442	-0.21723744	No	
row_28	PEX26	n/a	8507	0.1877615600824356	-0.22181371	No	
row_29	PEX7	n/a	8722	0.16960053145885468	-0.23071615	No	
row_30	ABCD3	n/a	9366	0.10997887700796127	-0.26395702	No	
row_31	CYP39A1	n/a	9412	0.10587339103221893	-0.26468843	No	
row_32	ATXN1	n/a	9585	0.09203846752643585	-0.27256295	No	
row_33	PEX16	n/a	9626	0.08899212628602982	-0.27329627	No	
row_34	ABCA3	n/a	9682	0.08403406292200089	-0.27492723	No	
row_35	DIO2	n/a	9723	0.08056642860174179	-0.2757974	No	
row_36	TFCP2L1	n/a	9760	0.07807494699954987	-0.27649015	No	
row_37	CYP27A1	n/a	10377	0.017623141407966614	-0.30976054	No	
row_38	TTR	n/a	10645	-0.009411167353391647	-0.3241525	No	
row_39	FADS2	n/a	10707	-0.014985031448304653	-0.32723203	No	
row_40	ALDH8A1	n/a	10844	-0.03041783533990383	-0.33414653	No	
row_41	PAOX	n/a	10854	-0.031180523335933685	-0.33413026	No	
row_42	CH25H	n/a	11147	-0.06106344237923622	-0.34904498	No	
row_43	ABCG4	n/a	11387	-0.0868629664182663	-0.36065343	No	
row_44	PEX12	n/a	11415	-0.09009057283401489	-0.3606607	No	
row_45	AR	n/a	11574	-0.1074429303407669	-0.36752233	No	
row_46	ABCD1	n/a	11607	-0.11222534626722336	-0.36744237	No	
row_47	SOAT2	n/a	11634	-0.11446060985326767	-0.36699927	No	
row_48	GNMT	n/a	11865	-0.1428554505109787	-0.37720782	No	
row_49	ABCA4	n/a	11932	-0.1487591415643692	-0.37838653	No	
row_50	CYP7B1	n/a	11980	-0.1551642119884491	-0.37842613	No	
row_51	PXMP2	n/a	12695	-0.23836469650268555	-0.41344905	No	
row_52	CROT	n/a	12698	-0.23873770236968994	-0.40967962	No	
row_53	GSTK1	n/a	12820	-0.2513327896595001	-0.4121881	No	
row_54	LONP2	n/a	12839	-0.2535414695739746	-0.40904978	No	
row_55	SULT1B1	n/a	12918	-0.2634170353412628	-0.40901953	No	
row_56	GCLM	n/a	12922	-0.26381978392601013	-0.4048971	No	
row_57	ABCA2	n/a	13093	-0.28456929326057434	-0.40953493	No	
row_58	PEX6	n/a	13106	-0.2867850065231323	-0.4055297	No	
row_59	PEX11A	n/a	13150	-0.2926499545574188	-0.40311792	No	
row_60	PHYH	n/a	13276	-0.3071253299713135	-0.40493795	No	
row_61	BMP6	n/a	13346	-0.3144333064556122	-0.40358865	No	
row_62	APOA1	n/a	13380	-0.3194054067134857	-0.40019745	No	
row_63	IDI1	n/a	13588	-0.3415048122406006	-0.40592593	No	
row_64	PEX11G	n/a	13769	-0.3668155074119568	-0.4097724	No	
row_65	NR0B2	n/a	14030	-0.3960026502609253	-0.4175027	No	
row_66	NR1H4	n/a	14350	-0.43844538927078247	-0.42775756	Yes	
row_67	AKR1D1	n/a	14422	-0.4469907283782959	-0.42436376	Yes	
row_68	OPTN	n/a	14426	-0.4476841390132904	-0.4172544	Yes	
row_69	SLCO1A2	n/a	14522	-0.46170809864997864	-0.41492888	Yes	
row_70	NUDT12	n/a	14541	-0.46316471695899963	-0.40838516	Yes	
row_71	NPC1	n/a	14594	-0.4723559617996216	-0.40354425	Yes	
row_72	NEDD4	n/a	14596	-0.47241318225860596	-0.39592418	Yes	
row_73	HSD3B1	n/a	14730	-0.493832528591156	-0.39514688	Yes	
row_74	SLC23A2	n/a	14812	-0.5055299401283264	-0.39134684	Yes	
row_75	SLC27A2	n/a	14914	-0.5180923342704773	-0.3884322	Yes	
row_76	ACSL5	n/a	15012	-0.5363847613334656	-0.38500252	Yes	
row_77	ALDH9A1	n/a	15147	-0.5554875135421753	-0.38327807	Yes	
row_78	BBOX1	n/a	15303	-0.5783604979515076	-0.38232604	Yes	
row_79	EFHC1	n/a	15453	-0.6028181910514832	-0.3806498	Yes	
row_80	PNPLA8	n/a	15507	-0.6115834712982178	-0.3736016	Yes	
row_81	ABCG8	n/a	15765	-0.6537953615188599	-0.3769805	Yes	
row_82	RXRA	n/a	15814	-0.6636320352554321	-0.36881438	Yes	
row_83	BCAR3	n/a	15946	-0.6865912675857544	-0.36479667	Yes	
row_84	EPHX2	n/a	15960	-0.688893735408783	-0.3543135	Yes	
row_85	HACL1	n/a	16142	-0.7231333255767822	-0.3524259	Yes	
row_86	RXRG	n/a	16206	-0.7352744936943054	-0.34391302	Yes	
row_87	PEX19	n/a	16276	-0.7517760992050171	-0.3354589	Yes	
row_88	ABCD2	n/a	16449	-0.7885522842407227	-0.33201832	Yes	
row_89	PECR	n/a	16545	-0.8050848245620728	-0.32411453	Yes	
row_90	SCP2	n/a	16697	-0.8386750817298889	-0.31871566	Yes	
row_91	ISOC1	n/a	16715	-0.8430618047714233	-0.30594587	Yes	
row_92	ACSL1	n/a	16737	-0.8490573763847351	-0.29329658	Yes	
row_93	ABCA1	n/a	16739	-0.8498708009719849	-0.2795446	Yes	
row_94	MLYCD	n/a	16755	-0.8546061515808105	-0.2664783	Yes	
row_95	HSD17B4	n/a	16765	-0.8555097579956055	-0.25307047	Yes	
row_96	IDH1	n/a	17036	-0.9176884293556213	-0.25287056	Yes	
row_97	AGXT	n/a	17294	-0.9892784357070923	-0.25079945	Yes	
row_98	HSD17B11	n/a	17502	-1.0553288459777832	-0.24493158	Yes	
row_99	CAT	n/a	17580	-1.0836423635482788	-0.23152198	Yes	
row_100	CYP46A1	n/a	17752	-1.1421072483062744	-0.22228324	Yes	
row_101	LIPE	n/a	17832	-1.1763339042663574	-0.20747678	Yes	
row_102	RETSAT	n/a	17850	-1.1851779222488403	-0.18914919	Yes	
row_103	ABCA8	n/a	17994	-1.2465647459030151	-0.1766882	Yes	
row_104	ABCA6	n/a	18014	-1.2592853307724	-0.15726565	Yes	
row_105	ABCA9	n/a	18083	-1.2945871353149414	-0.13993888	Yes	
