NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TRIB3	n/a	1	2.6320722103118896	0.069690354	Yes	
row_1	MAL2	n/a	61	1.6271986961364746	0.109600686	Yes	
row_2	GPX8	n/a	286	1.2054755687713623	0.12936684	Yes	
row_3	CD9	n/a	498	1.0747861862182617	0.14637667	Yes	
row_4	ATF5	n/a	773	0.9615148305892944	0.15696037	Yes	
row_5	TMEM97	n/a	952	0.9110987782478333	0.17142667	Yes	
row_6	PMVK	n/a	960	0.9095991253852844	0.19514874	Yes	
row_7	PLAUR	n/a	1522	0.8019720911979675	0.18590365	Yes	
row_8	S100A11	n/a	2052	0.727490246295929	0.17642446	Yes	
row_9	PDK3	n/a	2083	0.7226850986480713	0.1939434	Yes	
row_10	SQLE	n/a	2330	0.6921849846839905	0.19891246	Yes	
row_11	ACTG1	n/a	2527	0.6698572039604187	0.20600785	Yes	
row_12	GLDC	n/a	2892	0.6294460296630859	0.20290002	No	
row_13	CBS	n/a	3480	0.5740298628807068	0.18620157	No	
row_14	SREBF2	n/a	3785	0.5446118116378784	0.18410738	No	
row_15	HSD17B7	n/a	3973	0.5309703946113586	0.1880118	No	
row_16	ETHE1	n/a	4168	0.5166143774986267	0.19115528	No	
row_17	TNFRSF12A	n/a	4176	0.5158883929252625	0.20444478	No	
row_18	TP53INP1	n/a	4959	0.45804664492607117	0.17407288	No	
row_19	NSDHL	n/a	5727	0.40984001755714417	0.14323898	No	
row_20	EBP	n/a	6276	0.37020763754844666	0.12325966	No	
row_21	ANXA13	n/a	6759	0.3336902856826782	0.10590045	No	
row_22	FDPS	n/a	6870	0.32539787888526917	0.10854329	No	
row_23	FBXO6	n/a	7412	0.2828787863254547	0.08663045	No	
row_24	ATXN2	n/a	7437	0.2798587679862976	0.09274153	No	
row_25	ACAT2	n/a	7653	0.26180317997932434	0.08799147	No	
row_26	ERRFI1	n/a	7867	0.2466348558664322	0.0829482	No	
row_27	CXCL16	n/a	7886	0.24466079473495483	0.08845276	No	
row_28	CTNNB1	n/a	7906	0.24259069561958313	0.093848094	No	
row_29	STX5	n/a	8546	0.18497347831726074	0.06401371	No	
row_30	CYP51A1	n/a	8585	0.18206000328063965	0.066772275	No	
row_31	PLSCR1	n/a	9000	0.1438247263431549	0.048078455	No	
row_32	DHCR7	n/a	9510	0.09790116548538208	0.023003586	No	
row_33	STARD4	n/a	10092	0.046613119542598724	-0.0073442115	No	
row_34	FABP5	n/a	10509	0.004542751703411341	-0.02983745	No	
row_35	LDLR	n/a	10563	-3.4700887044891715E-4	-0.032709315	No	
row_36	ATF3	n/a	10643	-0.009122325107455254	-0.036762003	No	
row_37	FADS2	n/a	10707	-0.014985031448304653	-0.039789587	No	
row_38	CHKA	n/a	10892	-0.03532952442765236	-0.0488556	No	
row_39	ALCAM	n/a	10894	-0.035867560654878616	-0.04795954	No	
row_40	MVK	n/a	11727	-0.125716432929039	-0.08985552	No	
row_41	HMGCR	n/a	11768	-0.13185855746269226	-0.08853592	No	
row_42	PCYT2	n/a	11812	-0.1359790712594986	-0.08727021	No	
row_43	NFIL3	n/a	11904	-0.14619506895542145	-0.088343054	No	
row_44	MVD	n/a	12605	-0.22843918204307556	-0.12034162	No	
row_45	CPEB2	n/a	12729	-0.24174164235591888	-0.12062218	No	
row_46	HMGCS1	n/a	12924	-0.26389288902282715	-0.12417531	No	
row_47	FASN	n/a	12990	-0.27213260531425476	-0.12049771	No	
row_48	JAG1	n/a	13004	-0.27440422773361206	-0.11393321	No	
row_49	ABCA2	n/a	13093	-0.28456929326057434	-0.11117634	No	
row_50	FDFT1	n/a	13287	-0.308339387178421	-0.11349737	No	
row_51	IDI1	n/a	13588	-0.3415048122406006	-0.12075606	No	
row_52	GUSB	n/a	13772	-0.36713725328445435	-0.12097546	No	
row_53	SEMA3B	n/a	13861	-0.37652596831321716	-0.11578191	No	
row_54	LSS	n/a	14454	-0.4518631100654602	-0.13598934	No	
row_55	ADH4	n/a	14526	-0.4619430899620056	-0.1276083	No	
row_56	ALDOC	n/a	14903	-0.516673743724823	-0.13435669	No	
row_57	SCD	n/a	14948	-0.5247014760971069	-0.122844964	No	
row_58	GSTM2	n/a	15221	-0.5661475658416748	-0.122628994	No	
row_59	CLU	n/a	15334	-0.585335910320282	-0.11320703	No	
row_60	AVPR1A	n/a	15402	-0.5960525870323181	-0.10105491	No	
row_61	PNRC1	n/a	15725	-0.6445975303649902	-0.10147815	No	
row_62	TM7SF2	n/a	15792	-0.6590978503227234	-0.0876011	No	
row_63	LPL	n/a	16787	-0.8603286147117615	-0.11883757	No	
row_64	ACSS2	n/a	16878	-0.8829681873321533	-0.10033303	No	
row_65	ANTXR2	n/a	16915	-0.8906319737434387	-0.07868999	No	
row_66	ANXA5	n/a	17157	-0.9496563673019409	-0.066626646	No	
row_67	ECH1	n/a	17169	-0.953720211982727	-0.0419529	No	
row_68	LGALS3	n/a	17442	-1.0346704721450806	-0.029322002	No	
row_69	GNAI1	n/a	17496	-1.0531220436096191	-0.0042974097	No	
row_70	PPARG	n/a	17534	-1.0657886266708374	0.021932578	No	
row_71	LGMN	n/a	17583	-1.0842597484588623	0.048054054	No	
