NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	F12	n/a	31	1.8229025602340698	0.021777328	No	
row_1	MMP14	n/a	230	1.26233971118927	0.027231272	No	
row_2	MMP11	n/a	322	1.175269603729248	0.037399165	No	
row_3	FN1	n/a	437	1.1052429676055908	0.045411315	No	
row_4	CD9	n/a	498	1.0747861862182617	0.055976078	No	
row_5	ARF4	n/a	690	0.9847622513771057	0.058238246	No	
row_6	GNB2	n/a	1021	0.897544801235199	0.0517977	No	
row_7	TIMP1	n/a	1181	0.8642465472221375	0.054253373	No	
row_8	RAC1	n/a	1390	0.8237536549568176	0.053515702	No	
row_9	PLAU	n/a	1452	0.8142474889755249	0.06067179	No	
row_10	SH2B2	n/a	1560	0.7952014207839966	0.06507423	No	
row_11	RABIF	n/a	1619	0.786845326423645	0.07204114	No	
row_12	MMP9	n/a	1631	0.7840597033500671	0.081535175	No	
row_13	MMP10	n/a	1708	0.7711730599403381	0.087318756	No	
row_14	COMP	n/a	1831	0.7539170980453491	0.09037173	No	
row_15	F2RL2	n/a	1866	0.7507457137107849	0.098182656	No	
row_16	PROC	n/a	1877	0.7492479085922241	0.10728306	No	
row_17	OLR1	n/a	1938	0.7413776516914368	0.113555565	No	
row_18	MMP8	n/a	2021	0.730536162853241	0.1184888	No	
row_19	SERPINE1	n/a	2164	0.7119702100753784	0.11991113	No	
row_20	PROZ	n/a	2243	0.7027957439422607	0.12470537	No	
row_21	MMP1	n/a	2421	0.6817024946212769	0.123829424	No	
row_22	TMPRSS6	n/a	3024	0.6177646517753601	0.09895444	No	
row_23	F2	n/a	3618	0.5602477788925171	0.07382977	No	
row_24	HNF4A	n/a	4002	0.5292569398880005	0.059757758	No	
row_25	HPN	n/a	4335	0.5032588839530945	0.048132163	No	
row_26	MMP3	n/a	4361	0.5014644265174866	0.05322466	No	
row_27	P2RY1	n/a	4543	0.48762232065200806	0.04963203	No	
row_28	HRG	n/a	4705	0.4761222004890442	0.046981983	No	
row_29	KLK8	n/a	4888	0.463085412979126	0.043018937	No	
row_30	LAMP2	n/a	5200	0.4434010684490204	0.031767905	No	
row_31	S100A13	n/a	5259	0.44013622403144836	0.034271326	No	
row_32	BMP1	n/a	5313	0.4371228814125061	0.037008617	No	
row_33	C8G	n/a	5479	0.42697665095329285	0.033507746	No	
row_34	CTSH	n/a	5557	0.42108631134033203	0.034729827	No	
row_35	WDR1	n/a	5749	0.4084448516368866	0.02957256	No	
row_36	C9	n/a	5991	0.39184945821762085	0.02147507	No	
row_37	CRIP2	n/a	6399	0.3609694540500641	0.0039277906	No	
row_38	APOC2	n/a	6446	0.3592188358306885	0.006043874	No	
row_39	MMP7	n/a	6605	0.34511831402778625	0.0018708928	No	
row_40	S100A1	n/a	6792	0.3312213122844696	-0.0040078806	No	
row_41	PREP	n/a	6800	0.33027592301368713	-1.3767295E-4	No	
row_42	SERPINB2	n/a	6850	0.32720568776130676	0.0014026826	No	
row_43	CFB	n/a	7110	0.3064868450164795	-0.008775324	No	
row_44	PRSS23	n/a	7336	0.28893232345581055	-0.017325252	No	
row_45	MEP1A	n/a	7361	0.286507785320282	-0.014945546	No	
row_46	THBS1	n/a	7441	0.2795242965221405	-0.015654981	No	
row_47	SERPINC1	n/a	7531	0.27233991026878357	-0.017002225	No	
