NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMS	n/a	44	1.7276886701583862	0.01569493	No	
row_1	NTHL1	n/a	146	1.3689144849777222	0.024519738	No	
row_2	OSTC	n/a	298	1.1978652477264404	0.028822985	No	
row_3	MIF	n/a	398	1.125484585762024	0.035207108	No	
row_4	IL4I1	n/a	755	0.9675319790840149	0.025905257	No	
row_5	ACOT8	n/a	801	0.955433189868927	0.033456367	No	
row_6	HSD17B10	n/a	876	0.9305172562599182	0.03916317	No	
row_7	NCAPH2	n/a	893	0.926601231098175	0.047995582	No	
row_8	HSPH1	n/a	951	0.9114229679107666	0.054430526	No	
row_9	ENO2	n/a	1019	0.8982932567596436	0.06018197	No	
row_10	SDHC	n/a	1072	0.8890858292579651	0.06665592	No	
row_11	TDO2	n/a	1098	0.8834388256072998	0.07454485	No	
row_12	PTS	n/a	1566	0.7947258353233337	0.05737261	No	
row_13	HCCS	n/a	1576	0.7939424514770508	0.06519763	No	
row_14	ALDOA	n/a	1704	0.7716196775436401	0.06634637	No	
row_15	HSP90AA1	n/a	1822	0.7549911141395569	0.06786689	No	
row_16	LDHA	n/a	1985	0.7346712350845337	0.06671771	No	
row_17	FABP2	n/a	2080	0.7229469418525696	0.06915831	No	
row_18	FH	n/a	2325	0.6926564574241638	0.06309207	No	
row_19	MDH2	n/a	3173	0.6021761894226074	0.023156023	No	
row_20	RDH16	n/a	3648	0.5587703585624695	0.0031300206	No	
row_21	RAP1GDS1	n/a	3928	0.5341941118240356	-0.006506983	No	
row_22	HSD17B7	n/a	3973	0.5309703946113586	-0.0033474432	No	
row_23	ERP29	n/a	4411	0.4979584813117981	-0.021990346	No	
row_24	CPOX	n/a	4421	0.496991902589798	-0.017275827	No	
row_25	IDH3G	n/a	4431	0.4964299499988556	-0.012567193	No	
row_26	YWHAH	n/a	4579	0.4851030111312866	-0.015511603	No	
row_27	CBR1	n/a	5054	0.4515776038169861	-0.03666043	No	
row_28	BMPR1B	n/a	5209	0.44297266006469727	-0.040428326	No	
row_29	ADSL	n/a	5445	0.4289012849330902	-0.04876598	No	
row_30	UROS	n/a	5509	0.42469051480293274	-0.047757044	No	
row_31	RDH11	n/a	5597	0.41843488812446594	-0.048123967	No	
row_32	NSDHL	n/a	5727	0.40984001755714417	-0.050873995	No	
row_33	GPD2	n/a	6355	0.364114373922348	-0.08129233	No	
row_34	UBE2L6	n/a	6783	0.3320649564266205	-0.10112697	No	
row_35	DHCR24	n/a	7060	0.3108806312084198	-0.11293934	No	
row_36	GAPDHS	n/a	7607	0.2655263841152191	-0.13996801	No	
row_37	ACAT2	n/a	7653	0.26180317997932434	-0.13968255	No	
row_38	AADAT	n/a	7784	0.2517038881778717	-0.14414361	No	
row_39	UGDH	n/a	7993	0.2340909242630005	-0.15304774	No	
row_40	APEX1	n/a	8155	0.21910139918327332	-0.15954283	No	
row_41	METAP1	n/a	8567	0.1835784912109375	-0.18005927	No	
row_42	CEL	n/a	9157	0.12763196229934692	-0.21088003	No	
row_43	NBN	n/a	9241	0.12019092589616776	-0.21415262	No	
row_44	PCBD1	n/a	9474	0.10070867836475372	-0.22576423	No	
row_45	ENO3	n/a	9690	0.0830095037817955	-0.23663309	No	
row_46	PSME1	n/a	9845	0.06982643902301788	-0.24430962	No	
row_47	SLC22A5	n/a	9941	0.06117160618305206	-0.24885559	No	
row_48	CA2	n/a	10316	0.023806914687156677	-0.2690255	No	
row_49	SDHA	n/a	10407	0.014532124623656273	-0.27378702	No	
row_50	CYP4A22	n/a	10758	-0.019820773974061012	-0.2926884	No	
row_51	S100A10	n/a	10857	-0.03149919584393501	-0.29770896	No	
row_52	IDH3B	n/a	11087	-0.05532039701938629	-0.3096322	No	
row_53	CD1D	n/a	11173	-0.06397940963506699	-0.3136028	No	
row_54	ADH7	n/a	11217	-0.06793218106031418	-0.3152389	No	
row_55	ACSS1	n/a	11278	-0.0746295303106308	-0.317733	No	
row_56	XIST	n/a	11307	-0.07741577178239822	-0.31845078	No	
row_57	CA6	n/a	11341	-0.08135173469781876	-0.31940034	No	
row_58	GCDH	n/a	11464	-0.09553051739931107	-0.32506052	No	
row_59	ODC1	n/a	11688	-0.12053975462913513	-0.33597305	No	
row_60	MDH1	n/a	11977	-0.15480051934719086	-0.35007548	No	
row_61	GRHPR	n/a	12020	-0.15979807078838348	-0.35069472	No	
row_62	PRDX6	n/a	12079	-0.16607125103473663	-0.35212177	No	
row_63	CRAT	n/a	12303	-0.1898505836725235	-0.3623083	No	
