NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POLR3K	n/a	47	1.6912269592285156	0.012572561	Yes	
row_1	CXCR4	n/a	59	1.6293904781341553	0.026561506	Yes	
row_2	COPB2	n/a	85	1.5181289911270142	0.038787965	Yes	
row_3	PMM2	n/a	117	1.4358311891555786	0.04994911	Yes	
row_4	TPI1	n/a	184	1.314700961112976	0.058110155	Yes	
row_5	COL5A1	n/a	225	1.2691736221313477	0.06728638	Yes	
row_6	B3GALT6	n/a	309	1.1885499954223633	0.07338743	Yes	
row_7	MIF	n/a	398	1.125484585762024	0.07865011	Yes	
row_8	SDC1	n/a	427	1.1128472089767456	0.08708316	Yes	
row_9	VCAN	n/a	600	1.0231353044509888	0.086832374	Yes	
row_10	LDHC	n/a	618	1.0138581991195679	0.09498098	Yes	
row_11	SAP30	n/a	753	0.967696487903595	0.09631332	Yes	
row_12	FUT8	n/a	915	0.921731173992157	0.095756456	Yes	
row_13	AURKA	n/a	925	0.9190773367881775	0.103494115	Yes	
row_14	PSMC4	n/a	1009	0.8995711803436279	0.10700741	Yes	
row_15	ENO2	n/a	1019	0.8982932567596436	0.11455895	Yes	
row_16	CENPA	n/a	1052	0.8926294445991516	0.120801084	Yes	
row_17	SDHC	n/a	1072	0.8890858292579651	0.12772292	Yes	
row_18	FKBP4	n/a	1102	0.8826033473014832	0.13403945	Yes	
row_19	CHST6	n/a	1139	0.8745039105415344	0.13990037	Yes	
row_20	PPIA	n/a	1148	0.8732298612594604	0.1472822	Yes	
row_21	SLC16A3	n/a	1164	0.8688559532165527	0.15424177	Yes	
row_22	CDK1	n/a	1243	0.8507335782051086	0.15759136	Yes	
row_23	DEPDC1	n/a	1275	0.8448785543441772	0.16346061	Yes	
row_24	SLC25A13	n/a	1299	0.8405062556266785	0.16972853	Yes	
row_25	FAM162A	n/a	1303	0.8401700258255005	0.17708793	Yes	
row_26	CHPF	n/a	1337	0.8314330577850342	0.18272734	Yes	
row_27	HMMR	n/a	1346	0.8297339081764221	0.18971968	Yes	
row_28	PPFIA4	n/a	1362	0.8278528451919556	0.19631207	Yes	
row_29	PAXIP1	n/a	1381	0.8250068426132202	0.20271482	Yes	
row_30	KIF20A	n/a	1387	0.8244733810424805	0.20982422	Yes	
row_31	KDELR3	n/a	1397	0.822780966758728	0.21669956	Yes	
row_32	SPAG4	n/a	1521	0.802189826965332	0.21715179	Yes	
row_33	ALDOA	n/a	1704	0.7716196775436401	0.21410146	Yes	
